date,PK
2020-02-15,3
2020-02-16,3
2020-02-17,8
2020-02-18,4
2020-02-19,0
2020-02-20,-4
2020-02-21,0
2020-02-22,2
2020-02-23,1
2020-02-24,8
2020-02-25,5
2020-02-26,1
2020-02-27,2
2020-02-28,-2
2020-02-29,-2
2020-03-01,6
2020-03-02,12
2020-03-03,10
2020-03-04,4
2020-03-05,-1
2020-03-06,-4
2020-03-07,2
2020-03-08,6
2020-03-09,15
2020-03-10,10
2020-03-11,-4
2020-03-12,-1
2020-03-13,6
2020-03-14,8
2020-03-15,6
2020-03-16,14
2020-03-17,8
2020-03-18,2
2020-03-19,-5
2020-03-20,-10
2020-03-21,-14
2020-03-22,-25
2020-03-23,-39
2020-03-24,-48
2020-03-25,-52
2020-03-26,-52
2020-03-27,-58
2020-03-28,-54
2020-03-29,-55
2020-03-30,-49
2020-03-31,-53
2020-04-01,-52
2020-04-02,-50
2020-04-03,-53
2020-04-04,-49
2020-04-05,-51
2020-04-06,-42
2020-04-07,-45
2020-04-08,-48
2020-04-09,-50
2020-04-10,-50
2020-04-11,-47
