date,NG,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Federal Capital Territory,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun State,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-02-15,7,-11,0,1,8,15,0,0,-4,-16,5,0,6,0,-13,9,0,0,0,21,-5,0,0,0,0,12,0,0,-2,0,-3,10,0,10,0,0,0,3
2020-02-16,5,-7,0,5,11,4,7,0,-6,-14,-1,0,6,0,-7,10,0,0,0,25,-15,0,0,0,0,13,0,0,-2,0,-6,2,-12,3,0,0,0,2
2020-02-17,2,-13,0,-4,-2,4,-3,0,-8,-11,-1,0,2,0,-11,0,0,0,0,31,-8,0,0,0,0,5,0,0,-4,0,-8,6,0,-2,0,0,0,3
2020-02-18,0,-14,0,-7,0,-9,-3,0,-19,-15,-8,0,-6,0,-13,0,0,0,0,19,-12,0,0,0,0,4,0,0,-10,0,-12,1,0,-1,0,0,0,5
2020-02-19,0,-4,0,0,-2,-4,-7,0,-25,-20,6,0,0,0,-18,-1,0,0,0,13,-5,0,0,0,0,1,0,0,-9,0,-12,6,0,-5,0,0,0,-7
2020-02-20,0,-6,0,1,-6,-4,3,0,-24,-9,1,0,0,0,-18,0,0,35,0,14,0,0,0,0,0,2,0,0,2,0,-10,7,0,3,0,0,0,-4
2020-02-21,3,-11,0,-3,-7,4,31,0,-26,-19,6,0,-4,0,-14,3,0,0,0,34,-9,0,0,0,0,8,0,0,-8,0,-5,4,0,4,0,0,0,-1
2020-02-22,1,-12,0,-9,5,0,23,0,-25,-23,1,0,6,0,-20,9,0,0,0,25,1,0,0,0,-22,1,0,0,-10,-23,-8,10,0,1,0,0,0,-4
2020-02-23,-1,-9,0,-6,-3,-6,7,0,-28,-18,-1,0,-4,0,-19,2,0,0,0,20,-4,-7,0,0,0,8,0,0,-1,0,-8,0,-14,-1,0,0,0,-5
2020-02-24,-2,-12,0,-7,-1,0,-9,0,-45,-11,3,0,-15,0,-25,-1,0,0,0,21,-3,0,0,0,0,3,0,0,-5,0,-13,4,0,0,0,0,0,-5
2020-02-25,1,-13,0,-10,-4,-1,-8,0,-28,-9,-5,0,-9,0,-17,3,0,0,0,14,-4,0,0,0,0,7,0,0,-9,0,-8,6,0,0,0,0,0,0
2020-02-26,0,-6,0,-7,-2,-2,-3,0,-32,-16,3,0,-10,0,-16,-1,0,35,0,20,-11,0,0,0,0,1,0,0,-5,0,-8,8,0,3,0,0,0,-7
2020-02-27,3,-9,0,-8,3,1,-11,0,-25,-4,4,0,-12,0,-25,2,0,33,0,23,26,0,0,0,0,6,0,0,-6,0,-6,9,0,5,0,0,0,0
2020-02-28,2,-10,0,-5,1,4,4,0,-22,-12,3,0,-2,0,-19,4,0,0,0,35,-3,0,0,0,0,2,0,0,3,0,-9,9,0,6,0,0,0,10
2020-02-29,2,-13,0,-9,8,2,5,0,-17,-19,-4,0,4,0,-28,6,0,0,0,16,0,0,0,0,0,5,0,0,-8,-7,-3,9,0,1,0,0,0,3
2020-03-01,1,-8,0,0,13,1,6,0,-17,-16,-5,0,-8,0,-15,5,0,0,0,9,-7,0,0,0,0,9,0,0,-7,0,-11,1,-4,3,0,0,0,3
2020-03-02,-1,-8,0,-12,-5,9,-2,0,-27,-6,-3,0,-8,0,-19,1,0,0,0,5,1,0,0,0,0,3,0,0,-9,0,-8,7,0,4,0,0,0,-2
2020-03-03,2,-9,0,-6,2,1,-8,0,-27,-11,-4,0,-6,0,-15,7,0,0,0,2,-4,0,0,0,0,6,0,0,-7,0,-12,11,0,4,0,0,0,0
2020-03-04,0,-7,0,-1,-1,10,1,0,-32,-16,-10,0,-12,0,-21,3,0,25,0,-1,-4,0,0,0,0,1,0,0,-4,0,-8,15,0,3,0,0,0,1
2020-03-05,5,-9,0,-6,3,13,-3,0,-23,2,-4,0,-14,0,-23,8,0,38,0,5,7,0,0,0,0,8,0,0,-3,0,-5,12,0,13,0,0,0,-3
2020-03-06,8,-6,0,-1,5,19,1,0,-28,-6,-3,0,0,0,-19,8,0,0,0,8,-1,0,0,0,0,17,0,0,-2,0,-8,7,0,3,0,0,0,-1
2020-03-07,5,-14,0,7,22,13,0,0,-19,-7,1,0,2,0,-17,12,0,0,0,5,-1,0,0,0,0,7,0,0,-1,0,-6,11,0,1,0,0,0,2
2020-03-08,3,-4,0,8,11,11,9,0,-26,-6,-3,0,-10,0,-15,10,0,0,0,16,-5,-2,0,0,0,9,0,0,3,0,-11,16,-8,4,0,0,0,1
2020-03-09,4,-8,0,-6,6,15,15,0,-23,-2,-4,0,-12,0,-13,4,0,0,0,28,6,0,0,0,0,6,0,0,-5,0,-9,11,0,1,0,0,0,1
2020-03-10,8,-1,0,-4,12,20,1,0,-25,0,-5,0,2,0,-6,5,0,20,0,20,-10,0,0,0,0,10,0,0,-9,0,-9,22,0,6,0,0,0,15
2020-03-11,6,9,0,-4,12,24,4,0,-31,16,5,0,4,0,7,4,0,19,0,19,-4,0,0,0,0,-1,0,0,-6,0,-4,16,0,10,0,0,0,13
2020-03-12,9,7,0,0,13,29,3,0,-28,0,9,0,16,0,9,9,0,-4,0,21,5,0,0,0,0,4,0,0,-6,0,3,24,0,12,0,0,0,18
2020-03-13,8,3,0,-3,8,27,19,0,-28,29,13,0,6,0,5,7,0,0,0,18,-2,0,0,0,0,2,0,0,-1,0,0,16,0,11,0,0,0,15
2020-03-14,6,1,0,-2,20,15,30,0,-24,14,10,0,10,0,-2,5,0,0,0,20,-1,0,0,0,0,-3,0,0,-3,0,7,25,0,8,0,0,0,10
2020-03-15,7,2,0,-11,10,14,13,0,-22,18,6,0,8,0,8,6,0,0,0,14,-1,0,0,0,0,7,0,0,-3,0,-1,14,20,7,0,0,0,12
2020-03-16,3,4,0,-10,5,23,3,0,-31,0,11,0,12,0,-2,3,0,0,0,11,-6,0,0,0,0,-3,0,0,-2,0,-2,13,0,4,0,0,0,8
2020-03-17,4,9,0,-7,11,9,0,0,-31,0,-8,0,11,0,8,2,0,8,0,2,-9,0,0,0,0,-1,0,0,-4,0,-4,24,0,4,0,0,0,14
2020-03-18,3,9,0,1,4,16,6,-32,-33,0,0,0,4,0,5,2,0,-6,0,6,-8,0,0,0,0,-3,0,0,-6,0,-4,19,0,6,0,0,0,6
2020-03-19,-2,-7,0,-4,-2,1,0,0,-30,0,-3,0,-12,0,-9,6,0,-16,0,-2,-5,0,0,0,0,-3,0,0,-1,0,-7,9,0,-2,0,0,0,-4
2020-03-20,-2,-8,0,-12,1,0,10,0,-31,0,-8,0,-24,0,-10,4,0,0,0,0,-19,0,0,0,0,-1,0,0,-1,0,-5,7,0,0,0,0,0,-11
2020-03-21,-7,-12,0,-11,-2,-6,8,0,-26,-7,3,0,-4,0,-20,0,0,0,0,3,-10,0,0,0,0,-10,0,0,-8,-16,2,2,-14,1,0,0,0,-10
2020-03-22,-12,-6,0,-11,1,-1,7,0,-26,-8,-8,0,-15,0,-17,-14,0,0,0,-14,-13,-11,0,0,0,-18,0,0,-8,0,-7,2,-10,-1,0,0,0,-18
2020-03-23,-14,-13,0,-9,-10,1,5,-50,-32,0,4,0,-27,0,-23,-13,0,-11,0,-13,-14,0,0,0,0,-19,0,0,-3,0,-3,-1,0,-5,0,0,0,-16
2020-03-24,-20,-6,0,-20,-4,-12,-4,-53,-36,2,-13,0,-28,0,-8,-18,0,-32,0,-26,-17,0,0,0,0,-32,0,0,-8,0,-5,-1,0,-10,0,0,0,-15
2020-03-25,-17,5,0,-11,-5,-6,-3,-55,-31,0,-13,0,-27,0,-14,-24,0,-33,0,-30,-16,0,0,0,0,-24,0,0,-7,0,-2,-7,0,-8,0,0,0,-19
