date,LU
2020-02-15,40
2020-02-16,18
2020-02-17,-1
2020-02-18,1
2020-02-19,-4
2020-02-20,-7
2020-02-21,11
2020-02-22,32
2020-02-23,-13
2020-02-24,12
2020-02-25,14
2020-02-26,-3
2020-02-27,4
2020-02-28,17
2020-02-29,5
2020-03-01,-4
2020-03-02,0
2020-03-03,6
2020-03-04,-2
2020-03-05,-7
2020-03-06,3
2020-03-07,44
2020-03-08,7
2020-03-09,9
2020-03-10,-4
2020-03-11,-5
2020-03-12,2
2020-03-13,3
2020-03-14,3
2020-03-15,51
2020-03-16,13
2020-03-17,-6
2020-03-18,-35
2020-03-19,-36
2020-03-20,-40
2020-03-21,-70
2020-03-22,-34
2020-03-23,-48
2020-03-24,-43
2020-03-25,-50
2020-03-26,-46
2020-03-27,-39
2020-03-28,-28
2020-03-29,-66
2020-03-30,-44
2020-03-31,-44
2020-04-01,-42
2020-04-02,-39
2020-04-03,-56
2020-04-04,-31
2020-04-05,-7
2020-04-06,-31
2020-04-07,-27
2020-04-08,-32
2020-04-09,-35
2020-04-10,-26
2020-04-11,-20
