date,PY
2020-02-15,-13
2020-02-16,-25
2020-02-17,0
2020-02-18,-8
2020-02-19,-3
2020-02-20,0
2020-02-21,-8
2020-02-22,-7
2020-02-23,-14
2020-02-24,3
2020-02-25,-16
2020-02-26,-6
2020-02-27,1
2020-02-28,-2
2020-02-29,-6
2020-03-01,-12
2020-03-02,1
2020-03-03,-2
2020-03-04,-2
2020-03-05,0
2020-03-06,-6
2020-03-07,-7
2020-03-08,-11
2020-03-09,-2
2020-03-10,-4
2020-03-11,-14
2020-03-12,-15
2020-03-13,-24
2020-03-14,-32
2020-03-15,-49
2020-03-16,-37
2020-03-17,-41
2020-03-18,-50
2020-03-19,-49
2020-03-20,-51
2020-03-21,-68
2020-03-22,-76
2020-03-23,-63
2020-03-24,-66
2020-03-25,-65
2020-03-26,-62
2020-03-27,-65
2020-03-28,-68
2020-03-29,-71
2020-03-30,-52
2020-03-31,-52
2020-04-01,-56
2020-04-02,-58
2020-04-03,-60
2020-04-04,-68
2020-04-05,-75
2020-04-06,-65
2020-04-07,-62
2020-04-08,-61
2020-04-09,-66
2020-04-10,-78
2020-04-11,-71
