date,DK,Capital Region of Denmark,Central Denmark Region,North Denmark Region,Region of Southern Denmark,Region Zealand
2020-02-15,0,0,0,0,0,0
2020-02-16,1,1,2,1,2,1
2020-02-17,1,1,1,4,1,2
2020-02-18,1,0,0,3,1,1
2020-02-19,1,1,0,2,0,1
2020-02-20,1,1,1,4,1,2
2020-02-21,1,1,0,4,0,2
2020-02-22,1,1,1,0,1,1
2020-02-23,0,0,0,-1,1,0
2020-02-24,0,0,0,0,1,1
2020-02-25,1,1,1,0,1,1
2020-02-26,1,1,1,0,1,1
2020-02-27,0,0,0,0,0,1
2020-02-28,-1,0,-1,-1,-1,-1
2020-02-29,0,0,0,0,-1,0
2020-03-01,0,0,0,0,-1,-1
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,1,0,0,0,1
2020-03-05,0,0,0,0,0,0
2020-03-06,0,1,0,0,0,1
2020-03-07,-1,0,-1,-1,-1,0
2020-03-08,0,0,1,0,0,0
2020-03-09,1,2,1,1,1,1
2020-03-10,2,2,2,1,2,2
2020-03-11,2,3,2,2,1,2
2020-03-12,12,14,12,10,10,11
2020-03-13,16,20,16,14,14,15
2020-03-14,8,8,8,7,7,7
2020-03-15,8,9,8,8,8,7
2020-03-16,17,20,16,15,15,16
2020-03-17,18,21,18,16,16,16
2020-03-18,20,24,20,18,18,19
2020-03-19,19,23,20,18,17,18
2020-03-20,21,25,20,19,18,19
2020-03-21,11,12,11,10,11,10
2020-03-22,9,10,9,8,9,8
2020-03-23,19,22,18,17,17,17
2020-03-24,19,22,19,17,17,17
2020-03-25,19,23,19,17,17,18
2020-03-26,19,23,19,17,17,18
2020-03-27,19,23,19,17,17,18
2020-03-28,10,11,10,10,10,10
2020-03-29,9,10,9,8,9,8
2020-03-30,18,22,18,16,16,17
2020-03-31,17,21,17,16,15,15
2020-04-01,19,23,18,16,16,17
2020-04-02,20,23,19,18,17,18
2020-04-03,19,23,19,17,17,17
2020-04-04,10,11,9,9,9,9
2020-04-05,7,7,7,6,6,6
2020-04-06,16,19,16,14,14,15
2020-04-07,16,19,16,14,14,15
2020-04-08,15,18,14,13,13,14
2020-04-09,22,23,22,21,21,22
2020-04-10,24,26,24,22,22,23
2020-04-11,8,9,9,9,8,7
