date,total,Administrative unit Maribor,Celje,Kranj,Ljubljana,Novo Mesto,Ptuj,Žalec
2020-02-29,4.040663486484685,1.00032,NA,17.999711239692196,6.0377883648187565,NA,NA,NA
2020-03-01,-13.322746062737295,1.0415999999999999,NA,-14.791794575194597,-10.098686415986258,NA,NA,NA
2020-03-02,4.948886013263352,5.75904,NA,6.822201311830216,9.729513865880122,NA,NA,NA
2020-03-03,2.766573145014344,3.91104,NA,2.2632306244011384,6.40600450935467,NA,NA,NA
2020-03-04,5.768462153222451,6.666239999999999,NA,6.128985341111659,7.370061324139607,NA,NA,NA
2020-03-05,5.512193507689517,2.20992,NA,9.75091926812117,8.443148373929983,NA,NA,NA
2020-03-06,-0.49480801370195376,NA,NA,-1.952478637527302,1.7138787818398877,NA,NA,NA
2020-03-07,7.372155878412822,4.000319999999999,NA,13.199788242440944,6.966458173505436,NA,NA,NA
2020-03-08,18.116097960944497,9.375359999999999,NA,1.9725579966791502,11.463477164694696,NA,NA,NA
2020-03-09,0.4279202854653705,-5.23584,NA,1.3644402623660432,1.4269571107729422,NA,NA,NA
2020-03-10,1.7294104192253954,2.23488,NA,-0.7544102081337127,-3.5300929596936528,NA,NA,NA
2020-03-11,1.9389382426171022,4.4448,NA,NA,-6.353402202992396,NA,NA,NA
2020-03-12,-5.369553412534394,-1.65792,NA,-3.482334572906187,-13.898485746482839,NA,NA,NA
2020-03-13,-29.172720026076103,-31.657919999999997,NA,-26.03910418010824,-40.51142714351226,NA,NA,NA
2020-03-14,-30.057572141784156,-33.0,NA,-15.59974974106657,-36.22768659448276,NA,NA,NA
2020-03-15,-28.026764007372226,-42.708479999999994,NA,-27.611987313669655,-35.48264665527893,NA,NA,NA
2020-03-16,-53.86476813654494,-70.15679999999999,NA,-32.0629119256626,-68.10372784445018,NA,NA,NA
2020-03-17,-55.52970845626519,-69.83232,NA,-57.3456935777179,-68.24718867998367,NA,NA,NA
2020-03-18,-56.66921746501854,-70.5552,NA,-57.46138893283092,-70.27189927214606,NA,NA,NA
2020-03-19,-57.16241372623288,-67.40352,NA,-63.381931402747206,-69.23133001174328,NA,NA,NA
2020-03-20,-59.78473502360447,-71.85887999999998,NA,-65.74938346274604,-72.57779310195409,NA,NA,NA
2020-03-21,-51.39556332549805,-64.99968,NA,-59.99999362560026,-59.45017024507111,NA,NA,NA
2020-03-22,-64.58372805551836,-71.8752,NA,-78.89084594765066,-67.9640926311976,NA,NA,NA
2020-03-23,-66.90223400897199,-78.01056,NA,-69.58358490078938,-76.92465641861831,NA,NA,NA
2020-03-24,-68.8194135930061,-77.09472,NA,-67.90934881150909,-78.31431371215255,NA,NA,NA
2020-03-25,-70.6793759637294,-79.44479999999999,NA,-68.95347548740519,-80.05592825552891,NA,NA,NA
2020-03-26,-72.12995320259506,-80.11008,NA,-71.04364115911659,-80.01193359929864,NA,NA,NA
2020-03-27,-65.40330419547746,-74.37216,NA,-69.65529689776025,-75.51491460810938,NA,NA,NA
2020-03-28,-45.08635821267624,-55.99968,NA,-48.00018613247214,-53.64478843381658,NA,NA,NA
2020-03-29,-54.26690038220825,-68.7504,NA,-74.94668611425197,-58.13798180272494,NA,NA,NA
2020-03-30,-72.61267307263981,-79.58112,NA,-76.40578621261959,-81.33464250291726,NA,NA,NA
2020-03-31,-65.16395895106463,-77.09472,NA,-68.66375901964281,-76.35368229319509,NA,NA,NA
2020-04-01,-62.29262189435443,-75.55583999999999,NA,-64.35721456155126,-73.32092023001748,NA,NA,NA
2020-04-02,-61.153112885601075,-76.2432,NA,-69.65051609796218,-72.2191410131204,NA,NA,NA
2020-04-03,-61.58264492355407,-75.87935999999999,NA,-67.70186210027333,-72.45537318896552,NA,NA,NA
2020-04-04,-50.97006066876412,-64.99968,NA,-64.79991662285151,-55.502128051189935,NA,NA,NA
2020-04-05,-51.748537120288695,-65.62464,NA,-75.93248703261175,-55.13486831222425,NA,NA,NA
2020-04-06,-57.95700770263374,-73.29888,NA,-67.53740258722011,-69.65979970720325,NA,NA,NA
2020-04-07,-56.073674920839814,-73.18463999999999,NA,-66.39957223528206,-68.5092438062248,NA,NA,NA
2020-04-08,-57.59033401169824,-70.5552,NA,-65.1230986892003,-70.14469733130639,NA,NA,NA
2020-04-09,-57.20996042461791,-69.61344,NA,-64.77505646390162,-68.19267356248093,NA,NA,NA
2020-04-10,-59.4245083426195,-70.85472,NA,-66.39957223528206,-69.15003553827432,NA,NA,NA
2020-04-11,-47.000314291735094,-54.0,NA,-59.99999362560026,-48.999526579242726,NA,NA,NA
