date,ZW
2020-02-15,-11
2020-02-16,-11
2020-02-17,-7
2020-02-18,-6
2020-02-19,-8
2020-02-20,-6
2020-02-21,-33
2020-02-22,-18
2020-02-23,-9
2020-02-24,-17
2020-02-25,-16
2020-02-26,-11
2020-02-27,-11
2020-02-28,-13
2020-02-29,-12
2020-03-01,-6
2020-03-02,-16
2020-03-03,-15
2020-03-04,-9
2020-03-05,-12
2020-03-06,-13
2020-03-07,-11
2020-03-08,-7
2020-03-09,-8
2020-03-10,-9
2020-03-11,-8
2020-03-12,-10
2020-03-13,-14
2020-03-14,-10
2020-03-15,-7
2020-03-16,-9
2020-03-17,-14
2020-03-18,-13
2020-03-19,-11
2020-03-20,-20
2020-03-21,-16
2020-03-22,-21
2020-03-23,-17
2020-03-24,-17
2020-03-25,-25
2020-03-26,-34
2020-03-27,-44
2020-03-28,-19
2020-03-29,-6
2020-03-30,-80
2020-03-31,-82
2020-04-01,-80
2020-04-02,-80
2020-04-03,-81
2020-04-04,-80
2020-04-05,-77
2020-04-06,-79
2020-04-07,-78
2020-04-08,-78
2020-04-09,-77
2020-04-10,-82
2020-04-11,-81
