date,PK
2020-02-15,8
2020-02-16,8
2020-02-17,11
2020-02-18,9
2020-02-19,6
2020-02-20,1
2020-02-21,7
2020-02-22,7
2020-02-23,8
2020-02-24,10
2020-02-25,10
2020-02-26,8
2020-02-27,6
2020-02-28,2
2020-02-29,-3
2020-03-01,6
2020-03-02,11
2020-03-03,12
2020-03-04,9
2020-03-05,3
2020-03-06,-3
2020-03-07,3
2020-03-08,8
2020-03-09,17
2020-03-10,16
2020-03-11,1
2020-03-12,3
2020-03-13,8
2020-03-14,7
2020-03-15,4
2020-03-16,11
2020-03-17,7
2020-03-18,4
2020-03-19,-2
2020-03-20,-7
2020-03-21,-14
2020-03-22,-26
2020-03-23,-29
2020-03-24,-36
2020-03-25,-38
2020-03-26,-41
2020-03-27,-46
2020-03-28,-44
2020-03-29,-45
2020-03-30,-36
2020-03-31,-39
2020-04-01,-37
2020-04-02,-36
2020-04-03,-39
2020-04-04,-39
2020-04-05,-41
2020-04-06,-30
2020-04-07,-31
2020-04-08,-32
2020-04-09,-35
2020-04-10,-35
2020-04-11,-36
