date,AT,Burgenland,Carinthia,Lower Austria,Salzburg,Styria,Tyrol,Upper Austria,Vienna,Vorarlberg
2020-02-15,9,-3,3,12,8,4,9,5,11,12
2020-02-16,15,15,17,14,19,11,13,18,16,20
2020-02-17,9,9,11,6,19,6,13,8,7,10
2020-02-18,8,6,9,6,18,4,17,5,7,10
2020-02-19,4,3,4,2,11,1,10,-2,2,3
2020-02-20,4,3,7,2,9,1,9,1,4,7
2020-02-21,1,0,5,1,7,1,2,-4,2,3
2020-02-22,9,4,9,12,12,2,9,3,9,11
2020-02-23,4,8,9,1,5,7,3,0,4,7
2020-02-24,9,9,8,4,18,7,17,6,6,21
2020-02-25,13,18,6,13,22,13,21,15,7,10
2020-02-26,-3,-5,-15,-5,6,-8,8,-8,-3,-3
2020-02-27,1,-2,0,-2,11,-1,5,0,-1,-1
2020-02-28,-1,-3,0,0,11,-1,0,-3,-3,5
2020-02-29,2,-9,-2,4,7,3,1,2,0,2
2020-03-01,0,2,-14,1,-5,1,-5,7,0,14
2020-03-02,2,3,0,4,2,2,-1,4,2,0
2020-03-03,-1,1,-8,3,-3,-1,-1,0,-1,-4
2020-03-04,2,2,0,4,2,5,4,2,0,4
2020-03-05,1,2,0,5,3,2,-3,3,1,-6
2020-03-06,-1,-1,-8,5,-3,-2,-2,3,0,-4
2020-03-07,4,-3,3,10,1,7,-1,5,2,2
2020-03-08,14,19,20,18,14,13,9,26,8,18
2020-03-09,-1,4,-1,4,-4,1,-5,1,0,-5
2020-03-10,-3,2,-6,4,-7,-1,-9,-1,-1,-11
2020-03-11,-6,-2,-5,-3,-9,-3,-4,-9,-12,-5
2020-03-12,-10,-1,-8,-4,-10,-8,-12,-11,-13,-9
2020-03-13,-20,-16,-18,-9,-25,-19,-27,-20,-22,-18
2020-03-14,-35,-41,-38,-25,-41,-35,-48,-34,-36,-34
2020-03-15,-59,-57,-58,-52,-60,-57,-75,-53,-57,-46
2020-03-16,-71,-66,-70,-65,-76,-70,-84,-65,-70,-68
2020-03-17,-79,-73,-80,-75,-83,-78,-86,-77,-80,-77
2020-03-18,-79,-72,-80,-74,-83,-78,-86,-77,-79,-77
2020-03-19,-80,-74,-80,-75,-84,-79,-88,-78,-80,-77
2020-03-20,-81,-79,-82,-77,-85,-80,-89,-80,-80,-80
2020-03-21,-88,-87,-88,-87,-91,-87,-93,-88,-87,-86
2020-03-22,-90,-88,-90,-87,-92,-89,-95,-88,-89,-88
2020-03-23,-79,-74,-79,-75,-83,-79,-87,-75,-81,-75
2020-03-24,-80,-76,-82,-75,-84,-80,-87,-78,-81,-78
2020-03-25,-81,-77,-81,-77,-85,-81,-87,-79,-83,-78
2020-03-26,-81,-74,-82,-76,-86,-81,-88,-80,-81,-79
2020-03-27,-80,-75,-81,-75,-84,-79,-88,-79,-79,-78
2020-03-28,-83,-83,-84,-79,-87,-82,-90,-82,-81,-81
2020-03-29,-87,-83,-85,-82,-93,-86,-95,-86,-85,-90
2020-03-30,-78,-72,-78,-72,-84,-76,-87,-74,-78,-76
2020-03-31,-77,-71,-77,-71,-82,-76,-85,-74,-79,-74
2020-04-01,-77,-72,-77,-72,-82,-76,-85,-74,-78,-75
2020-04-02,-77,-71,-76,-71,-82,-75,-85,-75,-78,-75
2020-04-03,-79,-75,-78,-74,-83,-77,-86,-77,-80,-77
2020-04-04,-82,-82,-83,-79,-87,-82,-89,-81,-82,-81
2020-04-05,-82,-78,-80,-75,-88,-81,-92,-79,-80,-81
2020-04-06,-73,-66,-71,-67,-78,-71,-83,-68,-75,-70
2020-04-07,-74,-68,-74,-68,-79,-73,-82,-71,-76,-71
2020-04-08,-74,-67,-73,-68,-79,-71,-81,-72,-77,-71
2020-04-09,-74,-65,-72,-68,-80,-72,-82,-71,-76,-71
2020-04-10,-76,-74,-76,-71,-81,-75,-83,-74,-77,-74
2020-04-11,-81,-80,-86,-76,-86,-83,-85,-79,-80,-78
