date,MY
2020-02-15,-3
2020-02-16,-3
2020-02-17,-6
2020-02-18,-9
2020-02-19,-7
2020-02-20,-5
2020-02-21,-3
2020-02-22,-1
2020-02-23,-1
2020-02-24,-6
2020-02-25,-8
2020-02-26,-7
2020-02-27,-4
2020-02-28,0
2020-02-29,3
2020-03-01,4
2020-03-02,-4
2020-03-03,-8
2020-03-04,-7
2020-03-05,-6
2020-03-06,-5
2020-03-07,-4
2020-03-08,-1
2020-03-09,-7
2020-03-10,-10
2020-03-11,-10
2020-03-12,-7
2020-03-13,-2
2020-03-14,-1
2020-03-15,-2
2020-03-16,-4
2020-03-17,3
2020-03-18,-36
2020-03-19,-58
2020-03-20,-71
2020-03-21,-75
2020-03-22,-81
2020-03-23,-78
2020-03-24,-78
2020-03-25,-77
2020-03-26,-77
2020-03-27,-80
2020-03-28,-81
2020-03-29,-83
2020-03-30,-79
2020-03-31,-78
2020-04-01,-79
2020-04-02,-79
2020-04-03,-82
2020-04-04,-83
2020-04-05,-84
2020-04-06,-79
2020-04-07,-79
2020-04-08,-79
2020-04-09,-79
2020-04-10,-82
2020-04-11,-82
