date,VE
2020-02-15,3
2020-02-16,1
2020-02-17,4
2020-02-18,0
2020-02-19,4
2020-02-20,8
2020-02-21,8
2020-02-22,12
2020-02-23,35
2020-02-24,36
2020-02-25,3
2020-02-26,0
2020-02-27,3
2020-02-28,3
2020-02-29,5
2020-03-01,1
2020-03-02,5
2020-03-03,3
2020-03-04,5
2020-03-05,4
2020-03-06,3
2020-03-07,1
2020-03-08,3
2020-03-09,4
2020-03-10,1
2020-03-11,9
2020-03-12,5
2020-03-13,0
2020-03-14,-11
2020-03-15,-23
2020-03-16,-30
2020-03-17,-43
2020-03-18,-46
2020-03-19,-51
2020-03-20,-53
2020-03-21,-57
2020-03-22,-58
2020-03-23,-53
2020-03-24,-55
2020-03-25,-53
2020-03-26,-53
2020-03-27,-55
2020-03-28,-55
2020-03-29,-57
2020-03-30,-52
2020-03-31,-53
2020-04-01,-52
2020-04-02,-54
2020-04-03,-55
2020-04-04,-58
2020-04-05,-58
2020-04-06,-51
2020-04-07,-53
2020-04-08,-49
2020-04-09,-56
2020-04-10,-62
2020-04-11,-60
