date,LV,Ādaži Municipality,Aizkraukle Municipality,Aloja Municipality,Alūksne Municipality,Babīte Municipality,Baldone Municipality,Balvi Municipality,Bauska Municipality,Burtnieki Municipality,Carnikava Municipality,Cēsis Municipality,City of Liepāja,Daugavpils,Daugavpils Municipality,Dobele Municipality,Engure Municipality,Garkalne Municipality,Grobiņa Municipality,Gulbene Municipality,Iecava Municipality,Ikšķile Municipality,Inčukalns Municipality,Jēkabpils,Jēkabpils Municipality,Jelgava,Jelgava Municipality,Jūrmala,Ķegums Municipality,Ķekava Municipality,Kocēni Municipality,Krāslava Municipality,Krimulda Municipality,Kuldīga Municipality,Lielvārde Municipality,Limbaži Municipality,Madona Municipality,Mārupe Municipality,Ogre Municipality,Olaine Municipality,Ozolnieki Municipality,Preiļi Municipality,Priekuļi Municipality,Rēzekne,Rēzekne Municipality,Riga,Ropaži Municipality,Salacgrīva Municipality,Salaspils Municipality,Saldus Municipality,Saulkrasti Municipality,Sigulda Municipality,Smiltene Municipality,Stopiņi Municipality,Talsi Municipality,Tukums Municipality,Valmiera,Ventspils,Ventspils Municipality
2020-02-15,6,0,0,NA,NA,NA,NA,NA,0,0,NA,0,6,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,12,NA,NA,NA,NA,NA,0,NA,0,0,6,0,NA,NA,NA,NA,0,NA,3,NA,NA,0,0,NA,0,0,NA,0,0,0,0,NA
2020-02-16,5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,-2,NA,NA,NA,0,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,0,NA,2,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-02-17,0,0,0,NA,0,0,NA,NA,0,NA,0,0,6,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,-8,0,4,NA,0,NA,NA,NA,0,NA,0,0,1,0,0,0,NA,NA,0,0,-1,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-18,0,0,0,NA,0,0,NA,NA,0,NA,0,0,4,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,-9,0,3,NA,0,NA,NA,NA,0,NA,0,0,5,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-19,0,0,0,NA,0,0,NA,NA,0,NA,0,0,-2,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,-4,0,-1,NA,0,NA,NA,NA,0,NA,0,0,10,0,0,0,NA,NA,0,0,-1,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-20,3,0,0,NA,NA,0,NA,NA,0,NA,0,0,12,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,-15,0,4,NA,0,NA,NA,NA,0,NA,0,0,9,0,0,0,NA,NA,0,0,1,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-21,2,0,0,0,NA,0,NA,NA,0,NA,0,0,8,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,6,0,3,NA,0,0,NA,NA,0,NA,0,0,2,0,0,0,NA,NA,0,0,-1,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-22,-3,0,0,NA,NA,NA,NA,NA,0,0,NA,0,-13,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,-13,NA,NA,0,NA,0,0,NA,0,0,6,0,NA,NA,NA,NA,0,NA,-6,NA,NA,0,0,NA,0,0,NA,0,0,0,0,NA
2020-02-23,5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,-2,NA,NA,NA,NA,NA,0,NA,NA,NA,4,0,NA,NA,NA,NA,0,NA,2,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-02-24,4,0,0,NA,0,0,NA,NA,0,NA,0,0,14,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,0,13,NA,0,NA,NA,NA,0,NA,0,0,2,0,0,0,NA,NA,0,0,2,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-25,-1,0,0,NA,0,0,NA,NA,0,NA,0,0,1,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,-7,0,-1,NA,0,NA,NA,NA,0,NA,0,0,5,0,0,0,NA,NA,0,0,-2,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-02-26,2,0,0,NA,0,0,NA,NA,0,NA,0,0,-2,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,-7,0,6,NA,0,NA,NA,NA,0,NA,0,0,8,0,0,0,NA,NA,0,0,1,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
