date,AO
2020-02-15,2
2020-02-16,-5
2020-02-17,5
2020-02-18,5
2020-02-19,4
2020-02-20,4
2020-02-21,5
2020-02-22,-1
2020-02-23,-6
2020-02-24,-63
2020-02-25,-69
2020-02-26,2
2020-02-27,4
2020-02-28,4
2020-02-29,5
2020-03-01,5
2020-03-02,8
2020-03-03,8
2020-03-04,8
2020-03-05,9
2020-03-06,8
2020-03-07,3
2020-03-08,0
2020-03-09,8
2020-03-10,8
2020-03-11,8
2020-03-12,8
2020-03-13,8
2020-03-14,2
2020-03-15,-4
2020-03-16,7
2020-03-17,6
2020-03-18,5
2020-03-19,5
2020-03-20,3
2020-03-21,-1
2020-03-22,-10
2020-03-23,-68
2020-03-24,-14
2020-03-25,-22
2020-03-26,-27
2020-03-27,-47
2020-03-28,-22
2020-03-29,-11
2020-03-30,-54
2020-03-31,-55
2020-04-01,-55
2020-04-02,-55
2020-04-03,-53
2020-04-04,-36
2020-04-05,-17
2020-04-06,-52
2020-04-07,-54
2020-04-08,-53
2020-04-09,-53
2020-04-10,-69
2020-04-11,-31
