date,PY
2020-02-15,2
2020-02-16,-2
2020-02-17,11
2020-02-18,11
2020-02-19,12
2020-02-20,14
2020-02-21,14
2020-02-22,4
2020-02-23,3
2020-02-24,16
2020-02-25,14
2020-02-26,16
2020-02-27,19
2020-02-28,17
2020-02-29,7
2020-03-01,4
2020-03-02,20
2020-03-03,19
2020-03-04,20
2020-03-05,21
2020-03-06,19
2020-03-07,7
2020-03-08,5
2020-03-09,20
2020-03-10,19
2020-03-11,7
2020-03-12,4
2020-03-13,-1
2020-03-14,-3
2020-03-15,-10
2020-03-16,-12
2020-03-17,-19
2020-03-18,-25
2020-03-19,-26
2020-03-20,-27
2020-03-21,-48
2020-03-22,-39
2020-03-23,-57
2020-03-24,-61
2020-03-25,-62
2020-03-26,-61
2020-03-27,-59
2020-03-28,-54
2020-03-29,-30
2020-03-30,-44
2020-03-31,-44
2020-04-01,-49
2020-04-02,-50
2020-04-03,-51
2020-04-04,-51
2020-04-05,-34
2020-04-06,-62
2020-04-07,-61
2020-04-08,-65
2020-04-09,-73
2020-04-10,-82
2020-04-11,-59
