date,MM
2020-02-15,0
2020-02-16,-1
2020-02-17,2
2020-02-18,2
2020-02-19,-1
2020-02-20,1
2020-02-21,0
2020-02-22,-4
2020-02-23,0
2020-02-24,0
2020-02-25,2
2020-02-26,-1
2020-02-27,-1
2020-02-28,4
2020-02-29,6
2020-03-01,3
2020-03-02,6
2020-03-03,8
2020-03-04,6
2020-03-05,6
2020-03-06,7
2020-03-07,6
2020-03-08,-3
2020-03-09,9
2020-03-10,8
2020-03-11,7
2020-03-12,7
2020-03-13,9
2020-03-14,1
2020-03-15,0
2020-03-16,2
2020-03-17,4
2020-03-18,4
2020-03-19,2
2020-03-20,2
2020-03-21,-2
2020-03-22,-5
2020-03-23,-3
2020-03-24,14
2020-03-25,-4
2020-03-26,-10
2020-03-27,-21
2020-03-28,-23
2020-03-29,-29
2020-03-30,-20
2020-03-31,-19
2020-04-01,-23
2020-04-02,-25
2020-04-03,-27
2020-04-04,-29
2020-04-05,-29
2020-04-06,-21
2020-04-07,-24
2020-04-08,-21
2020-04-09,-18
2020-04-10,-46
2020-04-11,-49
