date,HR,Bjelovar-Bilogora County,Brod-Posavina County,City of Zagreb,Dubrovnik-Neretva County,Istria County,Karlovac County,Koprivnica-Križevci County,Krapina-Zagorje County,Lika-Senj County,Međimurje County,Osijek-Baranja County,Požega-Slavonia County,Primorje-Gorski Kotar County,Šibenik-Knin County,Sisak-Moslavina County,Split-Dalmatia County,Varaždin County,Virovitica-Podravina County,Vukovar-Srijem County,Zadar County,Zagreb County
2020-02-15,-2,0,-1,-2,-2,-3,0,0,-2,0,-2,-1,0,-2,0,-1,-1,-2,0,0,-1,-1
2020-02-16,-2,0,0,-3,0,-2,0,0,0,0,0,-3,0,-3,0,0,-2,0,0,0,-2,-2
2020-02-17,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0
2020-02-18,1,1,0,1,0,1,2,0,2,0,1,0,-1,2,0,0,0,1,0,0,1,1
2020-02-19,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0
2020-02-20,0,1,-1,-1,1,-1,0,0,1,0,0,0,-1,0,1,0,1,0,0,1,1,0
2020-02-21,0,0,0,-1,-1,-1,0,-1,1,0,0,0,-1,0,-1,0,-1,0,0,0,-1,-1
2020-02-22,-2,0,-1,-2,-1,-3,0,0,-2,0,-1,-1,0,-2,0,-1,-1,-2,0,0,-1,-2
2020-02-23,-2,0,0,-3,0,-2,0,0,0,0,0,-2,0,-3,0,0,-2,0,0,0,-2,-2
2020-02-24,-1,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0
2020-02-25,0,0,-1,0,0,0,1,-1,1,0,1,-1,-1,2,0,0,0,0,-1,0,1,0
2020-02-26,2,2,1,2,2,1,2,2,3,0,2,2,1,3,3,1,2,2,2,2,3,2
2020-02-27,1,1,0,1,1,1,2,0,2,0,2,1,-1,2,1,1,2,1,1,1,1,1
2020-02-28,1,1,1,1,2,1,1,0,1,0,2,2,0,1,1,1,1,1,2,1,1,1
2020-02-29,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,1,0,1,1,1
2020-03-01,2,0,0,1,0,5,0,0,0,0,0,0,0,3,0,0,2,0,0,0,3,2
2020-03-02,0,0,0,-1,1,2,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,0
2020-03-03,1,0,0,1,3,1,1,0,2,0,1,1,0,1,1,0,1,1,0,1,1,0
2020-03-04,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,-1,0,1,2,0,0
2020-03-05,0,0,-1,-1,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,-1
2020-03-06,1,1,2,0,3,1,0,0,0,0,0,1,0,2,2,0,2,1,1,2,1,0
2020-03-07,-1,0,0,-1,1,-1,0,0,-1,0,-1,0,0,0,0,0,1,-1,0,0,1,-1
2020-03-08,-2,0,0,-3,0,-3,0,0,0,0,0,-2,0,-3,0,0,-1,0,0,0,-2,-3
2020-03-09,-1,0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,0,0,0,-1,0
2020-03-10,0,0,-1,-1,0,1,0,-1,0,0,0,-1,-1,1,0,-1,0,-1,0,0,0,-1
2020-03-11,-1,-2,-1,-1,-1,1,-1,-2,-1,0,-1,-1,-2,0,-1,-1,0,-1,0,0,0,-1
2020-03-12,0,-1,-2,-1,0,2,0,-2,-1,0,-1,-2,-3,1,0,-1,0,0,-2,0,0,-1
2020-03-13,3,2,1,5,1,9,2,1,2,0,2,1,0,4,0,2,0,3,1,1,1,3
2020-03-14,4,0,0,5,1,6,0,0,0,0,0,3,0,5,0,3,3,4,0,2,3,5
2020-03-15,4,0,0,4,0,7,0,0,0,0,0,3,0,3,0,0,3,0,0,0,2,4
2020-03-16,9,7,6,11,6,12,8,8,9,0,8,7,0,8,6,8,6,9,0,7,5,10
2020-03-17,11,7,7,15,8,13,11,9,11,0,9,8,0,10,8,9,8,9,0,8,10,12
2020-03-18,12,7,8,16,8,14,11,8,13,0,10,9,0,11,8,10,9,11,0,9,11,13
2020-03-19,15,11,11,20,14,15,14,12,16,0,13,12,0,15,13,13,14,14,0,10,13,17
2020-03-20,18,14,14,23,16,18,17,15,21,0,16,15,0,18,15,16,16,17,0,14,14,20
2020-03-21,13,0,0,16,0,12,0,0,0,0,0,11,0,13,0,0,14,0,0,0,12,15
2020-03-22,11,0,0,4,0,0,0,0,0,0,0,12,0,14,0,0,16,0,0,0,0,12
2020-03-23,22,20,17,23,22,21,23,22,25,0,20,18,0,22,0,21,22,22,0,17,20,26
2020-03-24,27,0,20,30,0,24,28,25,31,0,24,23,0,26,0,25,26,26,0,22,24,30
2020-03-25,27,0,21,31,0,25,28,25,31,0,25,25,0,27,0,25,26,28,0,23,25,31
2020-03-26,28,0,21,32,0,26,29,25,32,0,26,24,0,28,0,25,27,29,0,23,25,32
2020-03-27,29,0,23,33,0,27,30,0,34,0,27,26,0,29,0,27,28,30,0,24,25,32
2020-03-28,18,0,0,19,0,15,0,0,0,0,0,17,0,19,0,0,21,0,0,0,0,20
2020-03-29,15,0,0,16,0,0,0,0,0,0,0,0,0,15,0,0,17,0,0,0,0,15
2020-03-30,25,21,19,29,21,22,24,23,28,0,23,21,0,24,0,23,23,25,0,20,21,29
2020-03-31,25,20,18,29,23,22,24,21,27,0,21,20,0,24,0,22,25,23,0,19,23,28
2020-04-01,24,19,18,29,22,21,23,19,25,0,20,21,0,23,0,21,24,22,0,19,22,27
2020-04-02,24,20,18,29,21,21,22,20,26,0,22,20,0,23,0,21,24,23,0,19,21,27
2020-04-03,25,21,20,30,23,23,24,22,28,0,22,22,0,25,0,23,24,25,0,20,22,28
2020-04-04,16,0,0,17,0,13,0,0,0,0,0,15,0,17,0,0,19,0,0,0,16,17
2020-04-05,13,0,0,14,0,0,0,0,0,0,0,11,0,13,0,0,16,0,0,0,0,13
