date,KW,Al Ahmadi Governorate,Al Asimah Governate,Al Farwaniyah Governorate,Al Jahra Governorate,Hawalli Governorate,Mubarak Al-Kabeer Governorate
2020-02-15,6,8,7,6,5,9,5
2020-02-16,4,2,3,6,3,6,8
2020-02-17,2,2,0,3,-1,4,4
2020-02-18,2,1,3,2,3,3,1
2020-02-19,2,1,4,3,2,2,6
2020-02-20,3,4,4,2,5,2,12
2020-02-21,8,8,9,5,8,9,9
2020-02-22,6,7,8,5,11,6,7
2020-02-23,8,6,9,9,8,9,13
2020-02-24,11,16,9,12,11,10,13
2020-02-25,0,12,-10,3,-1,-3,-12
2020-02-26,-1,9,-10,2,0,-4,-13
2020-02-27,-6,-4,-9,-5,2,-5,-5
2020-02-28,-7,-9,-14,-6,0,-5,-2
2020-02-29,-3,-1,-7,-1,6,-4,-1
2020-03-01,0,-3,-3,3,3,0,7
2020-03-02,0,-1,-3,2,2,-1,-2
2020-03-03,-2,-2,-4,-1,2,-1,-1
2020-03-04,-2,-2,-5,-2,3,-2,0
2020-03-05,-3,-4,-5,-2,2,-3,1
2020-03-06,-2,0,-8,-1,0,-5,3
2020-03-07,-3,0,-6,-1,0,-5,-1
2020-03-08,-2,-3,-5,1,-1,-3,2
2020-03-09,-1,0,-3,-1,1,-1,2
2020-03-10,-2,0,-3,-3,3,-2,-1
2020-03-11,13,20,16,13,10,11,14
2020-03-12,-2,-2,0,-5,2,2,2
2020-03-13,-13,-16,-19,-17,-4,-5,-4
2020-03-14,-16,-12,-20,-18,-6,-15,-12
2020-03-15,-12,-13,-14,-15,-9,-8,-9
2020-03-16,-16,-15,-18,-21,-13,-13,-15
2020-03-17,-18,-18,-19,-23,-14,-15,-19
2020-03-18,-19,-18,-20,-23,-14,-17,-17
2020-03-19,-18,-18,-19,-22,-10,-17,-11
2020-03-20,-24,-26,-32,-30,-14,-18,-14
2020-03-21,-18,-15,-21,-20,-10,-15,-14
2020-03-22,-38,-39,-42,-41,-37,-35,-40
2020-03-23,-30,-28,-32,-34,-29,-29,-33
2020-03-24,-29,-26,-30,-33,-26,-26,-33
2020-03-25,-27,-24,-29,-31,-26,-25,-32
2020-03-26,-27,-26,-28,-31,-26,-25,-30
2020-03-27,-29,-28,-33,-33,-29,-25,-31
2020-03-28,-30,-25,-33,-31,-29,-30,-34
2020-03-29,-30,-28,-34,-31,-30,-28,-34
2020-03-30,-34,-30,-38,-35,-33,-33,-40
2020-03-31,-35,-31,-38,-37,-32,-34,-42
2020-04-01,-35,-31,-37,-38,-32,-33,-39
2020-04-02,-37,-37,-40,-41,-34,-36,-39
2020-04-03,-41,-41,-46,-46,-34,-37,-39
2020-04-04,-36,-32,-40,-38,-29,-35,-40
2020-04-05,-33,-32,-37,-36,-30,-30,-35
2020-04-06,-32,-28,-39,-31,-32,-33,-38
2020-04-07,-42,-41,-45,-50,-35,-37,-45
2020-04-08,-42,-40,-45,-49,-37,-39,-44
2020-04-09,-42,-42,-46,-48,-34,-39,-42
2020-04-10,-42,-41,-48,-51,-32,-35,-38
2020-04-11,-34,-30,-38,-40,-25,-31,-36
