date,ID,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South East Sulawesi,South Kalimantan,South Sulawesi,South Sumatra,Special Region of Yogyakarta,West Java,West Kalimantan,West Nusa Tenggara,West Papua,West Sulawesi,West Sumatra
2020-02-15,-2,-1,5,-3,0,-2,-5,-2,0,-2,-2,5,-4,2,2,-1,2,-12,-8,6,-6,5,-1,-1,3,-2,1,-3,-2,-6,-1,3,3,-7,-1
2020-02-16,-3,4,0,-4,-8,-1,-1,-6,3,-1,-1,-2,-4,-10,1,1,0,5,5,2,-2,3,-1,-1,0,-3,-4,0,3,-6,-6,-1,4,-4,-2
2020-02-17,-3,4,1,-9,-3,1,-2,-2,0,-8,-3,-5,-1,-2,-6,-1,-13,0,-2,0,-3,-2,-4,-2,-6,-12,-6,-5,0,-4,-4,-9,-4,-4,-4
2020-02-18,-3,0,-18,-3,-1,0,-4,2,-2,-2,-1,-4,-6,-1,1,-5,-4,-3,-5,-1,-8,0,-2,-2,-2,1,-9,0,1,-5,-1,-2,-7,1,-1
2020-02-19,-3,-2,-10,-6,-4,1,-6,-5,-1,-2,-5,-3,-8,-1,0,-6,-13,-7,-4,-3,-4,-1,-3,-5,-5,-2,-6,-4,-6,-1,-5,-5,-3,-1,1
2020-02-20,-2,2,-8,-5,-1,-3,-3,3,-4,1,0,-4,-3,-2,2,1,-2,-2,-4,-3,-3,0,0,-3,-7,0,-6,-1,-5,-1,-7,-6,-1,0,1
2020-02-21,-2,-1,-6,-7,0,4,-1,2,-1,-9,-2,-13,-7,6,2,3,0,-1,-4,2,-5,0,-3,-5,-3,-2,-3,-1,-10,1,-10,-5,1,-5,-2
2020-02-22,0,0,1,-10,1,-1,-2,0,0,-2,-2,3,-7,2,1,0,-2,-3,-6,-2,-4,0,0,-5,1,-3,-1,-3,3,0,-5,-1,-5,2,0
2020-02-23,-2,0,-3,-7,0,0,0,0,0,0,1,-2,-7,-7,2,1,-3,-5,1,-4,-4,-2,-2,-5,-1,-2,-4,-1,3,-4,-8,-1,-3,4,-1
2020-02-24,-2,1,0,-5,-3,-1,-3,0,-1,-1,-3,-3,-4,-2,-1,0,-4,-2,-6,-6,-4,-3,-3,-9,-4,-4,-4,-5,-3,-6,-6,-3,0,3,-2
2020-02-25,-5,-2,0,-3,-2,-2,-3,-5,1,-9,0,-1,-9,-17,4,-1,-6,-5,-7,-4,-4,1,-1,-2,-3,-1,-1,-3,-5,-3,-8,-2,-1,0,-2
2020-02-26,-2,-2,-1,-1,1,-5,-5,1,-2,-5,-2,-3,-5,2,2,-1,-5,-6,-11,-2,-4,-1,-2,-5,-5,0,-1,1,-6,-1,-7,-2,-7,-5,2
2020-02-27,0,0,1,0,2,2,-4,0,-7,-3,2,-3,5,2,2,2,-8,-2,-7,1,-3,-4,0,-2,-5,5,-2,1,2,2,-4,-2,-2,-2,1
2020-02-28,1,-1,-7,-2,5,5,-2,-2,0,-2,2,-8,0,9,3,3,-3,-1,-4,8,-5,0,2,1,2,12,-2,4,4,0,-6,0,2,3,0
2020-02-29,2,0,-10,0,7,-5,-2,-7,4,-2,2,3,5,5,3,1,-3,3,-6,6,0,1,3,3,3,14,2,1,1,5,1,4,-2,-1,1
2020-03-01,1,3,-14,2,6,-1,-5,-6,4,1,4,0,3,4,6,4,0,1,-10,-3,0,3,3,2,1,21,2,6,0,4,-9,-17,1,0,-1
2020-03-02,5,6,4,2,9,0,5,3,0,3,2,-2,-7,6,3,5,-3,-1,-7,-11,0,0,2,4,-3,22,1,5,1,9,0,6,0,0,-2
2020-03-03,3,4,0,1,7,-1,2,2,-1,0,3,-2,-3,3,5,7,-2,-2,-4,5,0,2,2,3,0,9,3,5,4,5,-2,2,3,-1,3
