date,IN
2020-02-15,1
2020-02-16,2
2020-02-17,-1
2020-02-18,0
2020-02-19,0
2020-02-20,1
2020-02-21,-4
2020-02-22,-2
2020-02-23,-2
2020-02-24,-1
2020-02-25,-1
2020-02-26,0
2020-02-27,-1
2020-02-28,0
2020-02-29,-2
2020-03-01,1
2020-03-02,0
2020-03-03,-1
2020-03-04,0
2020-03-05,-1
2020-03-06,-1
2020-03-07,0
2020-03-08,2
2020-03-09,-1
2020-03-10,-19
2020-03-11,-5
2020-03-12,-3
2020-03-13,-5
2020-03-14,-11
2020-03-15,-11
2020-03-16,-8
2020-03-17,-11
2020-03-18,-12
2020-03-19,-16
2020-03-20,-22
2020-03-21,-34
2020-03-22,-78
2020-03-23,-54
2020-03-24,-68
2020-03-25,-77
2020-03-26,-76
2020-03-27,-77
2020-03-28,-78
2020-03-29,-77
2020-03-30,-76
2020-03-31,-75
2020-04-01,-76
2020-04-02,-76
2020-04-03,-76
2020-04-04,-77
2020-04-05,-77
2020-04-06,-76
2020-04-07,-78
2020-04-08,-78
2020-04-09,-78
2020-04-10,-79
2020-04-11,-80
