date,total,Al Ahmadi Governorate,Al Asimah Governate,Al Farwaniyah Governorate,Al Jahra Governorate,Hawalli Governorate,Mubarak Al-Kabeer Governorate
2020-02-29,3.3507161822617695,3.1154456553041032,2.7822074551266684,3.049172318732804,4.213408324467957,3.7424266957183727,NA
2020-03-01,3.4445623490810835,2.7466121444516802,4.021235372248601,2.507927467936689,4.077804378393126,3.916978409789901,NA
2020-03-02,3.8982881643118543,3.19879244866556,4.290292575337235,3.3470964755427013,4.744200913389437,4.2679791391728665,NA
2020-03-03,4.276937046087173,3.72282343681173,4.426770866759005,2.528044533187518,4.766478704530303,4.709101677451459,NA
2020-03-04,4.309579191067804,3.409554454866945,4.627588924136753,3.2714179919800586,5.339889676503873,4.665463748933576,NA
2020-03-05,4.791866883156627,3.970947798657905,4.6646330318083775,4.0167073617488676,5.180070740058537,5.645419839346016,NA
2020-03-06,4.86857592386111,4.3177470997710925,5.0535961623604235,3.5655103268374164,6.149638954493577,5.249832530825215,NA
2020-03-07,3.735077439408699,2.961206187129454,3.889631305520465,3.0031904553023376,4.441997833565529,4.481425528662508,NA
2020-03-08,4.001926974625357,3.3319557162200715,4.388751914148655,2.8345902893906274,5.041560995139245,4.5895716993372595,NA
2020-03-09,4.265512295343953,3.7007892270724945,4.713375278744723,3.4448079353324426,4.963104426338807,4.65218264025422,NA
2020-03-10,5.040763238633938,4.59940178078567,4.901520351919022,3.3365589651732193,5.1326093589323465,5.469919474654534,NA
2020-03-11,3.9439871672847375,3.1259837556141727,4.254223312604338,2.7301731411839434,5.375727862252221,4.210111451355675,NA
2020-03-12,12.58925926540485,11.72315759039247,11.176597222504293,12.423724725619143,8.822973891397384,14.410002917100654,NA
2020-03-13,11.11954668765194,9.830131571056397,11.709837403987926,9.408080848971055,11.144707168121451,12.237592997406086,NA
2020-03-14,11.361914614133127,9.8981502185123,11.173672687688113,11.532826121653857,9.446752043341606,12.453885338755589,NA
2020-03-15,15.048844889695394,12.960905372266057,14.264905988391218,14.718028119701792,11.6261011766871,17.481733624511577,NA
2020-03-16,16.537326700812166,13.983101102342772,15.48833638649352,16.967307605842105,13.146802571954847,19.147564113150732,NA
2020-03-17,17.42519304428533,14.978472577084766,16.34327539775704,16.70003802465252,13.542959814416315,19.99565776738957,NA
2020-03-18,19.451454193957996,16.835094249895146,17.599850523776055,20.815414801679264,15.276753124944511,21.36550926260309,NA
2020-03-19,19.98352115714228,17.287274554109025,18.904193051792696,20.325899547242425,14.766301127934254,23.018058642562888,NA
2020-03-20,16.130115942178794,14.835729218339283,17.13192495318713,14.133675271939614,14.971644246276142,17.218008752164376,NA
2020-03-21,13.924322995112657,12.129353456889683,14.495944238869502,14.29940157138692,11.633849973605662,14.829306491120304,NA
2020-03-22,28.75936183518492,28.835116475706705,23.563951858907437,32.22658057634001,21.29950552989664,29.33227716897645,NA
2020-03-23,23.347294197396305,20.528219404014862,21.671777832838462,24.65202653165881,20.056792224082297,25.381147336868203,NA
2020-03-24,23.671267486329068,20.913339069891936,21.79655798499551,23.782202948432484,19.463040660197503,25.81847527266698,NA
2020-03-25,23.4452206323382,20.602944115304442,21.686400506919362,24.63190946640798,19.423328075989872,25.46178263956429,NA
2020-03-26,25.018572020404612,22.28616613755823,23.078479079421424,26.093749541301555,20.28731893240951,27.479562508206364,NA
2020-03-27,19.909260277311347,17.694428429725335,21.567469424394677,18.227977028227393,20.675727377952416,20.23282042237806,NA
2020-03-28,19.766450893021087,17.24512215286875,19.99601938316686,20.885345552313098,17.590737604750018,20.506031800924802,NA
2020-03-29,23.04127408820289,20.081787154515563,21.603538687127575,24.137604434530463,19.179240973055176,25.402017650507194,NA
2020-03-30,23.9732073273999,20.616356242971804,22.486748201614176,25.33504879469886,19.97930425489668,26.694079794884484,NA
2020-03-31,24.62033785164091,21.573407352949907,22.76555385409008,25.192313426966784,19.982210053741138,26.854401749656706,NA
2020-04-01,25.376819561567036,21.736268903196432,23.30171857038989,27.57474872595783,20.330905915076418,27.557351859042587,NA
2020-04-02,28.312980502574792,24.920691215075536,26.22722823150942,30.91226564661918,22.416300885784352,30.31982246434852,NA
2020-04-03,21.96734751834013,19.460997245340575,23.804738558772993,20.347932523469524,22.39983469233241,22.41661414951208,NA
2020-04-04,21.937969587857562,19.23682311147183,21.693224421490452,24.0255236424187,19.362306300256197,22.44412501749074,NA
2020-04-05,25.480458371880538,22.653083630172457,23.340712367938973,28.01732416147607,21.015705842754315,26.8771693645356,NA
2020-04-06,25.044685736389116,21.483354495754774,23.88760037856478,26.766234293972126,20.962432863939203,27.5715816183419,NA
2020-04-07,30.460833642300308,29.64176015398655,25.174395697684332,36.022000220329765,22.01239484640432,28.827595039160943,NA
2020-04-08,30.863148079186587,29.979937373027862,25.316723058738464,37.766437164223085,22.94418767586137,28.894949233177673,NA
2020-04-09,33.3211015962281,32.6048823593542,27.913709975507015,40.466913685274854,23.884697901851805,31.59860350004646,NA
2020-04-10,23.572524997762656,22.180785134457533,24.13521099300142,23.606897094103832,22.3514047115914,22.45076557183042,NA
2020-04-11,24.99980278704075,25.000205971960604,22.00030057718944,31.000397551527573,19.000050044313436,22.00015652735229,NA
