date,HR,Bjelovar-Bilogora County,Brod-Posavina County,City of Zagreb,Dubrovnik-Neretva County,Istria County,Karlovac County,Koprivnica-Križevci County,Krapina-Zagorje County,Lika-Senj County,Međimurje County,Osijek-Baranja County,Požega-Slavonia County,Primorje-Gorski Kotar County,Šibenik-Knin County,Sisak-Moslavina County,Split-Dalmatia County,Varaždin County,Virovitica-Podravina County,Vukovar-Srijem County,Zadar County,Zagreb County
2020-02-15,5,0,16,3,23,61,18,0,0,21,0,14,0,14,12,11,14,0,0,-2,29,2
2020-02-16,9,0,24,5,31,22,0,0,0,27,0,15,0,22,0,13,15,0,0,-2,31,9
2020-02-17,5,0,9,1,28,10,8,0,9,16,0,9,0,7,8,17,3,0,0,6,8,9
2020-02-18,0,0,6,-4,14,4,5,0,11,27,0,5,0,4,6,9,3,-1,0,3,9,10
2020-02-19,2,0,3,0,9,8,8,0,0,18,0,4,0,4,9,2,2,-3,0,1,16,7
2020-02-20,3,0,11,1,13,8,11,0,-4,18,0,4,0,5,14,11,-4,0,0,1,11,10
2020-02-21,5,0,14,2,21,10,11,0,8,32,0,1,0,13,19,24,2,8,0,-1,24,6
2020-02-22,4,0,16,1,16,41,18,0,0,39,0,2,0,34,24,14,14,0,0,-2,22,8
2020-02-23,14,0,27,-1,37,14,0,0,0,33,0,18,0,133,0,25,16,0,0,10,46,9
2020-02-24,5,0,9,1,25,11,18,0,5,31,0,7,0,26,7,10,3,-2,0,10,11,6
2020-02-25,3,0,7,0,19,5,7,0,2,27,0,6,0,10,10,12,0,-3,0,0,20,9
2020-02-26,-8,0,2,-10,13,-5,-3,0,-7,5,0,-5,0,-7,-1,-7,-8,-9,0,-10,7,0
2020-02-27,-1,0,1,-3,11,9,0,0,9,9,0,1,0,0,-3,10,-7,-3,0,4,11,4
2020-02-28,-1,0,9,-5,10,7,10,0,7,9,-17,1,0,2,-5,7,-5,5,0,-1,16,-1
2020-02-29,-6,0,15,-5,21,8,8,0,0,2,0,6,0,-17,-2,-1,-5,0,0,5,24,-1
2020-03-01,-6,0,19,-7,7,-33,0,0,0,3,0,8,0,-23,-9,10,-1,0,0,12,25,0
2020-03-02,5,0,3,3,22,6,12,0,23,3,0,9,0,0,-4,9,1,3,0,13,7,11
2020-03-03,1,0,-1,-1,11,9,4,0,12,5,0,-1,0,4,-6,-5,-2,1,0,4,9,12
2020-03-04,1,0,-3,-1,17,-4,3,0,4,11,0,-4,0,0,1,-7,8,-2,0,7,8,9
2020-03-05,3,0,2,3,16,4,7,0,11,7,0,-2,0,7,6,5,0,-8,0,5,9,7
2020-03-06,1,0,10,0,6,2,8,0,20,14,-12,1,0,-5,-14,8,-7,8,0,10,5,0
2020-03-07,-2,0,11,-1,19,18,2,0,0,-5,0,11,0,-10,2,-2,6,0,0,16,13,-2
2020-03-08,9,0,21,10,24,17,0,0,0,16,0,16,0,11,0,7,9,0,0,14,21,1
2020-03-09,3,0,-2,0,21,4,8,0,27,19,0,4,0,5,4,5,3,0,0,10,7,5
2020-03-10,3,0,-4,2,19,4,5,0,16,9,-20,-1,0,11,-4,-2,2,-5,0,3,7,9
2020-03-11,3,0,4,3,16,5,4,0,16,14,0,2,0,0,9,-6,0,-1,0,13,13,7
2020-03-12,1,0,-4,0,20,-3,9,0,19,12,0,5,0,1,-4,-3,-3,1,0,0,13,2
2020-03-13,-11,0,-10,-16,13,-26,5,0,20,0,-17,-1,0,-10,-1,-19,0,5,0,0,11,-11
2020-03-14,-22,0,-17,-24,13,-30,-4,0,0,-9,0,-5,0,-31,-4,-32,-6,-24,0,-7,8,-15
2020-03-15,-25,0,-32,-27,10,-50,0,0,0,-27,0,-35,0,-33,-12,-31,-16,-44,0,-18,-2,-17
2020-03-16,-35,0,-35,-41,2,-40,-30,0,-29,-5,-50,-34,0,-35,-25,-27,-27,-61,0,-23,-24,-29
2020-03-17,-41,0,-45,-47,-11,-44,-38,0,-23,-20,-68,-43,0,-36,-32,-39,-36,-64,0,-31,-34,-28
2020-03-18,-45,0,-46,-49,-16,-49,-37,0,-32,-39,-58,-45,0,-45,-39,-45,-42,-66,0,-32,-39,-34
2020-03-19,-51,-59,-55,-55,-28,-50,-47,0,-35,-50,-56,-53,0,-50,-49,-46,-51,-71,0,-39,-45,-41
2020-03-20,-57,-70,-65,-60,-40,-59,-52,0,-51,-65,-60,-57,-59,-58,-56,-53,-55,-75,-55,-47,-51,-48
2020-03-21,-61,0,-68,-66,-48,-57,-45,0,-48,-61,0,-53,0,-67,-45,-43,-53,-67,0,-51,-44,-51
2020-03-22,-56,0,-74,-46,-66,-76,-56,0,0,-77,0,-79,0,-74,-72,-61,-73,0,0,-70,-69,-54
2020-03-23,-77,0,-77,-82,-65,-71,-63,0,-64,-78,-84,-73,-76,-75,-72,-68,-77,-87,-69,-65,-71,-69
2020-03-24,-82,0,-83,-86,-73,-74,-74,0,-77,-78,0,-82,0,-79,-79,-67,-80,-90,-77,-73,-77,-73
2020-03-25,-82,0,-87,-86,-67,-73,-74,0,-77,-80,0,-84,0,-79,-76,-69,-81,-100,0,-74,-78,-73
2020-03-26,-82,0,-86,-86,-74,-76,-76,0,-72,-79,0,-82,0,-81,-76,-61,-82,-91,0,-73,-79,-75
2020-03-27,-79,0,-85,-82,-74,-76,-73,0,-69,-82,0,-82,-75,-80,-77,-66,-82,-90,-79,-72,-76,-73
2020-03-28,-74,0,-80,-76,-68,-69,-69,0,-66,-79,0,-71,0,-79,-71,-61,-74,-81,0,-60,-75,-70
2020-03-29,-74,0,-83,-76,-66,-76,-66,0,-72,-83,0,-73,0,-81,-67,-71,-76,-83,0,-70,-75,-72
2020-03-30,-79,0,-78,-83,-65,-70,-71,0,-73,-79,-82,-80,-76,-80,-69,-69,-78,-88,-80,-70,-73,-75
2020-03-31,-77,0,-83,-81,-68,-70,-70,0,-71,-82,-75,-78,0,-77,-72,-60,-80,-85,-74,-66,-72,-72
2020-04-01,-76,0,-79,-80,-70,-70,-68,0,-66,-79,-79,-77,-75,-76,-70,-59,-79,-87,0,-68,-72,-69
2020-04-02,-74,0,-79,-78,-68,-67,-69,0,-63,-71,-77,-75,-70,-75,-65,-60,-77,-88,-74,-67,-72,-68
2020-04-03,-73,-73,-80,-77,-66,-69,-66,0,-62,-80,-74,-74,-62,-76,-72,-65,-77,-87,-70,-63,-70,-70
2020-04-04,-68,0,-80,-69,-64,-66,-61,0,-52,-79,0,-62,0,-75,-61,-60,-74,-76,0,-55,-64,-61
