date,CR
2020-02-15,4
2020-02-16,1
2020-02-17,20
2020-02-18,20
2020-02-19,19
2020-02-20,19
2020-02-21,21
2020-02-22,4
2020-02-23,1
2020-02-24,22
2020-02-25,20
2020-02-26,21
2020-02-27,20
2020-02-28,23
2020-02-29,6
2020-03-01,3
2020-03-02,23
2020-03-03,21
2020-03-04,21
2020-03-05,20
2020-03-06,22
2020-03-07,5
2020-03-08,1
2020-03-09,21
2020-03-10,19
2020-03-11,17
2020-03-12,15
2020-03-13,16
2020-03-14,3
2020-03-15,-3
2020-03-16,5
2020-03-17,-14
2020-03-18,-18
2020-03-19,-24
2020-03-20,-26
2020-03-21,-27
2020-03-22,-34
2020-03-23,-34
2020-03-24,-38
2020-03-25,-39
2020-03-26,-40
2020-03-27,-38
2020-03-28,-34
2020-03-29,-39
2020-03-30,-39
2020-03-31,-40
2020-04-01,-41
2020-04-02,-42
2020-04-03,-41
2020-04-04,-46
2020-04-05,-43
2020-04-06,-60
2020-04-07,-62
2020-04-08,-72
2020-04-09,-83
2020-04-10,-84
2020-04-11,-67
