date,LV,Ādaži Municipality,Aizkraukle Municipality,Aloja Municipality,Alūksne Municipality,Babīte Municipality,Baldone Municipality,Balvi Municipality,Bauska Municipality,Burtnieki Municipality,Carnikava Municipality,Cēsis Municipality,City of Liepāja,Daugavpils,Daugavpils Municipality,Dobele Municipality,Engure Municipality,Garkalne Municipality,Grobiņa Municipality,Gulbene Municipality,Iecava Municipality,Ikšķile Municipality,Inčukalns Municipality,Jēkabpils,Jēkabpils Municipality,Jelgava,Jelgava Municipality,Jūrmala,Ķegums Municipality,Ķekava Municipality,Kocēni Municipality,Krāslava Municipality,Krimulda Municipality,Kuldīga Municipality,Lielvārde Municipality,Limbaži Municipality,Madona Municipality,Mārupe Municipality,Ogre Municipality,Olaine Municipality,Ozolnieki Municipality,Preiļi Municipality,Priekuļi Municipality,Rēzekne,Rēzekne Municipality,Riga,Ropaži Municipality,Salacgrīva Municipality,Salaspils Municipality,Saldus Municipality,Saulkrasti Municipality,Sigulda Municipality,Smiltene Municipality,Stopiņi Municipality,Talsi Municipality,Tukums Municipality,Valmiera,Ventspils,Ventspils Municipality
2020-02-15,4,7,22,NA,NA,NA,NA,NA,-22,18,NA,18,1,2,NA,1,NA,NA,NA,0,NA,2,NA,8,NA,8,NA,12,NA,NA,NA,NA,NA,6,NA,4,9,1,-3,NA,NA,NA,NA,-1,NA,1,NA,NA,4,-1,NA,29,20,NA,3,5,23,0,NA
2020-02-16,5,-8,NA,NA,NA,NA,NA,NA,0,NA,NA,6,7,0,NA,-2,NA,NA,NA,NA,NA,4,NA,11,NA,4,NA,2,NA,NA,NA,-100,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,15,NA,0,NA,NA,11,11,NA,16,NA,NA,0,3,7,1,NA
2020-02-17,0,2,-4,NA,0,0,NA,NA,-11,NA,0,-1,5,-3,NA,-1,0,0,NA,-19,NA,-2,NA,-3,NA,0,0,-6,NA,0,NA,NA,NA,-4,NA,0,2,2,4,0,0,NA,NA,3,0,0,NA,NA,-5,-14,NA,2,4,0,-4,-3,-10,1,NA
2020-02-18,1,7,0,NA,0,0,NA,NA,-15,NA,0,-1,6,0,NA,1,0,0,NA,0,NA,2,NA,-2,NA,2,0,4,NA,0,NA,NA,NA,-1,NA,0,5,0,-5,0,0,NA,NA,4,0,1,NA,NA,-1,8,NA,2,20,0,1,0,-1,4,NA
2020-02-19,0,-2,-14,NA,0,0,NA,NA,12,NA,0,1,4,-7,NA,5,0,0,NA,0,NA,-1,NA,3,NA,-1,0,4,NA,0,NA,NA,NA,-5,NA,-5,-2,2,0,0,0,NA,NA,7,0,1,NA,NA,-3,1,NA,-10,7,0,-4,-4,3,-2,NA
2020-02-20,1,2,6,NA,NA,0,NA,NA,-3,NA,0,2,7,-3,NA,1,0,0,NA,0,NA,-1,NA,-4,NA,-3,0,6,NA,0,NA,NA,NA,-1,NA,0,-7,1,-2,0,0,NA,NA,5,0,-1,NA,NA,6,-1,NA,1,8,0,4,-1,0,5,NA
2020-02-21,4,11,-4,-100,NA,0,NA,NA,0,NA,0,1,11,5,NA,8,0,0,NA,-6,NA,6,NA,1,NA,2,0,-1,NA,0,0,NA,NA,-2,NA,-20,0,2,0,-7,0,NA,NA,13,0,3,NA,NA,4,2,NA,1,10,0,6,1,-5,3,NA
2020-02-22,-3,1,-13,NA,NA,NA,NA,NA,-21,-5,NA,-5,-5,4,NA,16,NA,NA,NA,0,NA,-14,NA,1,NA,-1,NA,-17,NA,NA,9,NA,0,-13,NA,-29,11,0,-3,NA,NA,NA,NA,0,NA,-4,NA,NA,-5,2,NA,4,2,NA,-2,2,-2,-15,NA
2020-02-23,7,8,NA,NA,NA,NA,NA,NA,0,NA,NA,13,7,1,NA,8,NA,NA,NA,NA,NA,6,NA,6,-100,5,NA,17,NA,NA,NA,NA,NA,-2,NA,NA,NA,4,2,NA,NA,NA,NA,12,NA,3,NA,NA,8,4,NA,4,NA,NA,8,1,-2,6,NA
2020-02-24,1,11,11,NA,0,0,NA,NA,-7,NA,0,3,2,-6,NA,0,0,0,NA,7,NA,-4,NA,-4,NA,1,0,12,NA,0,NA,NA,NA,-1,NA,0,-9,5,4,0,0,NA,NA,1,0,0,NA,NA,-3,-8,NA,2,12,0,-5,-1,-1,-4,NA
