date,BB,Christ Church,Saint George,Saint James,Saint John,Saint Lucy,Saint Michael,Saint Peter,Saint Philip,Saint Thomas
2020-02-15,2,-4,0,0,NA,NA,-1,0,0,NA
2020-02-16,0,-1,0,0,NA,NA,8,NA,0,NA
2020-02-17,4,5,0,0,NA,NA,2,0,0,0
2020-02-18,1,5,0,0,NA,NA,-2,0,0,0
2020-02-19,-3,0,0,0,NA,NA,-7,0,0,0
2020-02-20,4,10,0,0,NA,NA,-5,0,0,0
2020-02-21,2,-1,0,0,NA,NA,0,0,0,0
2020-02-22,-3,-7,0,0,NA,NA,-2,0,0,NA
2020-02-23,-4,-4,0,0,NA,NA,2,NA,0,NA
2020-02-24,0,-7,0,0,NA,NA,4,0,0,0
2020-02-25,4,9,0,0,NA,NA,0,0,0,0
2020-02-26,3,5,0,0,NA,NA,1,0,0,0
2020-02-27,7,12,0,0,NA,NA,6,0,0,0
2020-02-28,6,5,0,0,NA,NA,4,0,0,0
2020-02-29,3,-1,0,0,NA,NA,5,0,0,NA
2020-03-01,6,5,0,0,NA,NA,12,NA,0,NA
2020-03-02,0,-1,0,0,NA,NA,2,0,0,0
2020-03-03,0,3,0,0,NA,NA,-1,0,0,0
2020-03-04,-1,-3,0,0,NA,NA,-1,0,0,0
2020-03-05,-1,0,0,0,NA,NA,-2,0,0,0
2020-03-06,-1,-4,0,0,NA,NA,-1,0,0,0
2020-03-07,-6,-10,0,0,NA,NA,-3,0,0,NA
2020-03-08,-3,-5,0,0,NA,NA,0,NA,0,NA
2020-03-09,-7,-11,0,0,NA,NA,-4,0,0,0
2020-03-10,-6,-6,0,0,NA,NA,-5,0,0,0
2020-03-11,-7,-10,0,0,NA,NA,-4,0,0,0
2020-03-12,-3,-1,0,0,NA,NA,-7,0,0,0
2020-03-13,-7,-13,0,0,NA,NA,-6,0,0,0
2020-03-14,-6,-5,0,0,NA,NA,-9,0,0,NA
2020-03-15,-3,-8,0,0,NA,NA,15,NA,0,NA
2020-03-16,1,-1,0,0,NA,NA,7,0,0,0
2020-03-17,1,9,0,0,NA,NA,-3,0,0,0
2020-03-18,-13,-8,0,0,NA,NA,-16,0,0,0
2020-03-19,-25,-28,0,0,NA,NA,-22,0,0,0
2020-03-20,-21,-22,0,0,NA,NA,-24,0,0,0
2020-03-21,-19,-20,0,0,NA,NA,-18,0,0,NA
2020-03-22,-36,-34,0,0,NA,NA,-42,0,0,NA
2020-03-23,-33,-41,0,0,NA,NA,-25,0,0,0
2020-03-24,-35,-38,0,0,NA,NA,-33,0,0,0
2020-03-25,-42,-49,0,0,0,NA,-34,0,0,0
2020-03-26,-43,-54,0,0,0,NA,-33,0,0,0
2020-03-27,-42,-54,0,0,NA,NA,-32,0,0,0
2020-03-28,-54,-71,0,0,NA,NA,-36,0,0,NA
2020-03-29,-77,-83,0,0,NA,NA,-73,0,0,NA
2020-03-30,-70,-77,0,0,0,0,-66,0,0,0
2020-03-31,-68,-66,0,0,0,0,-68,0,0,0
2020-04-01,-72,-77,0,0,0,0,-69,0,0,0
2020-04-02,-74,-82,0,0,0,0,-70,0,0,0
2020-04-03,-74,-83,0,0,0,0,-70,0,0,0
2020-04-04,-92,-93,0,0,NA,NA,-93,0,0,NA
2020-04-05,-90,-100,0,0,NA,NA,-85,NA,0,NA
2020-04-06,-89,-91,0,0,0,0,-89,0,0,0
2020-04-07,-83,-82,0,0,NA,NA,-87,0,0,0
2020-04-08,-84,-86,0,0,0,0,-84,0,0,0
2020-04-09,-80,-85,0,0,0,0,-75,0,0,0
2020-04-10,-95,-96,0,0,NA,NA,-100,0,0,NA
2020-04-11,-81,-86,0,0,NA,NA,-80,0,0,0
