date,total,Buenos Aires,Buenos Aires Province,Catamarca Province,Chaco Province,Chubut Province,Cordoba,Corrientes,Entre Rios,La Pampa,La Rioja Province,Mendoza Province,Misiones Province,Neuquen,Río Negro,Salta Province,San Juan Province,San Luis Province,Santa Cruz Province,Santa Fe Province,Santiago del Estero Province,Tierra del Fuego Province,Tucumán
2020-02-29,5.611644667820102,12.767909303638804,5.671353660464554,35.36838355962552,-11.045302353445457,-9.347687932925094,-12.025867667139142,-7.5792986276536185,4.205510895347619,-6.363697269419714,-2.0820586373713996,2.4688525408398743,-5.653617539332555,2.8517936192978555,-31.790221367309,11.615135336699515,3.018820311016366,-45.72622415103105,-7.321834638067092,25.27711963394052,3.1760231575542903,7.636664015649547,-29.516092421847844
2020-03-01,0.9477123341477964,8.38693235199413,0.6609834541418085,31.3497318431319,-6.752092240384707,-10.877397111649909,-16.739660196322063,-14.457738682131941,-0.507611198937426,-2.2156653900897334,6.489882314829561,0.3096885540126371,-5.395413274802767,-0.8995590611208,-33.49220912976234,3.5878160537726558,-3.7685051776102303,-44.47190565519544,-7.692415363291462,17.04512607847935,-1.2985004425740916,16.329768370898115,-34.601742028516334
2020-03-02,6.9525653370503875,5.85148130417886,7.725605445056881,29.462066272313773,-10.824645744282558,-5.420888851730298,-3.505895262897007,-7.172472880913626,3.6548006323494673,9.773812079307282,-2.0398417802081084,16.221140223531485,-1.8784600211330749,3.0996508499683735,-34.79119529041992,12.03091962704326,2.632503109353201,-36.59698369210146,-5.013345945110117,26.592686311749045,9.298753721214908,-11.347626406382586,-19.28739310008344
2020-03-03,8.227683795103605,9.570206457862,8.833668086839795,30.78970829782524,-3.4259337013944005,-3.545575144898364,-4.752414344252016,-8.638780844874598,0.6790496982011982,3.147871908425544,-1.063097221293784,8.730908985486707,-5.456844772683459,8.349630647105299,-35.93702169742591,9.830328578841447,-0.92276262278454,-44.11903819210872,-4.291286593899745,31.134107859552667,4.118128703086339,-0.6796880224824916,-17.15115239811001
2020-03-04,7.590525799071978,9.551121391638326,7.9684156935171355,25.95612576712676,-10.191457213641195,0.987716562222569,-6.459498570305971,-12.370587635468231,10.23842210686997,-1.0173876067669056,4.703341677601199,11.396923493943323,-7.634783345984914,2.2823918731628807,-37.87449258111858,9.496934723911439,-5.072803848572005,-36.154453185115635,-1.1986567272076962,31.898611209193607,0.3563948970420428,NA,-8.445469286619542
2020-03-05,10.222614246154766,12.347083593406763,10.98330961189865,32.5402646558269,-9.504543595551477,-8.792217702513375,-6.087763600265941,-9.762853879705952,2.008416385229778,7.269105243080572,5.205146593428499,10.514984350994292,-1.3370949460594652,10.486561906129497,-36.249084695491035,7.032885888049417,-4.0563306174632325,-31.13332272676678,-4.53961388399855,29.52360587934459,-0.33632976879034604,11.393641956564759,-9.6747882754399
2020-03-06,12.077113148962182,15.225111579937003,11.986347185895184,59.10276074442363,-8.183482070258815,-3.3751795976143533,-3.493343172999552,-9.857330000986803,8.231921235598447,11.890897108628444,14.991781663100516,13.767675933822671,-1.385088303778757,10.742074958596788,-37.88885130802342,16.87087869344098,-2.9671838533683195,-38.79613856450809,-0.38299708972931173,32.34974580003503,4.960864089657604,16.12653302426019,-17.284129315966844
2020-03-07,8.502127163671384,19.009680212091823,8.271928504092458,37.578545447913335,-20.249561085223075,-16.430174042351446,-13.041621403456315,-16.73673409751901,-1.4021562174422484,-2.1209133928461554,3.1230879560570997,4.472210484965101,-3.1243675875258856,14.648458030400093,-39.29313479931647,15.753817673761695,-13.583257053527868,-50.21419693974341,-13.78216460048371,28.947317821366518,-5.646900379406095,-12.9227003428265,-29.223351868868054
2020-03-08,2.6377057090125375,11.35847716302038,1.1466039510623207,26.124132830718757,-14.179585580120198,-10.877397111649909,-16.671106474574422,-21.099988433408136,1.5228335968122781,8.861704469477687,7.788050672600762,5.388773192959024,-8.272135136497107,11.542108336359542,-39.601368803540296,9.493102610636381,-9.691398115980636,-46.23817120813229,-0.5128913645502254,22.515981901607873,-8.22192517170718,-5.0243228855158515,-31.141472158817326
2020-03-09,13.219022252681329,21.332332771513116,12.169418404972362,41.65416507677436,-14.348435854957895,-9.711583508480775,-4.29184919955307,-10.10701689294334,3.4402630690249705,6.8422427100438465,10.198249427014105,19.548849530623798,-5.635380063399225,11.65503170786194,-35.65846239547207,13.110617542290735,3.5103228893699963,-38.583068320403804,-5.784115649378333,26.641195407538447,5.510266410835016,-9.078484588024255,-13.443105393699344
2020-03-10,13.662785945131567,14.155393618100002,16.43305074400662,40.02623456403812,-10.56465469609497,0.506373208312935,-5.427330562584434,-14.397004032737108,2.9412716828996897,-2.0989003025774453,15.948377267459634,12.733777810954397,-6.0462032054763615,12.589041967068217,-38.48808884418528,6.851818535802947,-4.611900652528329,-40.055277654101715,1.170003578350142,33.819571402453846,1.7160462066689248,4.754940185491056,-34.59791535462118
2020-03-11,-6.115593309517661,-0.5105255214833154,-12.286005865542563,36.77037353856563,-14.721633337411669,-1.9763958111529571,-11.741031781004574,-8.73229292410156,6.905427819507248,-12.207694190321622,-1.1753556823870805,11.21130271467488,-6.7536252982587195,7.989807022656978,-37.17378670816254,11.757881556195409,-6.456469667400222,-26.78129068203046,-2.3973134544153925,22.855545572133675,0.3563948970420428,-11.164522862949363,-9.458581200363325
