date,QA
2020-02-15,0
2020-02-16,0
2020-02-17,-1
2020-02-18,-3
2020-02-19,-4
2020-02-20,-1
2020-02-21,0
2020-02-22,-1
2020-02-23,-2
2020-02-24,-3
2020-02-25,-3
2020-02-26,-3
2020-02-27,6
2020-02-28,6
2020-02-29,7
2020-03-01,8
2020-03-02,7
2020-03-03,5
2020-03-04,6
2020-03-05,8
2020-03-06,7
2020-03-07,5
2020-03-08,5
2020-03-09,16
2020-03-10,4
2020-03-11,0
2020-03-12,1
2020-03-13,-15
2020-03-14,-8
2020-03-15,-4
2020-03-16,-4
2020-03-17,-4
2020-03-18,-13
2020-03-19,-15
2020-03-20,-32
2020-03-21,-20
2020-03-22,-26
2020-03-23,-24
2020-03-24,-23
2020-03-25,-22
2020-03-26,-20
2020-03-27,-39
2020-03-28,-29
2020-03-29,-25
2020-03-30,-24
2020-03-31,-24
2020-04-01,-23
2020-04-02,-22
2020-04-03,-38
2020-04-04,-26
2020-04-05,-21
2020-04-06,-22
2020-04-07,-23
2020-04-08,-24
2020-04-09,-20
2020-04-10,-47
2020-04-11,-35
