date,YE
2020-02-15,3
2020-02-16,2
2020-02-17,3
2020-02-18,2
2020-02-19,-1
2020-02-20,0
2020-02-21,1
2020-02-22,5
2020-02-23,2
2020-02-24,4
2020-02-25,3
2020-02-26,0
2020-02-27,1
2020-02-28,4
2020-02-29,6
2020-03-01,-3
2020-03-02,5
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,2
2020-03-07,2
2020-03-08,1
2020-03-09,3
2020-03-10,0
2020-03-11,0
2020-03-12,-1
2020-03-13,1
2020-03-14,3
2020-03-15,1
2020-03-16,3
2020-03-17,0
2020-03-18,-1
2020-03-19,0
2020-03-20,4
2020-03-21,7
2020-03-22,1
2020-03-23,3
2020-03-24,-2
2020-03-25,-7
2020-03-26,-4
2020-03-27,-3
2020-03-28,2
2020-03-29,-1
2020-03-30,0
2020-03-31,-1
2020-04-01,-3
2020-04-02,-6
2020-04-03,0
2020-04-04,5
2020-04-05,2
2020-04-06,2
2020-04-07,2
2020-04-08,-2
2020-04-09,-3
2020-04-10,-2
2020-04-11,-1
