date,CA,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
2020-02-15,1,-2,-4,1,-3,-1,-2,-1,0,1,-7,2,-2,0
2020-02-16,0,-3,-2,-4,5,14,0,14,NA,-2,12,4,-3,0
2020-02-17,-52,-67,-67,-69,-64,-10,2,-67,-7,-72,-63,0,-68,2
2020-02-18,-1,-5,1,-1,1,-3,2,-2,-4,0,0,1,-18,1
2020-02-19,0,-1,0,0,-1,-10,2,-5,-2,1,-3,1,-15,2
2020-02-20,1,-1,0,2,0,-4,-2,0,1,2,-2,1,-15,1
2020-02-21,-3,2,1,0,0,31,-2,2,-4,-7,-2,1,-14,-39
2020-02-22,6,5,2,7,0,5,5,1,0,7,-3,3,2,0
2020-02-23,5,3,0,2,9,20,0,20,NA,5,11,6,3,0
2020-02-24,3,4,2,2,2,4,0,2,4,2,-3,2,1,0
2020-02-25,3,5,4,4,2,2,2,2,4,3,-2,2,2,-1
2020-02-26,1,5,2,4,1,1,1,2,5,-2,-2,1,3,2
2020-02-27,-5,2,3,6,-16,2,-2,1,6,-8,-5,-13,2,4
2020-02-28,0,4,3,3,-5,19,-1,5,4,-1,-14,0,3,-2
2020-02-29,7,5,3,7,1,7,7,4,0,8,1,3,5,0
2020-03-01,5,4,2,3,6,17,0,17,NA,6,-2,5,2,0
2020-03-02,-1,5,2,3,-17,-25,2,3,5,4,3,-14,2,4
2020-03-03,0,5,5,4,-16,1,2,3,6,4,1,-13,3,1
2020-03-04,-1,5,2,3,-18,0,2,1,5,4,0,-14,3,3
2020-03-05,-2,4,2,3,-17,-1,-1,5,8,0,-2,-14,3,2
2020-03-06,-1,6,4,2,-17,36,0,7,10,3,-5,-15,3,5
2020-03-07,6,3,2,6,-2,2,4,-2,0,9,-2,2,2,0
2020-03-08,4,2,0,2,6,6,0,19,0,5,13,4,3,0
2020-03-09,2,4,1,3,1,4,-1,2,-13,3,1,-1,-1,1
2020-03-10,1,4,3,4,-10,2,3,1,5,3,-1,-4,3,4
2020-03-11,2,4,0,4,0,0,1,1,7,2,0,1,3,4
2020-03-12,2,2,0,5,0,0,-3,3,9,1,0,1,2,3
2020-03-13,-6,-3,-2,-5,-5,29,-7,1,2,-4,-3,-15,-1,0
2020-03-14,-1,-5,-4,1,-3,-2,-2,-1,0,0,-4,-4,-1,0
2020-03-15,-5,-7,-8,-7,1,11,0,13,NA,-6,2,-6,-4,0
2020-03-16,-27,-22,-24,-11,-21,-20,-11,-29,-6,-31,-24,-30,-8,-10
2020-03-17,-35,-29,-31,-17,-34,-23,-15,-37,-10,-39,-35,-37,-18,-19
2020-03-18,-40,-35,-39,-23,-40,-33,-19,-42,-19,-44,-42,-41,-23,-25
2020-03-19,-43,-39,-43,-27,-43,-37,-34,-44,-20,-47,-48,-44,-29,-28
2020-03-20,-45,-40,-44,-31,-48,-17,-37,-47,-23,-49,-51,-46,-36,-30
2020-03-21,-32,-30,-37,-24,-36,-26,-27,-34,-19,-34,-38,-32,-27,-11
2020-03-22,-35,-34,-41,-32,-31,-18,-25,-25,NA,-38,-30,-32,-31,0
2020-03-23,-51,-46,-52,-40,-51,-46,-45,-55,-39,-55,-53,-49,-44,-38
2020-03-24,-55,-49,-54,-42,-55,-54,-48,-61,-35,-57,-56,-55,-47,-46
2020-03-25,-59,-50,-56,-43,-54,-62,-48,-58,-38,-61,-56,-64,-48,-46
2020-03-26,-59,-51,-57,-43,-55,-58,-48,-59,-38,-61,-56,-65,-49,-48
2020-03-27,-59,-50,-56,-44,-55,-45,-49,-57,-40,-61,-56,-64,-49,-46
2020-03-28,-44,-40,-48,-33,-40,-42,-35,-42,-35,-46,-46,-47,-36,-31
2020-03-29,-44,-41,-47,-36,-35,-35,-32,-32,-32,-46,-34,-45,-37,0
2020-03-30,-60,-52,-56,-47,-55,-59,-49,-59,-40,-63,-55,-66,-49,-45
2020-03-31,-60,-53,-56,-47,-56,-61,-48,-60,-39,-62,-56,-66,-50,-46
2020-04-01,-61,-53,-57,-49,-57,-60,-48,-60,-40,-63,-57,-67,-50,-44
2020-04-02,-61,-53,-57,-52,-57,-60,-52,-60,-37,-63,-58,-67,-50,-47
2020-04-03,-60,-52,-55,-54,-56,-45,-48,-58,-33,-62,-56,-66,-49,-47
2020-04-04,-45,-42,-47,-37,-42,-44,-35,-44,-23,-46,-44,-48,-39,-31
2020-04-05,-46,-43,-47,-40,-37,-33,-34,-33,NA,-47,-32,-52,-39,-32
2020-04-06,-60,-52,-55,-48,-56,-57,-48,-59,-37,-63,-54,-66,-50,-43
2020-04-07,-61,-53,-55,-49,-57,-60,-46,-60,-32,-63,-56,-67,-50,-46
2020-04-08,-61,-53,-56,-49,-57,-59,-46,-60,-33,-64,-55,-67,-50,-47
2020-04-09,-62,-54,-56,-49,-57,-60,-48,-60,-29,-64,-56,-68,-51,-47
2020-04-10,-81,-78,-78,-82,-83,-74,-73,-83,-62,-86,-81,-77,-77,-78
2020-04-11,-47,-45,-48,-38,-41,-43,-38,-46,-28,-48,-42,-49,-40,-38
