date,total,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Faro District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District
2020-02-29,2.990671261589093,-4.000319999999999,10.89699003916426,NA,-8.102208176124684,NA,-13.272832682307914,22.09985848928045,27.57756530802865,2.8999546098551447,1.4806193985743783,NA,-1.3522244136251649,-5.379653903427917,4.14353432587387,-7.024446650100446,-4.064802201734981
2020-03-01,-1.3442027782703918,-12.560639999999998,14.32239081194165,NA,-6.903543639871415,NA,8.656153678187422,37.72194179928978,25.595445729513173,-3.2231279227898755,0.8918350763342747,NA,-5.168247546991097,18.03896070880233,3.2145636885098594,-9.268233644352778,-4.237833527820125
2020-03-02,4.0134168614747745,-0.40991999999999995,8.425388694828117,NA,0.8108893954414542,NA,3.492850705870504,17.99074362242962,18.61165344708334,2.9754892007481737,3.16712089675559,NA,4.528423848453766,-3.5324060128944583,5.269588332235806,2.8193880261825868,NA
2020-03-03,1.2618393718683392,-8.750399999999999,6.498540606291917,NA,-4.239738546954789,NA,3.828279049991037,16.29420618785854,24.76263041215332,0.583241777781615,-0.7071184262197323,NA,-0.8594646696770117,-8.783539035049538,6.411906500116988,-4.416464679050842,-8.734736057679333
2020-03-04,5.096935460259058,-7.0243199999999995,2.6150081201562707,NA,0.824260952021172,NA,3.828279049991037,NA,25.038004478054166,3.4143547351772905,3.2325413770044906,NA,1.7790918662314141,NA,6.101930715867823,1.4721548930169472,NA
2020-03-05,4.696313454361696,-1.7395199999999997,6.973996628138512,NA,5.479472864131476,NA,5.530267314602629,-1.291736155866444,23.205045851901648,3.7040633559442235,3.0141524208794848,NA,2.268986727947311,-1.116405267175984,5.707763977871971,13.446386043071893,1.8440741879460911
2020-03-06,4.881831029946902,3.7171199999999995,-2.118377943490597,NA,6.597908060906438,NA,13.574813755647199,47.012322089560556,20.30214424053021,4.150577962868837,-1.8644836870936616,NA,1.5097929363992837,4.803228159808702,10.89316135636109,20.60824662900878,11.243212298825286
2020-03-07,7.247979763380625,4.000319999999999,6.53800153118202,NA,-2.2683890626306877,NA,-6.63593852299994,24.05035144303887,28.916189239491107,5.049343981089686,2.2214101308045744,NA,2.996666814940514,-5.379653903427917,23.291236010944203,8.780077844318438,14.225851731895169
2020-03-08,1.4081743560583937,-11.593919999999999,2.864285670071793,NA,-9.7459545242457,NA,6.4916374404865484,43.895161299535474,26.15193082102114,2.0040569938201065,3.865580730001203,NA,-8.804738060468942,7.6316466588653835,11.321769848162404,-9.268233644352778,12.71254460928311
2020-03-09,0.2958685472695092,-3.2783999999999995,9.267542579677853,NA,-6.4880702747159,NA,1.745947534781234,22.48842952803702,18.108713312833878,-1.0832998921747046,3.6192918631818136,NA,-1.0857903660252914,-5.550375671088849,5.335601693696276,NA,3.6212301834835627
