date,total,Budapest,Bács-Kiskun,Békés County,Csongrád,Fejér,Gyor-Moson-Sopron,Jász-Nagykun-Szolnok,Komárom-Esztergom,Nógrád County,Pest County,Tolna County,Vas County
2020-02-29,1.522907230349206,-0.598286321830967,2.323711273478389,6.473598838383173,-0.3770757141289223,2.5651055266228004,3.5580159674695686,2.6267711646583454,5.444155918948205,6.7502794877456695,7.021054422100188,5.053112781491971,2.1106516006838665
2020-03-01,4.761596485392636,-2.3683359661634134,12.035115926536772,6.04060167552791,7.667526829902142,6.819893084195344,5.62938509138848,16.077814829235642,4.198229688741153,7.527957096565142,13.347377643782503,13.24230517689181,6.5750817188811785
2020-03-02,-0.12215403641851151,-1.6727207690106618,-1.3389414401083657,1.9251869370896568,2.931956062920804,-1.243368960557475,3.310559969732023,-0.4691341125600949,0.5726617455610052,0.7067216226133167,2.7711624418902896,-1.7809354782018643,-3.3156312203491862
2020-03-03,0.833379840565766,-1.6374151965900148,2.393777743104132,1.2640410449272481,0.48962127166229963,-0.08027901052023667,5.987670802398439,5.784404614582061,1.0079620589097424,1.036903478425964,4.1412189432730235,4.173338432271072,0.9492604720836115
2020-03-04,1.9608937425076847,1.5887507589291228,2.7978597117676602,NA,2.749189772909337,2.5402572614617744,4.564082243985534,-1.663811670456045,1.708311896386377,-0.34058873378955024,4.373119441736532,6.409229043550705,1.51687948906422
2020-03-05,6.615605446034123,2.3635649428633254,8.037487899259824,9.775444916568711,9.647174329078984,6.852386969405916,7.865087928090625,8.718866978571318,7.719325556717605,9.92343119088498,9.046060030022119,6.00385235446218,2.3063154939092643
2020-03-06,2.9325005190207136,-2.97043910663445,4.46793720695659,7.679389143912852,3.3619378083688356,0.06594347292733727,8.228150781914051,7.317162626063829,5.899770246919884,7.943286135825178,4.5011983781264195,11.808418806614654,4.481865514623337
2020-03-07,11.253440605055372,2.902690575773208,15.512524412208892,18.320828386192087,7.099027475182262,12.283644312102403,18.13594497704279,17.07686156286564,15.686288625029158,19.912141889079624,18.5491289921627,23.367973266930356,18.4650534482958
2020-03-08,23.978355161967947,7.387452477855416,33.01858385746802,33.78445800493341,20.102368045577087,43.07542335914413,32.522788274077364,34.992276610327565,30.98177430207411,43.115695458308814,41.24335810748902,45.56842278423165,37.412486197711644
2020-03-09,5.286376655006373,1.3692836871251,4.650301990914001,5.390135085588388,7.916666141023037,7.46021376334485,8.24534849604253,7.735964536264238,8.587991515355752,7.418211837899621,8.896634604233917,12.907893711552596,2.6840824164731503
2020-03-10,7.494793050256831,1.7471487324920263,6.974973079044799,8.343447573045138,9.166210407996175,10.855824767849622,13.236507307551934,14.165191139567563,12.315129531650603,12.793837352878022,12.679814702598847,14.277619742549552,8.381582515244379
2020-03-11,3.4026328302366955,-2.035318539817309,5.328890950166055,6.3522431313049035,9.347052842323311,10.08266144033925,6.2828982282706445,4.99048534717267,5.870750226029967,5.796631033134928,8.634654961618237,13.03135375834934,6.52471279587266
2020-03-12,5.414959851236386,-4.89506990588973,11.108894786963601,10.257955207911909,6.720027905369008,12.550285311330333,9.195044487359594,10.441557829146241,14.707346587009331,15.740875979973715,14.526286035553056,14.40885680016814,6.053957092369972
2020-03-13,-3.937056739567683,-15.4113594639425,4.816349925780487,8.760911205394383,-4.068954772360565,-0.328761662130493,-3.350687969365139,8.584964327010644,4.794107451014091,8.825032524413679,7.525607807878532,13.239388797833618,0.1278595737908538
2020-03-14,-9.939481068579937,-27.693881847687646,1.6326447237450394,9.77059068828558,-9.297994522372864,0.06785487793972385,-8.795675348153825,9.093984335780302,-0.553315064967728,20.92539337210353,4.459475694302441,14.105553378116294,-5.2761446851422775
2020-03-15,-42.36334128793037,-57.4011355280122,-34.66370617169436,-26.177882285267525,-46.94015484199783,-22.73425121732607,-46.20452529184434,-35.93814214901148,-17.228219068313347,0.6840157070273467,-23.97792936414315,-21.420804182411615,-37.412486197711644
2020-03-16,-9.761071883810795,-24.710083875812952,-2.6068565959385817,2.1814901904389603,-10.628340728087913,0.5801114212593292,-3.181577113768438,4.688492133014552,-1.8321306521833511,5.6518808212743705,4.754445365988243,4.8966004387023965,-4.420841627132248
2020-03-17,-30.872825414825908,-45.15296451202768,-19.489996331785285,-20.60522821623342,-32.257288259181834,-22.43511633288757,-26.472059186541177,-12.39501707921935,-23.847685833303142,-11.756933874452058,-15.289908179029126,-15.376122521134764,-27.51789872594216
2020-03-18,-36.30466181056748,-50.519411519966056,-25.111630750935607,-23.630383282280505,-36.28680399001361,-25.404484019630132,-32.00876770734841,-21.514642348277228,-27.326219003974384,-17.7323739928265,-19.89880929911977,-21.57731652520119,-35.95953649554286
2020-03-19,-41.16028475820331,-55.309518913253854,-28.818434938533102,-30.532125055235813,-41.650513637929095,-29.56561273159573,-37.87796536797289,-25.080631402251228,-30.771862817637057,-22.242336476089797,-26.20572662134907,-31.619381748904935,-41.08069987912046
2020-03-20,-45.2685178777522,-57.22269925658893,-34.52645267640009,-34.8271462401499,-44.88066733192124,-37.00288963479195,-45.820443009641664,-30.34082138093618,-36.691947079179876,-27.652966944263234,-30.269321966810043,-36.49751178690545,-44.04762317094913
2020-03-21,-57.53856937800111,-66.90405973712639,-46.66138932678724,-44.580261706616206,-56.037106445358084,-51.362319790346184,-60.73181658759482,-41.52976493191399,-51.67401653061374,-40.16203427250055,-47.55900808447218,-46.10503653093876,-61.19921008848434
