date,VN
2020-02-15,-11
2020-02-16,-9
2020-02-17,-7
2020-02-18,-8
2020-02-19,-9
2020-02-20,-11
2020-02-21,-10
2020-02-22,-11
2020-02-23,-6
2020-02-24,-2
2020-02-25,-5
2020-02-26,-8
2020-02-27,-9
2020-02-28,-7
2020-02-29,-9
2020-03-01,-2
2020-03-02,-4
2020-03-03,-10
2020-03-04,-17
2020-03-05,-12
2020-03-06,-9
2020-03-07,-12
2020-03-08,-4
2020-03-09,-6
2020-03-10,-11
2020-03-11,-12
2020-03-12,-13
2020-03-13,-15
2020-03-14,-21
2020-03-15,-16
2020-03-16,-12
2020-03-17,-18
2020-03-18,-22
2020-03-19,-22
2020-03-20,-19
2020-03-21,-24
2020-03-22,-21
2020-03-23,-15
2020-03-24,-18
2020-03-25,-21
2020-03-26,-22
2020-03-27,-25
2020-03-28,-33
2020-03-29,-33
2020-03-30,-28
2020-03-31,-31
2020-04-01,-41
2020-04-02,-44
2020-04-03,-43
2020-04-04,-49
2020-04-05,-47
2020-04-06,-38
2020-04-07,-38
2020-04-08,-39
2020-04-09,-39
2020-04-10,-38
2020-04-11,-43
