date,GT
2020-02-15,2
2020-02-16,0
2020-02-17,4
2020-02-18,4
2020-02-19,3
2020-02-20,3
2020-02-21,4
2020-02-22,3
2020-02-23,1
2020-02-24,4
2020-02-25,3
2020-02-26,3
2020-02-27,3
2020-02-28,5
2020-02-29,5
2020-03-01,3
2020-03-02,5
2020-03-03,5
2020-03-04,4
2020-03-05,4
2020-03-06,6
2020-03-07,4
2020-03-08,2
2020-03-09,4
2020-03-10,4
2020-03-11,4
2020-03-12,3
2020-03-13,5
2020-03-14,3
2020-03-15,-3
2020-03-16,-12
2020-03-17,-38
2020-03-18,-45
2020-03-19,-47
2020-03-20,-48
2020-03-21,-44
2020-03-22,-48
2020-03-23,-59
2020-03-24,-60
2020-03-25,-59
2020-03-26,-59
2020-03-27,-56
2020-03-28,-43
2020-03-29,-39
2020-03-30,-51
2020-03-31,-50
2020-04-01,-49
2020-04-02,-50
2020-04-03,-48
2020-04-04,-34
2020-04-05,-33
2020-04-06,-52
2020-04-07,-53
2020-04-08,-60
2020-04-09,-74
2020-04-10,-79
2020-04-11,-64
