date,AG
2020-02-15,0
2020-02-16,3
2020-02-17,0
2020-02-18,5
2020-02-19,2
2020-02-20,-1
2020-02-21,-9
2020-02-22,5
2020-02-23,-1
2020-02-24,1
2020-02-25,2
2020-02-26,2
2020-02-27,0
2020-02-28,3
2020-02-29,6
2020-03-01,2
2020-03-02,2
2020-03-03,3
2020-03-04,2
2020-03-05,2
2020-03-06,5
2020-03-07,7
2020-03-08,1
2020-03-09,2
2020-03-10,4
2020-03-11,5
2020-03-12,2
2020-03-13,5
2020-03-14,1
2020-03-15,-7
2020-03-16,-15
2020-03-17,-15
2020-03-18,-19
2020-03-19,-21
2020-03-20,-20
2020-03-21,-13
2020-03-22,-22
2020-03-23,-26
2020-03-24,-28
2020-03-25,-27
2020-03-26,-31
2020-03-27,-29
2020-03-28,-37
2020-03-29,-48
2020-03-30,-44
2020-03-31,-48
2020-04-01,-53
2020-04-02,-82
2020-04-03,-81
2020-04-04,-73
2020-04-05,-66
2020-04-06,-80
2020-04-07,-79
2020-04-08,-79
2020-04-09,-76
2020-04-10,-91
2020-04-11,-68
