date,MU,Flacq District,Grand Port District,Moka District,Pamplemousses District,Plaines Wilhems District,Port Louis District,Rivière du Rempart District,Rivière Noire District,Rodrigues District,Savanne District
2020-02-15,1,0,0,0,0,1,0,0,0,NA,0
2020-02-16,1,0,0,0,0,2,0,0,0,NA,0
2020-02-17,0,0,-1,-1,-1,0,0,-1,0,0,0
2020-02-18,-1,-2,-2,-2,-1,-1,0,-2,0,0,0
2020-02-19,-2,-4,-3,-4,-2,-2,-1,-3,-2,0,0
2020-02-20,-1,-2,-4,0,-2,0,-1,-2,-1,0,0
2020-02-21,16,0,0,0,16,18,0,0,17,0,0
2020-02-22,2,0,0,0,2,2,0,0,0,NA,0
2020-02-23,2,0,0,0,0,2,0,0,0,NA,0
2020-02-24,0,0,-1,1,1,1,0,0,1,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,-1,-1,-1,0,0,0,-1,0,0,0
2020-02-27,0,0,0,0,-1,0,0,1,0,0,0
2020-02-28,0,0,0,0,1,1,1,0,0,0,0
2020-02-29,-1,0,0,0,-1,-1,0,0,-1,NA,0
2020-03-01,1,0,0,0,0,1,0,0,0,NA,0
2020-03-02,1,0,0,0,0,1,0,1,1,0,0
2020-03-03,0,0,0,-1,-1,0,0,0,0,0,0
2020-03-04,0,-2,0,-1,-1,0,0,-1,0,0,0
2020-03-05,0,-1,0,0,-1,0,0,0,0,0,0
2020-03-06,1,0,1,0,0,1,0,0,1,0,0
2020-03-07,2,0,0,0,2,2,0,0,0,NA,0
2020-03-08,4,0,0,0,0,4,0,0,0,NA,0
2020-03-09,1,1,1,1,1,1,1,1,1,0,0
2020-03-10,8,10,7,10,8,7,6,8,7,0,0
2020-03-11,4,4,4,5,3,4,3,2,3,0,0
2020-03-12,18,0,0,0,18,20,0,0,20,0,0
2020-03-13,13,15,0,14,12,13,12,11,14,0,0
2020-03-14,4,0,0,0,3,5,0,0,0,NA,0
2020-03-15,4,0,0,0,0,4,0,0,0,NA,0
2020-03-16,1,1,0,1,1,2,1,2,2,0,0
2020-03-17,8,11,8,9,9,8,7,9,8,0,0
2020-03-18,0,-1,0,0,0,1,1,0,1,0,0
2020-03-19,7,8,8,8,7,8,6,8,8,0,0
2020-03-20,32,0,0,0,0,34,0,0,0,0,0
2020-03-21,26,0,0,0,0,0,0,0,0,0,0
2020-03-22,24,0,0,0,0,0,0,0,0,0,0
2020-03-23,36,0,0,0,0,37,0,0,0,0,0
2020-03-24,38,0,0,0,0,0,0,0,0,0,0
2020-03-25,40,0,0,0,0,0,0,0,0,0,0
2020-03-26,37,0,0,0,0,0,0,0,0,0,0
2020-03-27,40,0,0,0,0,0,0,0,0,0,0
2020-03-28,30,0,0,0,0,0,0,0,0,0,0
2020-03-29,24,0,0,0,0,0,0,0,0,0,0
2020-03-30,37,0,0,0,0,0,0,0,0,0,0
2020-03-31,37,0,0,0,0,0,0,0,0,0,0
2020-04-01,37,0,0,0,0,0,0,0,0,0,0
2020-04-02,34,0,0,0,0,35,0,0,0,0,0
2020-04-03,38,0,0,0,0,40,0,0,0,0,0
2020-04-04,27,0,0,0,0,0,0,0,0,0,0
2020-04-05,24,0,0,0,0,0,0,0,0,0,0
2020-04-06,35,0,0,0,0,37,0,0,0,0,0
2020-04-07,35,0,0,0,0,36,0,0,0,0,0
2020-04-08,35,0,0,0,0,36,0,0,0,0,0
2020-04-09,35,0,0,0,0,36,0,0,0,0,0
2020-04-10,38,0,0,0,0,40,0,0,0,0,0
2020-04-11,27,0,0,0,0,0,0,0,0,0,0
