date,UY,Artigas Department,Canelones Department,Cerro Largo Department,Colonia Department,Durazno Department,Flores Department,Florida Department,Lavalleja Department,Maldonado Department,Montevideo Department,Paysandú Department,Río Negro Department,Rivera Department,Rocha Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department,Treinta y Tres Department
2020-02-15,-3,6,-4,-6,-6,-5,0,7,5,-14,5,1,1,-4,-21,-9,-5,7,8,21
2020-02-16,-5,-1,-4,-3,-14,-11,-19,3,5,-16,0,-10,-13,-4,-22,-14,0,-5,5,6
2020-02-17,-6,4,-11,4,-12,1,-7,6,2,-19,-1,-1,-5,-5,-20,-10,-8,-3,8,12
2020-02-18,-3,4,-9,-2,0,-1,1,8,4,-19,2,-6,8,-1,-20,0,-1,15,4,16
2020-02-19,0,6,-4,0,0,7,2,8,13,-14,5,4,0,1,-13,-1,-1,7,8,5
2020-02-20,-3,2,-6,1,-2,-3,-2,-2,-2,-11,2,6,1,2,-20,-2,-6,1,7,11
2020-02-21,-1,23,-6,9,-5,-5,-5,5,2,-14,3,5,0,-2,-19,3,-1,3,8,13
2020-02-22,0,43,-4,27,3,3,17,7,13,-4,1,6,4,-1,15,2,-2,2,12,35
2020-02-23,1,60,-1,36,3,3,15,6,21,7,-7,4,5,0,34,7,-1,6,10,18
2020-02-24,-7,40,1,11,-1,-6,-29,-6,-1,13,-21,-5,-10,-12,43,-9,-14,-21,0,2
2020-02-25,-12,-6,-8,-10,-10,-12,-19,-19,-8,0,-18,-12,-13,-38,12,-14,-13,-21,-2,2
2020-02-26,0,12,-2,15,0,6,6,13,18,-7,1,15,4,1,0,0,-3,3,8,9
2020-02-27,-6,2,-8,3,-4,-5,-13,-3,-4,-14,-3,10,-2,-4,-21,-3,-9,-4,3,8
2020-02-28,-2,11,-5,17,-4,1,-4,7,5,-18,3,25,-8,1,-26,0,-2,-3,7,4
2020-02-29,0,20,-5,17,0,23,9,13,8,-25,11,24,-2,3,-34,4,3,14,6,32
2020-03-01,-5,17,-11,23,-13,12,0,13,20,-33,5,20,5,13,-42,2,-3,9,4,24
2020-03-02,6,13,-1,24,6,21,11,26,22,-26,14,41,14,19,-37,8,11,32,15,29
2020-03-03,11,16,4,27,12,13,12,21,24,-24,22,43,21,14,-36,17,17,35,24,38
2020-03-04,12,17,5,28,9,19,17,27,32,-20,20,48,24,19,-32,16,16,35,25,21
2020-03-05,4,8,-1,16,6,9,5,12,18,-24,14,36,13,11,-40,7,4,21,17,25
2020-03-06,6,18,-1,15,4,12,8,17,12,-25,17,37,15,11,-41,10,9,22,27,15
2020-03-07,3,20,-4,15,0,8,17,19,20,-29,18,25,11,6,-43,3,9,23,28,38
2020-03-08,3,12,-5,4,-6,13,4,15,23,-32,20,22,9,8,-46,4,10,27,22,26
2020-03-09,4,6,-5,11,4,8,9,18,18,-30,15,30,9,4,-44,3,6,19,14,15
2020-03-10,3,7,-6,4,3,5,3,16,18,-29,15,29,5,9,-45,5,5,25,12,18
2020-03-11,1,-2,-4,4,-13,10,0,10,22,-27,10,34,3,8,-41,4,-2,11,6,11
2020-03-12,0,-7,-4,-1,5,0,-1,0,11,-29,12,25,4,4,-49,1,0,24,2,17
2020-03-13,9,5,2,8,2,8,8,14,17,-28,24,36,3,6,-46,15,10,32,7,21
2020-03-14,-2,2,-11,5,-6,7,10,15,21,-34,13,38,5,2,-52,8,2,33,2,40
2020-03-15,-6,-19,-15,-2,-8,-1,4,12,25,-40,11,10,3,4,-54,-39,8,7,-11,20
2020-03-16,-9,-4,-15,1,-6,-4,-7,7,8,-40,0,20,-7,10,-51,-23,-7,8,-1,12
2020-03-17,-19,-15,-22,-16,-22,-19,-23,-6,-8,-44,-10,-5,-29,-2,-54,-34,-17,-12,-12,7
2020-03-18,-17,-18,-17,-13,-17,-8,-7,-5,-6,-42,-12,24,-8,-3,-54,-20,-13,1,-9,-10
2020-03-19,-23,-14,-24,-19,-22,-22,-19,-16,-17,-48,-16,12,-19,-11,-58,-27,-23,-17,-14,-15
2020-03-20,-21,-14,-22,-21,-29,-21,-21,-11,-19,-50,-13,12,-28,-11,-60,-21,-13,-23,-17,-4
2020-03-21,-30,-32,-34,-26,-35,-22,-24,-20,-22,-57,-19,2,-35,-32,-65,-26,-23,-15,-28,-3
2020-03-22,-42,-49,-45,-49,-50,-36,-40,-28,-30,-63,-33,-16,-39,-42,-69,-47,-34,-46,-44,-21
2020-03-23,-30,-29,-30,-25,-34,-24,-29,-15,-16,-53,-25,4,-30,-35,-62,-32,-27,-20,-19,-13
2020-03-24,-39,-43,-40,-36,-42,-33,-48,-30,-32,-58,-33,-14,-42,-41,-68,-40,-30,-31,-31,-30
2020-03-25,-37,-41,-35,-33,-39,-39,-42,-27,-26,-56,-33,-10,-40,-37,-64,-41,-33,-32,-32,-31
2020-03-26,-41,-44,-39,-37,-44,-39,-48,-35,-34,-58,-37,-15,-43,-42,-68,-43,-37,-39,-38,-25
2020-03-27,-38,-36,-38,-36,-42,-38,-45,-29,-33,-59,-32,-9,-44,-41,-70,-33,-35,-37,-34,-23
2020-03-28,-41,-36,-46,-38,-45,-33,-41,-33,-33,-63,-31,-8,-41,-39,-72,-30,-35,-32,-36,-14
2020-03-29,-45,-45,-49,-43,-51,-39,-38,-37,-35,-65,-37,-22,-49,-33,-75,-49,-40,-52,-43,-24
2020-03-30,-37,-32,-37,-27,-42,-26,-42,-29,-27,-58,-34,-10,-38,-36,-67,-36,-33,-24,-27,-16
2020-03-31,-35,-30,-36,-27,-38,-29,-33,-17,-26,-57,-32,-4,-39,-30,-67,-29,-27,-24,-22,-8
2020-04-01,-33,-24,-33,-16,-34,-23,-28,-17,-9,-54,-32,9,-34,-16,-61,-20,-26,-23,-14,-9
2020-04-02,-26,-18,-23,-4,-23,-15,-12,-19,-16,-52,-23,11,-15,-13,-66,-16,-14,-7,-8,1
2020-04-03,-20,-8,-22,-1,-22,-13,-9,-5,-11,-47,-15,20,-24,-14,-59,-10,-10,-12,-6,9
