date,DO
2020-02-15,6
2020-02-16,-9
2020-02-17,4
2020-02-18,0
2020-02-19,-2
2020-02-20,-2
2020-02-21,-2
2020-02-22,-1
2020-02-23,-7
2020-02-24,1
2020-02-25,0
2020-02-26,0
2020-02-27,-10
2020-02-28,4
2020-02-29,9
2020-03-01,1
2020-03-02,5
2020-03-03,5
2020-03-04,3
2020-03-05,1
2020-03-06,0
2020-03-07,1
2020-03-08,-8
2020-03-09,-3
2020-03-10,-1
2020-03-11,-2
2020-03-12,0
2020-03-13,12
2020-03-14,15
2020-03-15,-4
2020-03-16,5
2020-03-17,12
2020-03-18,5
2020-03-19,-21
2020-03-20,-35
2020-03-21,-48
2020-03-22,-57
2020-03-23,-41
2020-03-24,-50
2020-03-25,-53
2020-03-26,-55
2020-03-27,-58
2020-03-28,-60
2020-03-29,-63
2020-03-30,-45
2020-03-31,-52
2020-04-01,-55
2020-04-02,-55
2020-04-03,-53
2020-04-04,-56
2020-04-05,-60
2020-04-06,-51
2020-04-07,-51
2020-04-08,-51
2020-04-09,-46
2020-04-10,-73
2020-04-11,-58
