date,ZA,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape
2020-02-15,-2,-10,-8,1,-8,51,5,-23,0,-3
2020-02-16,-6,-8,-7,-6,-6,50,-4,-25,0,-7
2020-02-17,3,-5,2,3,3,42,8,-22,-6,5
2020-02-18,0,-7,3,1,1,40,-5,-23,9,4
2020-02-19,-2,-8,-1,-1,-8,49,-7,-22,0,3
2020-02-20,1,0,-1,2,1,45,-10,-25,10,3
2020-02-21,4,2,2,5,3,53,1,-29,12,5
2020-02-22,-8,-12,0,-5,-12,45,5,-33,0,-11
2020-02-23,-12,-10,-13,-10,-11,-4,-13,-42,0,-13
2020-02-24,-2,-9,-5,-1,-3,-1,-6,-33,-10,2
2020-02-25,2,-4,4,4,-1,4,-2,-14,2,6
2020-02-26,4,-5,-3,7,-1,5,-3,-22,4,7
2020-02-27,6,5,-2,9,6,-2,7,-15,6,7
2020-02-28,17,13,10,21,9,18,30,-8,18,13
2020-02-29,8,2,-2,13,-1,20,8,-17,0,7
2020-03-01,9,3,2,11,7,12,27,-10,0,5
2020-03-02,10,3,5,11,10,8,15,-19,8,14
2020-03-03,11,7,9,14,4,12,3,-18,0,12
2020-03-04,9,3,2,11,-1,13,4,-14,9,11
2020-03-05,9,3,5,11,5,8,3,-12,2,11
2020-03-06,13,6,-2,16,6,11,6,-18,12,12
2020-03-07,2,-8,-3,8,-11,15,10,-17,0,0
2020-03-08,-5,-7,-13,-3,-8,-5,-1,-23,0,-8
2020-03-09,1,-5,0,2,0,-4,4,-28,-4,6
2020-03-10,0,-7,1,3,-4,-7,-3,-27,2,2
2020-03-11,-2,-8,-4,-2,-9,-12,-7,-23,4,3
2020-03-12,-4,-4,-8,-4,-6,-8,-7,-24,-4,0
2020-03-13,-1,3,-3,0,-1,-10,-4,-24,6,2
2020-03-14,-8,-13,-12,-6,-15,-9,-1,-17,0,-7
2020-03-15,-14,-13,-16,-13,-15,-8,-11,-27,0,-13
2020-03-16,-11,-13,-10,-13,-14,-10,-10,-25,-12,-5
2020-03-17,-14,-10,-8,-16,-11,-8,-7,-26,-11,-12
2020-03-18,-16,-10,-13,-20,-14,-11,-8,-22,-17,-13
2020-03-19,-20,-14,-17,-24,-17,-12,-8,-16,-28,-20
2020-03-20,-19,-9,-12,-23,-18,-14,-2,-19,-20,-22
2020-03-21,-26,-19,-21,-28,-29,-14,-6,-25,0,-28
2020-03-22,-36,-30,-29,-40,-38,-24,-18,-35,0,-38
2020-03-23,-33,-32,-21,-39,-31,-18,-11,-30,-35,-32
2020-03-24,-28,-18,-17,-32,-23,-11,-11,-20,-41,-29
2020-03-25,-19,-7,-10,-24,-18,6,10,25,-45,-24
2020-03-26,-26,-35,-7,-30,-29,15,30,16,-48,-35
2020-03-27,-81,-79,-67,-82,-80,-75,-64,-65,-80,-85
2020-03-28,-79,-78,-63,-80,-80,-67,-56,-67,0,-84
2020-03-29,-80,-80,-71,-81,-82,-69,-58,-63,0,-87
2020-03-30,-79,-78,-63,-81,-79,-62,-56,-64,-78,-84
2020-03-31,-78,-76,-55,-80,-76,-60,-51,-56,-74,-84
2020-04-01,-77,-75,-59,-79,-78,-56,-55,-54,-74,-83
2020-04-02,-78,-76,-61,-80,-77,-56,-56,-60,-78,-83
2020-04-03,-78,-76,-65,-80,-78,-61,-60,-67,-82,-83
2020-04-04,-77,-77,-59,-78,-80,-71,-61,-66,0,-82
2020-04-05,-78,-80,-65,-78,-82,-64,-60,-58,-70,-85
2020-04-06,-79,-78,-61,-80,-80,-69,-58,-62,-80,-85
2020-04-07,-78,-78,-57,-79,-79,-62,-60,-59,-70,-85
2020-04-08,-80,-79,-60,-82,-81,-65,-61,-58,-72,-84
2020-04-09,-79,-78,-65,-81,-80,-63,-60,-60,-74,-83
2020-04-10,-84,-84,-79,-85,-85,-76,-72,-71,-82,-88
2020-04-11,-78,-79,-69,-79,-81,-67,-61,-62,0,-83
