date,total,Brussels,Flanders,Wallonia
2020-02-29,-2.364087596201887,-1.8897694895376136,-3.8831859736455927,-1.143369118177721
2020-03-01,5.298927749585282,6.7791428206924484,6.5782472448024825,5.743861907605041
2020-03-02,0.1396778409980062,-0.971581791038763,0.6280498024436659,-0.7931218693182166
2020-03-03,0.7866912883795752,-1.878327898279061,1.6744803421859324,1.2321370159602951
2020-03-04,1.2177660045630772,-1.2423661174911758,1.823833648864609,1.3633591257258395
2020-03-05,-1.6424187510455213,0.08485846850093219,-1.374816335837049,-0.8384706866636621
2020-03-06,2.6450487706231636,5.867629383761087,3.0148305303279024,-0.5219938336997022
2020-03-07,7.8171426186125545,6.399663377283785,7.819985954816864,7.702544869546622
2020-03-08,-1.783702084468792,2.780306675828295,-2.091903686493003,-0.6281293636571278
2020-03-09,-1.3173065349294726,-3.958790575459219,-0.5131626434600685,-1.7029928215896013
2020-03-10,-4.208798392830728,-7.5972165956789635,-2.538048820545973,-4.656455159768507
2020-03-11,-3.951116858575785,-6.932650836744696,-3.084720218709591,-5.0819621480523685
2020-03-12,-6.96141515594661,-10.156319173841906,-6.619415143438271,-5.127310965397814
2020-03-13,-16.44826989683418,-19.303871385054755,-17.43029680379479,-15.565257902483543
2020-03-14,-34.095039889128266,-41.118218585423605,-34.60975664380872,-29.195954554379462
2020-03-15,-33.7121299457027,-43.8012717355542,-32.84145178845285,-26.115129580251644
2020-03-16,-43.56985343682636,-50.578507624370225,-44.436438308872425,-39.61846359619865
2020-03-17,-46.26547521884535,-56.33553495929864,-45.81508421667559,-42.28053566122172
2020-03-18,-56.19544586910591,-65.46878518143829,-55.710698177129444,-52.35665692799804
2020-03-19,-66.93940117897554,-75.98360754804818,-65.63311914134614,-62.81969044489188
2020-03-20,-71.28466642795374,-77.55205901640811,-70.59337223046296,-68.67451222472513
2020-03-21,-67.47804388765175,-75.5354785570882,-63.45505008561544,-69.32386869437376
2020-03-22,-63.687476271602414,-75.13788326085351,-58.501498747439335,-64.15892785926377
2020-03-23,-69.90715392707685,-78.62470819689743,-68.04191990803557,-68.41785721591901
2020-03-24,-69.4174787373712,-79.54194242945806,-66.81166991391954,-67.42211297122752
2020-03-25,-69.56357854807025,-78.95460741151904,-67.00123372624249,-68.59442814303
2020-03-26,-71.79762125782572,-80.62031240557666,-69.71735764321302,-69.5457884388302
2020-03-27,-70.52366301837839,-78.66856763005521,-68.38370920601177,-70.04366056117593
2020-03-28,-67.33997153907902,-76.19050965664036,-64.26691934243286,-67.48482942074781
2020-03-29,-76.6052683252801,-81.73014675765626,-73.80063875208839,-77.40464199795048
2020-03-30,-71.87548764045106,-80.1979269949484,-70.17690627914742,-70.23663425200762
2020-03-31,-70.88409606785027,-80.24750722373548,-68.38083702703719,-69.37886619626079
2020-04-01,-69.53146869956498,-79.20727588514539,-67.19271232454848,-67.83507666960733
2020-04-02,-73.00575430783721,-81.63956749352604,-71.43875024198393,-69.91629792522703
2020-04-03,-71.87869862530158,-79.32455219554556,-69.7001245693655,-71.73700469822396
2020-04-04,-64.6587991888874,-73.77156657139467,-61.249216633130374,-65.5222869849896
2020-04-05,-60.05264142080372,-71.04465398810629,-54.918934173134154,-62.118231078718715
2020-04-06,-69.16541642660468,-78.35964466607429,-67.39280745977824,-67.31404770436178
2020-04-07,-66.99719890628505,-78.19755545657812,-64.06395202822851,-65.38720540140743
2020-04-08,-66.26750259900237,-77.83905226381015,-63.01560670250318,-65.10932328660981
2020-04-09,-67.52460316798442,-78.19183466094884,-65.23675844285273,-65.02248512573554
2020-04-10,-66.90408034561972,-76.80740211866397,-64.32819249389078,-66.45820938552326
2020-04-11,-59.99966017076999,-70.99984108901029,-55.9998308605715,-60.99994854034911
