date,UG
2020-02-15,-2
2020-02-16,-4
2020-02-17,-4
2020-02-18,-5
2020-02-19,-6
2020-02-20,-2
2020-02-21,-9
2020-02-22,-3
2020-02-23,-8
2020-02-24,-4
2020-02-25,-6
2020-02-26,-7
2020-02-27,-7
2020-02-28,-8
2020-02-29,-5
2020-03-01,-7
2020-03-02,-5
2020-03-03,-7
2020-03-04,-6
2020-03-05,-5
2020-03-06,-4
2020-03-07,-1
2020-03-08,-6
2020-03-09,-5
2020-03-10,-4
2020-03-11,-5
2020-03-12,-1
2020-03-13,-4
2020-03-14,-5
2020-03-15,-10
2020-03-16,-8
2020-03-17,-7
2020-03-18,-8
2020-03-19,-3
2020-03-20,-8
2020-03-21,-10
2020-03-22,-11
2020-03-23,-8
2020-03-24,-9
2020-03-25,-13
2020-03-26,-7
2020-03-27,-16
2020-03-28,-12
2020-03-29,-16
2020-03-30,-9
2020-03-31,-17
2020-04-01,-19
2020-04-02,-16
2020-04-03,-20
2020-04-04,-19
2020-04-05,-20
2020-04-06,-17
2020-04-07,-18
2020-04-08,-18
2020-04-09,-19
2020-04-10,-21
2020-04-11,-20
