date,SA,Al Bahah Province,Al Jowf,Al Madinah Province,Al Qassim,Aseer Province,Eastern Province,Hail Province,Jazan,Makkah Province,Najran,Northern Borders Province,Riyadh Province,Tabuk Province
2020-02-15,-6,0,0,-3,-5,-3,-8,-4,-9,-9,0,0,-4,0
2020-02-16,-5,0,0,-1,-5,1,-5,-7,-6,-7,0,0,-5,-12
2020-02-17,-7,0,2,-9,-5,-5,-6,-9,-8,-9,0,0,-6,-5
2020-02-18,-6,0,-7,-5,-4,-2,-5,-9,-16,-7,0,0,-3,0
2020-02-19,-4,0,0,-7,-4,2,-3,0,-16,-6,0,0,-4,-4
2020-02-20,-3,0,-2,-3,-3,0,-4,-2,-10,-2,0,0,-3,0
2020-02-21,-13,0,0,-11,-12,7,-10,0,-24,-14,0,0,-13,-19
2020-02-22,-8,0,-4,-5,-8,-2,-11,-11,-25,-8,0,0,-6,-16
2020-02-23,-7,0,-5,-5,-14,-4,-6,-7,-19,-7,0,0,-7,-15
2020-02-24,-8,0,-4,-10,-5,-6,-6,0,-25,-8,0,0,-8,-5
2020-02-25,-3,0,-9,-3,-14,-1,-2,-13,-19,-1,0,0,-3,0
2020-02-26,-3,0,2,-8,-8,-2,-3,0,-25,-3,0,0,-1,0
2020-02-27,-2,0,6,-9,3,6,-1,-2,-16,-3,0,0,0,9
2020-02-28,-10,0,0,-14,-12,10,-9,0,-10,-12,0,0,-8,0
2020-02-29,-6,0,0,-14,-7,6,-6,-6,-7,-10,0,0,-2,-12
2020-03-01,-6,0,0,-13,-9,1,-4,-2,-10,-9,0,0,-3,4
2020-03-02,-8,0,7,-19,-2,4,-5,0,-19,-12,0,0,-5,-2
2020-03-03,-8,0,0,-23,-7,2,-4,9,-16,-10,0,0,-4,0
2020-03-04,-6,0,0,-18,-2,6,-5,0,-12,-10,0,0,-4,0
2020-03-05,-9,0,-6,-24,-5,6,-8,0,-20,-13,0,0,-5,0
2020-03-06,-17,0,0,-28,-6,9,-13,0,-14,-22,0,0,-12,0
2020-03-07,-16,0,0,-32,-9,6,-14,-15,-17,-23,0,0,-8,0
2020-03-08,-18,0,-2,-31,-20,-2,-12,-4,-10,-23,0,0,-13,2
2020-03-09,-21,0,-11,-34,-17,-4,-17,0,-19,-26,0,0,-16,0
2020-03-10,-19,0,-7,-33,-20,2,-16,-15,-11,-22,0,0,-15,0
2020-03-11,-21,0,-4,-40,-23,-1,-22,0,-19,-24,0,0,-18,-7
2020-03-12,-25,0,-6,-41,-13,-5,-25,-19,-23,-29,0,0,-21,6
2020-03-13,-31,0,0,-46,-29,-8,-30,-26,-27,-34,0,0,-28,-21
2020-03-14,-28,0,-13,-47,-27,-12,-29,-21,-23,-31,0,0,-22,-7
2020-03-15,-34,0,-14,-42,-30,-18,-36,-22,-15,-34,0,0,-35,-8
2020-03-16,-43,0,-28,-53,-29,-24,-45,-23,-27,-46,0,0,-44,0
2020-03-17,-47,0,-20,-56,-36,-29,-50,-32,-25,-49,0,0,-49,-14
2020-03-18,-50,0,-29,-62,-41,-32,-52,-30,-39,-53,0,0,-54,-24
2020-03-19,-56,0,-40,-65,-39,-31,-60,-43,-46,-57,0,0,-60,-19
2020-03-20,-62,0,-48,-69,-48,-32,-65,-31,-47,-65,0,0,-64,0
2020-03-21,-69,0,-49,-77,-62,-62,-73,-60,-51,-71,0,0,-72,0
2020-03-22,-69,0,-52,-74,-57,-66,-71,-57,-45,-71,0,0,-75,-15
2020-03-23,-72,0,-61,-80,-67,-69,-74,-58,-54,-73,0,0,-78,-11
2020-03-24,-73,0,-60,-78,-64,-68,-75,-66,-54,-76,0,0,-77,-19
2020-03-25,-73,0,-58,-81,-68,-67,-75,-58,-50,-76,0,0,-77,-11
2020-03-26,-76,0,-60,-83,-72,-68,-77,-67,-50,-77,0,0,-82,-2
2020-03-27,-82,0,-68,-86,-73,-74,-84,-69,-64,-83,0,0,-87,-28
2020-03-28,-77,0,-56,-85,-68,-71,-78,-66,-49,-80,0,0,-81,-9
2020-03-29,-75,0,-52,-82,-64,-66,-73,-59,-48,-79,0,0,-79,-19
2020-03-30,-75,0,-61,-82,-64,-69,-74,-56,-49,-77,0,0,-80,-14
2020-03-31,-74,0,-58,-82,-63,-68,-74,-62,-48,-77,0,0,-79,-12
2020-04-01,-74,0,-58,-83,-67,-70,-74,-53,-48,-77,0,0,-80,-16
2020-04-02,-77,0,-58,-84,-68,-72,-78,-63,-50,-79,0,0,-81,-21
2020-04-03,-83,0,-60,-90,-72,-77,-85,-62,-64,-84,0,0,-87,-33
2020-04-04,-78,0,-58,-89,-69,-67,-79,-64,-51,-82,0,0,-81,-19
2020-04-05,-76,0,-57,-86,-62,-69,-76,-57,-39,-79,0,0,-79,-12
2020-04-06,-76,0,-57,-86,-66,-69,-75,-49,-48,-79,0,0,-79,-16
2020-04-07,-83,0,-62,-87,-64,-72,-83,-55,-44,-84,0,0,-89,-43
2020-04-08,-82,0,-64,-87,-70,-76,-82,-63,-55,-84,0,0,-88,-42
2020-04-09,-83,0,-68,-88,-72,-76,-84,-69,-53,-84,0,0,-88,-32
2020-04-10,-85,0,-70,-90,-79,-78,-87,-64,-61,-87,0,0,-89,-56
2020-04-11,-83,0,-62,-89,-71,-75,-82,-70,-52,-85,0,0,-88,-37
