date,CH,Aargau,Appenzell Ausserrhoden,Appenzell Innerrhoden,Basel City,Basel-Landschaft,Canton of Bern,Canton of Zug,Fribourg,Geneva,Glarus,Grisons,Jura,Lucerne,Neuchâtel,Nidwalden,Obwalden,Schaffhausen,Schwyz,Solothurn,St. Gallen,Thurgau,Ticino,Uri,Valais,Vaud,Zurich
2020-02-15,-2,-1,8,NA,0,3,0,-5,-1,-7,2,1,-2,-3,-3,7,0,9,-2,-5,1,5,-2,-2,1,-5,-5
2020-02-16,-2,-2,0,NA,1,-2,-1,-3,-2,-3,0,0,-12,-3,0,0,0,0,-4,-6,1,2,0,0,4,-6,-5
2020-02-17,-1,0,2,7,1,1,-1,1,1,-1,2,3,-18,-10,0,-11,-7,6,1,1,3,3,0,-4,3,-16,-8
2020-02-18,-2,0,1,6,2,2,0,1,1,1,4,3,-18,-9,2,-11,-12,2,2,2,3,1,2,-5,3,-15,-6
2020-02-19,-3,0,0,6,1,2,-1,-1,0,1,5,2,-16,-11,1,-10,-11,4,-1,1,1,2,1,-6,2,-14,-6
2020-02-20,-5,-1,-1,-4,2,1,-2,-2,0,1,-1,2,-17,-22,0,-29,-18,3,-10,-2,0,-2,0,-17,1,-17,-8
2020-02-21,-6,-1,1,-14,1,0,-2,-4,0,1,1,0,-18,-21,-1,-27,-18,1,-14,-1,-3,-1,-2,-21,0,-17,-8
2020-02-22,-1,-1,6,NA,1,-3,0,-4,-4,0,-2,2,4,-6,-3,-13,-2,0,-1,2,-1,3,-2,-8,3,-7,-2
2020-02-23,0,0,0,NA,0,3,-1,10,-5,0,0,0,12,2,-3,0,0,0,0,17,2,4,1,0,5,-7,-1
2020-02-24,-3,-1,1,-9,-9,-16,1,-12,-16,1,-7,-6,-3,-23,-16,-23,-26,3,-20,-3,0,-1,-18,-26,-13,1,-1
2020-02-25,-4,-2,-1,-10,-10,-15,2,-11,-15,2,4,-7,-1,-23,-15,-22,-30,5,-20,-4,-2,-1,-18,-28,-13,2,0
2020-02-26,-4,0,-1,-6,-10,-15,0,-4,-15,1,4,-7,-7,-18,-14,-15,-16,4,-13,-4,0,0,-19,-11,-12,1,0
2020-02-27,-5,0,-1,-11,-10,-15,0,0,-16,1,1,-9,-1,-13,-17,-15,-14,3,-12,-2,1,-1,-19,-10,-12,1,-2
2020-02-28,-4,0,1,-6,-11,-16,0,-1,-16,1,2,-8,0,-12,-18,-12,-10,2,-11,0,1,-1,-18,-8,-11,1,-2
