date,ES,Andalusia,Aragon,Asturias,Balearic Islands,Basque Country,Canary Islands,Cantabria,Castile and León,Castile-La Mancha,Catalonia,Ceuta,Community of Madrid,Extremadura,Galicia,La Rioja,Melilla,Navarre,Region of Murcia,Valencian Community
2020-02-15,8,15,10,8,9,9,0,4,15,13,8,0,7,11,-2,7,0,-29,6,0
2020-02-16,5,10,8,6,8,8,2,0,16,11,4,0,4,11,1,17,0,-25,7,1
2020-02-17,3,8,7,3,14,-1,1,-5,7,6,4,0,4,1,9,-1,-2,-40,6,4
2020-02-18,4,7,1,5,10,2,3,3,4,3,3,0,4,4,2,-2,0,-42,-1,-3
2020-02-19,2,6,5,8,10,0,1,2,5,2,1,0,2,1,5,2,0,-41,2,2
2020-02-20,5,9,6,9,8,7,3,3,11,9,4,0,3,9,9,8,0,-37,7,5
2020-02-21,6,11,5,5,14,8,8,7,17,12,4,0,5,20,17,13,12,-28,7,5
2020-02-22,14,22,14,7,20,19,7,15,31,23,13,0,10,34,20,3,0,-21,9,6
2020-02-23,11,24,13,9,23,23,-8,17,32,16,12,0,6,21,18,25,0,-14,18,6
2020-02-24,4,13,8,13,17,7,8,2,17,4,-1,0,6,10,9,11,-2,-30,6,5
2020-02-25,3,11,0,-7,15,-6,10,-5,11,2,1,0,4,6,-8,8,0,-36,7,5
2020-02-26,1,11,1,2,13,-9,3,-12,4,4,-1,0,3,5,3,7,0,-41,5,3
2020-02-27,6,23,5,5,15,-1,1,-3,9,8,1,0,6,10,6,5,0,-35,9,6
2020-02-28,2,-9,7,10,16,10,2,3,13,11,1,0,1,17,9,13,10,-29,10,7
2020-02-29,6,10,4,5,20,2,19,-3,9,10,5,0,-3,17,0,14,0,-30,16,12
2020-03-01,5,13,3,4,21,10,15,2,11,7,5,0,-4,9,3,24,0,-25,26,15
2020-03-02,-3,7,1,-3,7,-5,-1,-10,7,2,-2,0,-5,5,6,3,6,-37,4,1
2020-03-03,1,7,-4,3,9,-5,1,-4,2,-3,-1,0,0,-8,-2,-2,0,-41,5,2
2020-03-04,2,8,14,8,13,-1,-1,-1,3,0,0,0,1,-2,-1,7,0,-37,6,6
2020-03-05,0,7,-19,-5,12,-3,-2,-5,3,-1,0,0,-2,1,2,0,0,-36,8,6
