date,AR,Buenos Aires,Buenos Aires Province,Catamarca Province,Chaco Province,Chubut Province,Cordoba,Corrientes,Entre Rios,Formosa Province,Jujuy,La Pampa,La Rioja Province,Mendoza Province,Misiones Province,Neuquen,Río Negro,Salta Province,San Juan Province,San Luis Province,Santa Cruz Province,Santa Fe Province,Santiago del Estero Province,Tierra del Fuego Province,Tucumán
2020-02-15,0,0,0,1,7,3,0,5,1,4,1,0,-1,0,4,1,1,1,0,-1,2,0,0,2,1
2020-02-16,2,2,1,3,3,1,3,4,6,4,1,2,2,1,8,0,1,2,2,2,0,4,1,1,2
2020-02-17,1,2,2,-1,-1,0,2,0,2,-1,-1,1,-1,-1,0,1,0,-2,0,2,0,2,-1,0,0
2020-02-18,-1,-1,-1,-1,4,-1,-1,2,0,1,0,-1,-4,-1,2,-1,-1,1,-1,0,0,0,-1,0,1
2020-02-19,-2,-2,-2,-2,-1,0,-1,-3,-2,1,-1,0,-1,-1,0,0,0,-3,-1,0,-1,-3,-2,0,-3
2020-02-20,-1,0,-1,-1,0,0,-1,-1,-1,-1,-4,0,-2,-1,-1,-1,0,5,-1,0,-2,-1,-2,-2,-1
2020-02-21,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,0,-1,-1,-1,0,-4,-1,-2,-2,-1
2020-02-22,0,0,0,1,0,-1,0,0,0,1,-1,-2,0,0,1,-1,-2,1,0,1,-3,0,-1,-2,0
2020-02-23,0,1,0,4,0,-1,2,1,1,1,-1,1,2,0,2,0,-1,1,0,1,0,1,0,1,1
2020-02-24,6,9,7,5,4,9,6,3,2,4,2,5,3,6,6,10,8,4,5,6,9,4,4,11,5
2020-02-25,7,11,9,3,5,5,6,4,4,6,3,3,3,8,9,5,5,5,5,4,7,5,4,12,4
2020-02-26,-2,-2,-3,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-3,0,-1,-1,-2,-2,-1,-1,-3,-2,-1,-3
2020-02-27,0,0,0,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,-2,-1,1,0,-2,0,-1
2020-02-28,-1,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,-2,1,0,0,-1,-3,-1,-1,0,-2,-1,-1
2020-02-29,1,2,1,3,1,1,2,1,2,0,2,0,2,2,1,2,1,1,0,2,0,2,0,1,2
2020-03-01,2,3,2,7,2,-2,4,3,3,2,5,2,6,4,3,0,-1,3,4,3,0,2,2,1,4
2020-03-02,-1,-1,-1,-3,-1,-1,-1,-3,0,-3,-2,-3,-3,-4,-1,0,-2,-4,-4,-2,-1,1,-3,-4,0
2020-03-03,-1,-1,-1,-2,0,-2,-2,-2,0,-3,-2,-2,-2,-2,-1,-1,-3,-2,-2,-2,-2,0,-2,-4,0
2020-03-04,-2,-1,-2,-2,-1,-1,-2,-3,-1,-1,-1,-2,-3,-3,-1,-2,0,-2,-2,-1,-3,-3,-2,-4,-3
2020-03-05,-1,-1,-1,-2,-1,-1,-2,-2,-2,-3,-1,-1,-3,-3,-2,-2,-2,-2,-2,-2,-3,-1,-2,-5,-2
2020-03-06,-2,-1,-2,-3,-2,-1,-3,-2,-3,-3,-2,-2,-3,-3,-2,-2,-3,-3,-3,-2,-4,-2,-3,-4,-3
2020-03-07,1,1,1,4,1,4,2,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,1,3,2
2020-03-08,2,3,2,4,1,2,2,3,3,2,3,2,2,2,4,1,1,2,3,2,1,2,2,1,3
2020-03-09,-1,-1,0,-1,1,1,-1,-3,0,-3,-2,0,2,-4,-3,0,0,-3,-4,-2,0,0,-3,0,-2
2020-03-10,-2,-2,-2,-4,-1,-1,-3,-3,-2,-3,-3,-2,-5,-3,-2,-1,-3,-2,-3,-3,-3,-2,-3,-4,3
2020-03-11,0,2,2,-2,-1,-1,-1,-3,-2,-1,-2,1,-3,-3,-2,-2,-2,-3,-3,-2,-2,0,-2,-3,-2
2020-03-12,-1,-1,-2,-2,0,1,-2,-2,0,-2,-1,-1,-2,-3,-3,-2,-2,-2,-3,-2,-2,1,-1,-3,-2
2020-03-13,-1,0,-2,-1,2,2,-2,-1,0,-2,-1,-1,-1,-2,2,0,0,-2,-2,-2,-3,-1,-2,-3,-2
2020-03-14,7,11,9,4,4,6,6,5,6,3,5,4,5,4,5,5,4,2,3,6,3,6,5,3,5
2020-03-15,9,11,8,9,9,5,12,9,13,5,9,6,9,6,8,6,6,6,6,9,3,11,9,4,10
2020-03-16,6,9,6,8,7,8,8,6,6,4,7,7,7,6,5,8,6,6,6,6,7,6,6,10,8
2020-03-17,11,16,11,8,10,10,12,8,11,5,9,9,8,11,7,10,9,9,10,9,7,11,8,20,8
2020-03-18,12,17,11,9,17,14,12,11,11,15,15,9,10,13,11,13,12,16,12,10,14,9,9,24,8
2020-03-19,13,17,12,12,19,16,13,12,11,11,16,9,11,13,12,14,13,17,14,11,16,10,10,25,9
2020-03-20,29,39,30,25,24,29,29,23,24,20,26,24,22,29,23,33,30,27,26,27,28,28,25,34,25
2020-03-21,28,33,28,27,23,30,29,25,26,22,27,25,23,29,24,31,29,26,26,28,26,27,26,29,26
2020-03-22,27,31,26,30,24,26,30,26,29,22,27,28,26,29,27,28,28,27,27,30,23,28,27,23,28
2020-03-23,32,39,33,29,25,33,32,26,27,23,28,29,24,31,27,36,33,28,28,30,31,30,27,34,29
2020-03-24,31,39,32,27,26,31,31,26,27,23,28,29,23,33,27,34,32,30,30,28,30,30,27,34,28
2020-03-25,28,36,29,24,23,29,30,23,24,23,26,25,23,30,24,33,30,26,26,28,28,25,25,31,25
2020-03-26,30,38,31,25,25,30,30,24,25,21,27,27,22,30,25,34,30,27,27,28,30,28,26,32,26
2020-03-27,32,41,33,27,28,32,32,26,28,24,28,29,24,32,26,38,33,28,28,29,31,32,26,35,27
2020-03-28,29,33,29,27,25,30,30,25,27,22,28,26,23,29,26,32,30,27,26,27,27,29,25,29,27
2020-03-29,27,31,26,29,24,28,30,25,29,21,27,28,26,29,27,33,29,26,28,29,24,29,25,24,28
2020-03-30,28,37,30,25,22,29,29,22,23,20,25,26,24,27,25,32,29,25,24,27,29,26,23,32,26
2020-03-31,30,38,31,25,24,30,30,23,25,19,27,29,24,31,24,33,31,27,28,27,28,29,25,32,27
2020-04-01,27,35,28,23,21,27,28,20,22,19,24,25,23,28,21,32,28,24,25,26,27,24,23,29,23
2020-04-02,29,37,30,24,25,29,29,23,24,21,26,25,23,28,23,33,29,26,25,26,28,27,24,31,25
2020-04-03,31,40,32,25,24,30,30,23,25,20,25,27,24,31,24,36,31,26,27,28,29,29,25,34,25
2020-04-04,27,32,28,24,21,28,28,22,25,18,24,24,23,28,23,30,29,24,24,26,26,27,23,29,24
2020-04-05,26,30,25,27,21,25,29,23,27,18,23,26,24,27,24,32,27,24,25,28,23,27,23,24,25
2020-04-06,26,35,27,22,20,27,27,19,20,18,21,22,21,25,22,29,27,22,22,25,26,24,22,31,22
2020-04-07,25,35,26,20,20,24,25,19,20,15,21,22,20,26,19,29,27,23,22,23,24,24,21,29,21
2020-04-08,24,34,25,20,18,24,25,17,19,17,21,22,19,25,19,30,27,22,22,23,24,21,21,28,20
2020-04-09,27,37,29,22,21,27,27,21,22,16,22,24,20,28,21,31,28,23,24,24,26,25,22,29,22
2020-04-10,35,43,36,29,28,34,35,29,31,26,29,32,30,37,31,40,37,29,34,31,32,33,27,38,29
2020-04-11,27,32,27,23,21,28,28,23,24,19,24,24,23,28,23,31,29,24,25,25,25,27,22,29,23
