date,JP,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi
2020-02-15,4,4,6,5,4,2,7,4,6,4,5,5,4,2,5,7,5,4,2,3,3,4,2,5,4,2,6,2,3,5,3,4,3,3,4,4,5,8,4,3,4,4,6,8,4,6,3,5
2020-02-16,-2,-2,0,-2,-1,-1,-2,-1,-1,-2,1,-2,0,-2,-1,0,-1,-2,0,-2,-2,-4,-3,-2,-1,0,0,-1,-2,0,0,-2,-2,-3,-2,-2,-2,0,-2,0,0,-1,0,0,-3,-2,0,-1
2020-02-17,0,1,0,-1,1,1,1,0,1,0,1,1,-2,1,0,-1,1,1,1,-1,3,0,0,2,0,2,0,1,2,0,1,2,-3,2,1,0,0,0,1,0,1,1,1,0,2,0,0,0
2020-02-18,0,0,0,0,0,0,0,-1,1,-2,1,0,-1,0,1,-2,1,0,0,-1,0,-1,-2,0,0,0,0,-1,-1,0,-1,0,-2,-1,-1,0,-1,-1,1,0,0,0,-2,-1,0,0,-1,0
2020-02-19,0,1,0,1,0,0,1,0,1,0,0,0,-1,0,1,-1,1,0,0,-1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,-1,-1,0,0,1,1,1,0
2020-02-20,0,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,-2,0,1,0,1,1,1,0,1,-1,0,1,1,0,0,2,0,1,1,0,1,1,-1,1,0,1,1,1,1
2020-02-21,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,2,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,-2,1,1,1,1,1,0
2020-02-22,-1,-2,-2,1,0,-2,-3,-1,-1,-3,1,-2,-1,-3,1,-3,0,-2,1,-1,-2,0,-2,2,-1,0,-2,-1,-2,-1,-1,-2,0,-4,-1,0,-2,-1,-2,1,-2,-1,-2,-2,-4,-3,-2,-1
2020-02-23,0,-1,-1,-1,1,1,0,1,0,0,0,0,-4,0,1,0,-1,0,4,1,2,2,0,0,0,2,1,2,1,0,3,0,1,0,0,0,-1,1,-1,1,0,-1,1,-1,0,-1,1,1
2020-02-24,-55,-44,-53,-51,-58,-49,-56,-54,-53,-48,-49,-52,-52,-56,-54,-56,-52,-56,-46,-59,-48,-48,-55,-44,-56,-48,-51,-48,-56,-58,-48,-51,-42,-59,-50,-58,-54,-52,-44,-49,-50,-66,-55,-57,-50,-56,-51,-53
2020-02-25,1,1,1,1,1,2,1,1,2,0,1,2,0,1,1,-1,2,1,2,1,1,0,0,1,1,1,1,1,1,0,1,1,-1,1,2,1,1,1,2,0,1,-1,1,0,1,0,1,0
2020-02-26,1,1,1,2,0,1,2,1,1,1,0,1,0,1,1,0,2,1,2,-1,1,1,0,1,2,2,1,2,0,1,2,1,0,1,2,0,0,2,1,0,0,-1,1,1,0,2,2,0
2020-02-27,0,1,2,1,0,1,1,0,1,1,1,1,-1,1,1,0,2,1,2,-1,1,0,0,1,1,1,0,1,-1,1,1,1,0,0,1,0,0,2,1,1,1,-2,1,1,1,1,1,1
2020-02-28,1,1,3,2,0,2,2,1,2,2,1,2,-2,1,2,0,2,2,2,0,2,0,0,2,2,2,1,2,2,1,2,2,2,1,2,-1,1,2,1,1,1,-1,2,1,2,1,2,1
2020-02-29,3,2,9,8,3,5,8,4,8,3,6,4,-2,1,6,6,9,4,3,1,2,4,2,3,7,4,7,3,2,11,2,3,7,2,6,4,1,9,3,5,4,1,9,9,2,8,4,5
2020-03-01,1,1,5,4,0,7,3,3,6,4,2,4,-10,2,4,3,5,4,3,0,5,1,1,4,6,3,2,3,3,2,2,4,3,1,4,0,4,6,1,3,5,-1,5,4,1,3,7,5
2020-03-02,-2,-1,-1,-1,-4,1,0,0,0,-2,-1,1,-5,2,-2,-1,0,2,1,-4,2,-1,1,1,-2,1,0,2,-1,-1,1,1,0,0,2,-3,-1,1,-1,-2,0,-5,0,0,0,-1,1,-2
2020-03-03,-2,-3,0,-2,-3,0,-1,-2,1,-3,0,0,-6,-2,0,-2,1,-1,0,-5,0,-2,-2,-1,-2,0,-1,1,-2,-3,-2,-1,0,-3,-1,-3,-2,0,0,-1,-2,-6,0,-1,-2,-1,-2,0
2020-03-04,-4,-3,-1,-1,-6,-3,-1,-2,-2,-3,-1,-2,-7,-4,-3,-2,0,-3,-1,-8,-5,-3,-4,-2,-3,-1,-2,-1,-5,-3,-2,-3,-2,-5,-1,-4,-4,0,-2,-2,-5,-8,0,-1,-5,-1,-2,-4
2020-03-05,-4,-3,-1,-2,-5,-2,-1,-2,-1,-3,-2,-2,-8,-3,-2,-3,-1,-2,-1,-6,-4,-2,-4,-2,-3,-1,-2,-1,-4,-4,-2,-1,-4,-4,-1,-4,-3,0,-3,-2,-1,-7,-1,-2,-2,-2,-2,-2
2020-03-06,-4,-3,-1,-2,-5,-2,-2,-2,-1,-4,-2,-1,-8,-3,-2,-3,-1,-1,-1,-6,-3,-2,-4,-2,-3,-1,-1,-1,-3,-3,-4,-1,-1,-4,-2,-4,-3,-1,-2,-2,-2,-8,-2,-2,-2,-2,-2,-3
