date,HU,Bács-Kiskun,Baranya,Békés County,Borsod-Abaúj-Zemplén,Budapest,Csongrád,Fejér,Gyor-Moson-Sopron,Hajdú-Bihar,Heves County,Jász-Nagykun-Szolnok,Komárom-Esztergom,Nógrád County,Pest County,Somogy County,Szabolcs-Szatmár-Bereg,Tolna County,Vas County,Veszprém,Zala County
2020-02-15,16,13,19,17,38,14,21,10,13,11,14,10,16,12,16,25,17,19,7,21,15
2020-02-16,18,14,21,19,27,15,28,15,17,17,25,17,19,14,24,32,19,18,19,28,21
2020-02-17,6,3,8,6,6,5,16,4,6,8,7,10,4,5,3,12,7,5,2,6,6
2020-02-18,5,1,6,9,8,5,9,3,4,6,8,10,3,6,4,6,7,5,0,5,2
2020-02-19,2,0,6,5,1,2,7,-1,-1,7,4,6,2,-1,1,6,3,4,-3,3,5
2020-02-20,4,3,5,4,1,5,7,1,3,5,6,4,2,4,4,6,1,5,3,6,7
2020-02-21,1,2,5,5,1,1,10,3,2,3,4,0,-2,-4,0,5,-1,2,4,1,3
2020-02-22,11,11,30,15,8,9,12,8,8,10,15,15,13,14,14,22,8,22,7,17,11
2020-02-23,14,13,95,20,8,8,25,10,8,12,14,17,12,8,13,21,2,20,17,22,21
2020-02-24,3,0,5,5,2,2,10,1,1,7,5,4,1,0,3,6,-1,2,-1,3,3
2020-02-25,6,2,10,12,8,5,13,7,6,8,12,10,8,3,7,9,2,4,4,7,3
2020-02-26,-2,-6,-7,3,0,-1,5,-7,-3,1,0,0,-5,-4,-4,-8,1,-9,-10,-4,-9
2020-02-27,2,3,6,6,4,2,9,-2,4,5,5,1,2,2,2,4,1,-2,-1,4,1
2020-02-28,0,0,-1,-1,4,0,8,-1,-3,-2,3,-2,0,-1,1,0,-4,0,2,-2,3
2020-02-29,5,7,6,13,4,4,13,1,-1,2,8,4,7,9,9,9,5,8,-2,4,-5
2020-03-01,7,11,7,9,14,4,11,4,3,9,14,10,8,10,10,13,7,11,8,8,8
2020-03-02,2,-1,5,7,-1,2,14,-1,2,4,-1,3,3,-1,4,4,-5,0,1,4,2
2020-03-03,1,-3,3,4,4,0,8,-2,0,4,2,1,0,-2,-1,4,-2,0,-4,0,-3
2020-03-04,0,-2,7,-2,-1,0,3,-3,2,-1,-2,-1,1,-7,4,6,-4,3,-3,1,3
2020-03-05,5,6,11,8,6,3,13,4,6,8,9,7,6,6,9,13,4,4,3,5,5
2020-03-06,0,0,2,4,6,-2,8,-2,-1,4,2,4,-1,-5,-2,3,5,-3,-2,2,-2
2020-03-07,8,8,10,6,15,3,10,4,8,3,11,9,12,10,17,20,5,13,11,27,13
2020-03-08,17,18,19,22,19,8,20,17,17,23,21,21,29,25,30,30,24,18,22,37,21
2020-03-09,3,2,6,5,7,0,13,3,4,4,7,5,4,10,6,7,3,5,3,4,3
2020-03-10,4,2,8,8,9,2,13,2,7,5,10,8,8,10,6,7,5,9,2,6,5
2020-03-11,1,1,8,4,5,-3,12,0,5,0,4,6,3,0,4,7,-4,6,2,5,7
2020-03-12,0,5,8,9,8,-7,8,2,5,1,9,9,6,5,6,12,3,8,2,7,8
2020-03-13,-9,0,-3,0,1,-19,1,-6,-2,-10,-2,1,-1,-1,-2,1,1,-1,-5,-2,-3
2020-03-14,-8,-1,2,11,7,-25,5,-7,6,-8,5,1,3,17,7,13,3,9,-4,8,-3
2020-03-15,-17,-18,-12,-12,-6,-31,-10,-13,0,-22,-2,-12,0,7,5,-1,-17,-11,-12,6,-9
2020-03-16,-28,-22,-17,-14,-15,-39,-17,-23,-14,-26,-16,-15,-18,-4,-22,-8,-14,-17,-25,-14,-17
2020-03-17,-36,-27,-26,-19,-19,-49,-25,-29,-28,-34,-20,-23,-23,-10,-30,-14,-24,-23,-30,-23,-24
2020-03-18,-40,-28,-29,-23,-24,-54,-20,-34,-26,-38,-25,-27,-27,-18,-32,-21,-24,-26,-35,-25,-28
2020-03-19,-43,-30,-34,-28,-26,-57,-27,-36,-31,-41,-30,-24,-32,-17,-33,-23,-30,-33,-37,-27,-31
2020-03-20,-45,-36,-37,-33,-30,-59,-29,-38,-39,-46,-35,-33,-34,-24,-35,-28,-31,-35,-41,-32,-36
2020-03-21,-47,-33,-38,-29,-39,-62,-32,-42,-45,-46,-38,-33,-36,-29,-34,-26,-38,-28,-46,-38,-42
2020-03-22,-55,-48,-52,-44,-40,-67,-32,-51,-54,-56,-48,-45,-48,-32,-41,-48,-49,-48,-57,-50,-54
2020-03-23,-58,-49,-51,-41,-44,-69,-46,-52,-48,-54,-47,-43,-47,-41,-53,-42,-46,-47,-51,-48,-48
2020-03-24,-57,-49,-55,-42,-39,-68,-48,-51,-47,-53,-46,-41,-46,-35,-50,-43,-41,-50,-49,-46,-51
2020-03-25,-58,-51,-55,-42,-41,-69,-49,-54,-49,-54,-49,-41,-48,-38,-52,-49,-42,-50,-54,-47,-51
2020-03-26,-55,-45,-51,-39,-39,-67,-44,-52,-46,-52,-44,-37,-45,-35,-48,-41,-41,-46,-50,-45,-47
2020-03-27,-48,-39,-42,-34,-32,-62,-35,-45,-43,-46,-40,-35,-38,-26,-37,-34,-30,-39,-45,-35,-39
2020-03-28,-52,-42,-47,-36,-39,-67,-35,-49,-44,-52,-46,-42,-42,-28,-37,-38,-37,-39,-45,-42,-43
2020-03-29,-53,-47,-45,-43,-38,-67,-39,-48,-51,-52,-48,-49,-46,-30,-34,-44,-43,-44,-55,-43,-48
2020-03-30,-59,-51,-52,-47,-44,-70,-48,-55,-51,-56,-52,-43,-49,-42,-52,-44,-48,-49,-54,-50,-51
2020-03-31,-56,-48,-48,-42,-38,-68,-45,-51,-47,-53,-44,-41,-46,-37,-48,-39,-42,-42,-45,-43,-42
2020-04-01,-54,-47,-47,-42,-38,-66,-42,-51,-46,-51,-44,-40,-46,-35,-48,-36,-38,-42,-48,-43,-43
2020-04-02,-53,-44,-45,-38,-34,-66,-41,-50,-49,-50,-41,-37,-43,-27,-45,-34,-36,-39,-47,-41,-41
2020-04-03,-51,-42,-44,-40,-33,-65,-37,-48,-54,-48,-44,-39,-40,-28,-42,-36,-34,-42,-48,-41,-41
2020-04-04,-43,-31,-33,-28,-25,-62,-27,-39,-44,-42,-31,-32,-30,-16,-25,-21,-22,-29,-36,-26,-36
2020-04-05,-44,-40,-35,-36,-23,-62,-35,-39,-47,-46,-32,-40,-29,-14,-19,-28,-31,-36,-35,-22,-34
2020-04-06,-51,-41,-41,-35,-29,-66,-39,-46,-46,-45,-37,-36,-39,-25,-43,-30,-29,-37,-43,-36,-35
2020-04-07,-49,-39,-37,-31,-26,-65,-37,-43,-44,-45,-33,-33,-34,-22,-40,-21,-28,-33,-40,-34,-33
2020-04-08,-49,-37,-35,-30,-27,-65,-35,-44,-45,-44,-33,-32,-35,-18,-38,-23,-25,-31,-40,-33,-32
2020-04-09,-44,-28,-29,-22,-21,-62,-32,-40,-41,-38,-25,-22,-28,-8,-30,-17,-19,-24,-35,-24,-28
2020-04-10,-70,-62,-64,-60,-59,-80,-64,-68,-71,-71,-63,-57,-62,-57,-63,-55,-58,-65,-68,-63,-64
2020-04-11,-43,-28,-29,-19,-20,-64,-36,-39,-47,-38,-29,-26,-30,-9,-25,-15,-11,-22,-36,-26,-34
