date,CR
2020-02-15,10
2020-02-16,9
2020-02-17,5
2020-02-18,3
2020-02-19,-1
2020-02-20,-1
2020-02-21,0
2020-02-22,1
2020-02-23,2
2020-02-24,0
2020-02-25,-1
2020-02-26,-2
2020-02-27,0
2020-02-28,6
2020-02-29,13
2020-03-01,13
2020-03-02,9
2020-03-03,7
2020-03-04,3
2020-03-05,1
2020-03-06,2
2020-03-07,4
2020-03-08,4
2020-03-09,4
2020-03-10,4
2020-03-11,0
2020-03-12,-2
2020-03-13,5
2020-03-14,8
2020-03-15,5
2020-03-16,12
2020-03-17,-1
2020-03-18,-13
2020-03-19,-16
2020-03-20,-23
2020-03-21,-31
2020-03-22,-42
2020-03-23,-31
2020-03-24,-35
2020-03-25,-36
2020-03-26,-35
2020-03-27,-29
2020-03-28,-32
2020-03-29,-41
2020-03-30,-28
2020-03-31,-27
2020-04-01,-27
2020-04-02,-22
2020-04-03,-29
2020-04-04,-40
2020-04-05,-41
2020-04-06,-36
2020-04-07,-31
2020-04-08,-50
2020-04-09,-64
2020-04-10,-71
2020-04-11,-62
