date,TZ
2020-02-15,2
2020-02-16,2
2020-02-17,1
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,-1
2020-02-22,1
2020-02-23,-6
2020-02-24,1
2020-02-25,-1
2020-02-26,-1
2020-02-27,0
2020-02-28,-1
2020-02-29,0
2020-03-01,-2
2020-03-02,-2
2020-03-03,-1
2020-03-04,-3
2020-03-05,-1
2020-03-06,-2
2020-03-07,0
2020-03-08,-2
2020-03-09,-2
2020-03-10,-3
2020-03-11,-2
2020-03-12,-1
2020-03-13,-3
2020-03-14,-2
2020-03-15,-4
2020-03-16,-2
2020-03-17,-3
2020-03-18,-6
2020-03-19,-9
2020-03-20,-10
2020-03-21,-6
2020-03-22,-10
2020-03-23,-11
2020-03-24,-12
2020-03-25,-13
2020-03-26,-12
2020-03-27,-13
2020-03-28,-7
2020-03-29,-9
2020-03-30,-14
2020-03-31,-15
2020-04-01,-15
2020-04-02,-15
2020-04-03,-15
2020-04-04,-9
2020-04-05,-12
2020-04-06,-16
2020-04-07,-43
2020-04-08,-17
2020-04-09,-18
2020-04-10,-45
2020-04-11,-17
