date,RE
2020-02-15,-4
2020-02-16,8
2020-02-17,-3
2020-02-18,-6
2020-02-19,1
2020-02-20,-8
2020-02-21,-10
2020-02-22,-7
2020-02-23,11
2020-02-24,-11
2020-02-25,-9
2020-02-26,4
2020-02-27,-14
2020-02-28,-20
2020-02-29,-14
2020-03-01,-12
2020-03-02,-18
2020-03-03,-20
2020-03-04,-8
2020-03-05,-15
2020-03-06,-26
2020-03-07,-19
2020-03-08,0
2020-03-09,-15
2020-03-10,-16
2020-03-11,-5
2020-03-12,-9
2020-03-13,-17
2020-03-14,-17
2020-03-15,-1
2020-03-16,-1
2020-03-17,-26
2020-03-18,-49
2020-03-19,-61
2020-03-20,-68
2020-03-21,-77
2020-03-22,-75
2020-03-23,-71
2020-03-24,-76
2020-03-25,-77
2020-03-26,-78
2020-03-27,-83
2020-03-28,-84
2020-03-29,-88
2020-03-30,-83
2020-03-31,-81
2020-04-01,-79
2020-04-02,-75
2020-04-03,-83
2020-04-04,-83
2020-04-05,-89
2020-04-06,-84
2020-04-07,-72
2020-04-08,-79
2020-04-09,-81
2020-04-10,-76
2020-04-11,-81
