date,total,Federal District,State of Acre,State of Alagoas,State of Amapá,State of Amazonas,State of Bahia,State of Ceará,State of Espírito Santo,State of Goiás,State of Maranhão,State of Mato Grosso,State of Mato Grosso do Sul,State of Minas Gerais,State of Paraná,State of Paraíba,State of Pará,State of Pernambuco,State of Piauí,State of Rio Grande do Norte,State of Rio Grande do Sul,State of Rio de Janeiro,State of Rondônia,State of Roraima,State of Santa Catarina,State of Sergipe,State of São Paulo,State of Tocantins
2020-02-29,-22.74186074858426,-24.743914128011102,-11.499686817310465,-29.347716443603,-8.191528923323402,-12.879866442403081,-28.459613632980567,-38.360271824248954,-36.52490333083388,-22.735601868730598,-23.8266976223766,-15.88632563602493,-1.4594076996735084,-16.3832095703758,-13.725027178396445,-26.234130602047482,-11.885764665543439,-21.347464395763108,-19.56146840272195,-31.85556602477558,-9.583421052081597,-28.506787330316737,-6.187718474461312,-8.95277056,-23.842549587292815,-29.453357833112552,-20.46389266414124,-8.452286582824307
2020-03-01,-34.54043846380092,-26.35658149393837,-15.9522861921616,-31.357938613323547,-5.915945931986258,-12.378278089453632,-27.92849000520881,-42.18219666619496,-50.92473668629578,-14.445728806718742,-15.859282393040422,-12.579182079753577,-5.6568872891165505,-26.102506023756856,-24.732858982428514,-41.81337806868477,-5.737066158772152,-33.75770400110912,-19.238066110094287,-44.26332247811747,-13.66514264775239,-64.89310171810439,-8.83810716335368,-14.2651392,-35.536670326742865,-22.273945787116453,-25.55409506982525,2.3940275404982816
2020-03-02,-25.525776803000145,-15.076564676808443,4.57564678688108,-25.87421289392918,-7.362403734910494,-4.609424002104415,-23.81730603240258,-29.752126967071124,-39.04990587601017,-11.646316334797529,-4.467021521723613,-6.001781217618364,0.6585601279817874,-12.602245346559767,-30.497732309111854,-29.586541753589206,-9.384453483618307,-11.782202759646367,-17.703604781710773,-29.00891072045685,-12.899879411393846,-45.996055461166485,NA,-8.29822976,-51.65694052728467,-15.277020468710894,-26.692780888310352,-15.61453702351029
2020-03-03,-20.724263078280547,-0.28272164912499564,-3.922255490442986,-22.163988025123974,-4.497030661094065,6.093049321939565,-18.83622768546207,-26.532410178007154,-22.509309493116195,-4.02373955641511,-9.216864007094948,-5.92703802600319,5.668424108876815,-10.86046372359763,-18.351783269760674,-21.48175870307203,-14.05375870256904,-11.477349237002608,-15.331987969107905,-24.381048763791135,-13.39258313891236,-28.75821055392621,-11.313953433220922,-4.71076864,-50.40903091309207,-11.970168873478176,-25.075904294417846,-26.649729059298227
2020-03-04,-11.174140454522735,0.9549067944936078,4.937158175713253,-17.79991596436313,NA,-6.280424281374704,-13.361347911620252,-27.45954377840942,-31.373782577917027,-6.432470016125929,-10.32296517314186,-4.341899949281407,6.799032445382775,-5.470434274119687,-2.5448110901863368,-20.51898542309358,-5.3559958412509125,-8.331376650479491,-14.394801145126834,-28.014748867984114,-1.9736739259010532,-26.936831628694232,-6.77110753805072,-6.18059776,-19.223750485300368,-6.429295549952894,-12.724074305301626,-12.475386118336212
2020-03-05,-4.820751843149193,14.114926414478527,-0.5952060860983519,-12.451732290600441,NA,-3.777287002766824,-13.517335571668532,-19.2859034657161,-32.91266666151417,-5.2138463186716,-5.112085774426979,4.076901360827613,1.2777027884493364,-0.7110498950245883,0.7304903091964522,-14.298432314729832,-1.5873154579456163,-0.4524566522782401,-5.475501879383693,-18.429564340751835,-3.281197164112663,-10.60775692282102,-0.9903385079468972,-2.58736128,-20.569422603830642,-1.0853158009331894,2.2725992739421774,-4.798443366182157
2020-03-06,-6.871214632436793,-14.731336540632002,-10.178596385826143,-20.853430076868367,1.1634345427328892,-5.3051135950841095,-29.92379228251351,-21.46128477066817,-30.717975280714487,-7.004709849095902,-8.80716103578335,0.3902177016792143,13.983586951087734,-1.0801371021150081,-9.262083776969359,-20.203826105895047,-11.786438066490284,-9.64340446945264,-16.538191114584055,-18.925681931859838,-6.593843502322253,-7.041769522314153,-0.8878896967799769,-5.60113664,-35.51366738454577,-14.684418832272152,1.6388294638213856,-14.626705541316522
2020-03-07,-14.298731522796025,-18.515383102900227,3.6799760900119263,-21.67622756513955,-9.767151704053086,-3.900281847934505,-32.86746125373138,-37.602747453930554,-51.734624993120065,-5.546543895979724,-20.235258810028125,4.090491032030371,11.386841103381444,-1.8628732263382606,-5.5677266591427115,-25.91128447223435,-17.85968656051927,-16.530585792724192,-19.37014632570198,-26.721953125718215,-7.462031308452557,-10.57608911221372,-3.562941988360676,-3.5807232,-26.84826736771371,-15.988718706313984,-0.11930907570045032,7.278410356852171
2020-03-08,-16.720329680121218,2.9464596357788664,-3.1906480096137617,-20.532710870303266,10.846059165722115,-2.7289481271579192,-35.23120064219306,-25.772980086002423,-49.85772569466522,0.3279447547751508,-12.810239949331418,-0.41448497168414056,3.1870464587731755,-0.1840592371317054,-7.629671273758511,-21.92278957683461,-14.096736557928578,-22.51671271678918,-9.1028519183156,-24.517842352018974,-13.442139413246911,-10.30451364549051,1.2369745348302241,-6.929469439999999,-26.85881038288738,NA,0.3226117406940177,5.006209069894039
2020-03-09,-11.774530067179661,-3.47920723310964,1.961127745221493,-15.922372275929932,-4.140877229645222,5.1580963192196165,-27.243292676407773,-24.24744987609079,-23.537800232341322,-0.7794628954076047,-15.087336132673181,-1.7540382759560702,8.282475186223502,2.923635671913089,-17.336525551894418,-22.586738016420547,-14.098646684833447,-4.3316212552863504,-16.106016879691232,-25.01299660799861,-7.110372361732379,-11.962755364563671,0.8442540920236958,-8.29822976,-29.65941859538415,-14.527864429128693,-11.404038691751843,-6.246192565229046
2020-03-10,-11.386561345516174,6.2256461103238845,0.6533912964380947,-15.593062376331835,-3.5976245288752517,5.9835070379621,-24.145550004160622,-22.916303278185385,-19.82348489414721,3.3364814181471862,-2.1201886624139177,0.7076335933436498,10.676365286478466,0.7013625667544985,-8.161110116694132,-16.367145759633623,-6.74943341835239,-6.744401825324471,-10.22164903875725,-19.52102304118944,-13.644176531687773,-6.57634866944929,-4.274392065908734,-4.71076864,-37.137291721290985,-9.457614771494793,-13.423702725209067,-24.346362916783313
2020-03-11,-5.596689286476166,0.9549067944936078,1.8514343158924698,-14.922988319758321,-1.8320532513728514,1.5460836396468634,-15.61599163599909,-20.027229201700642,-19.602956449126093,-3.487621174695734,-9.719549213030454,-3.63329566513756,8.636270992204958,1.1169489495413492,2.6429082242766033,-16.603515247532524,-10.50092265951387,-6.527338399391414,-10.263409695162622,-23.039122929978614,-2.6121874605962274,-12.439691784922099,-7.523347420044868,-1.37357312,-14.21773518965676,-8.468344616661886,-6.391148567121722,0.3560348649971803
2020-03-12,-4.99950602689084,8.954775498816188,4.759740976972398,-14.137417167963445,1.6772452265030873,0.5967171785088267,-20.36739490065992,-27.515762568156315,-28.380758966014692,-0.3231919322421776,-6.616267132457502,0.2717934240551742,0.5960690209470193,1.7427503557891475,5.161052132380149,-24.809187713616307,-16.76422878057726,-7.810424428240154,-3.97017589267835,-33.422912278625525,-7.5249296566464094,-4.082268676468303,-2.4767948699706404,-2.58736128,-20.18412332202924,0.9306823107117349,4.679779185274463,-1.3712536444984238
