date,total,Blagoevgrad Province,Burgas,Dobrich Province,Gabrovo,Lovec,Montana Province,Pazardzhik,Pernik,Sliven Province,Smoljan,Varna,Veliko Tarnovo Province
2020-02-29,3.176955206749052,3.4558458232230005,0.71333003544507,2.0464543225355105,3.75027807997627,5.882442707271841,5.833152979969699,5.855789273602061,6.17093833280515,1.0829209732673557,1.730092566873669,1.154509578883306,1.041363617972722
2020-03-01,8.224124064767759,6.722551569762453,8.070984191366396,14.630938917758606,6.827673017371901,7.962438126678622,11.39580191449472,8.602134637546207,12.15467062660684,11.304058208649314,7.7839594263664855,6.025096864797254,5.817571590136232
2020-03-02,-8.587732126581129,-2.79338032850726,-2.533088647373488,-3.95744594759822,-17.531076904014768,-8.462809921524547,-10.026433684440857,-7.622240120671905,-4.830111833555238,-2.5531432085029135,-5.24079135220856,-5.722818174380172,-4.74634463066753
2020-03-03,-60.25298624300767,-42.02236286638023,-52.19773358830713,-51.346167886368505,-66.17064395343836,-51.9686713656423,-50.14246442393401,-48.480729201081324,-57.526161472204556,-51.414956226393,-43.71373695076649,-61.616098217598065,-54.91964834470386
2020-03-04,-0.2713013794545679,-3.073763859269302,-10.720084847192645,2.6144300612250344,2.6050461777027256,0.6063106247565927,18.281019071211198,2.839713561413401,-9.970926883676428,4.442069510731122,2.0399743910357695,-8.36239370650611,2.855320780454346
2020-03-05,-1.6149656078774868,-6.599943178344476,-10.905128794559445,0.4702490783698619,2.943388548830843,-3.365449614483552,4.285944720038712,2.144639202475614,-10.931460486940255,1.8832167013146726,1.6193510999317275,-10.796224710638484,2.050937227256175
2020-03-06,-9.526852286231556,-9.87805435664374,-11.21001985809645,-10.289359463755373,-7.282914578524621,-12.237826619502023,-7.944769334721246,-10.484588396623307,-8.413490255527224,-9.531227124996342,-11.37917143647286,-11.017570719427766,-10.721902930653465
2020-03-07,4.294267396692124,0.6101905991499357,5.349975265838025,9.209528246757912,11.999749376021384,0.7349506325052614,4.167072700068212,6.505594203463845,3.9264261374233533,5.957968553274969,7.7839594263664855,4.039808433541839,5.208744757056898
2020-03-08,5.0881048649778275,-0.6111410517965867,8.070984191366396,18.694819841942596,1.1376287029223504,NA,8.863921489138809,6.7904143614003605,3.2413108428504813,13.042631686821071,NA,8.822637389979858,4.362937859203013
2020-03-09,-14.305930432008175,-15.421094191912317,-13.126614939890395,-12.336781376987117,-16.49989299200913,-17.227356331812516,-16.249898729982984,-16.231919663064108,-14.052214561217827,-14.1607618657219,-19.753752019863036,-12.270564645834057,-13.695713743495086
2020-03-10,-15.107794568325078,-15.180629672309614,-14.409458471376286,-12.12294383311934,-16.92757295551377,-17.722998714608856,-15.32138657399294,-14.501307114012768,-12.73491133388458,-16.212411793985886,-16.59470596288764,-13.943823461175066,-16.81498792943003
2020-03-11,-13.869279691110881,-13.281625284300937,-13.419041903345699,-11.172769769417275,-14.589589155021724,-16.67401512201126,0.8124481364912868,-14.480558625686268,-14.52366013588099,-15.430196468831436,-16.32076654466284,-12.793214252490689,-14.549227310122127
2020-03-12,-9.249129572352027,-0.7698666437873021,2.510078001068808,1.6449041835982823,-12.04061657253405,-14.687662061186227,1.7858883000292338,-1.5731126603910834,-13.117164502530388,-12.479284396685506,-1.6193510999317275,-11.84249901650148,-15.175394147941063
2020-03-13,-12.573775470875164,-3.5518415405347503,-12.934859554018065,-3.274326916056816,-15.10660671090289,-15.062231495513233,-4.694040788598851,-6.894156803032866,-12.279147940499193,-14.058940649430504,-3.251330612760343,-12.92875211690351,-15.258240837252492
