date,total,Burgenland,Carinthia,Lower Austria,Salzburg,Styria,Tyrol,Upper Austria,Vienna,Vorarlberg
2020-02-29,0.08033489035459178,6.58529857370455,-7.018372911598643,-2.9803587244359524,3.848314788525654,3.199795422915584,-4.1116559652019875,1.3689181399879309,-1.4830347652278768,8.846475866358444
2020-03-01,0.711878483835244,-2.287914199912137,-11.736342649810924,-0.04398347812770414,-2.1703264561975018,0.4361625903855171,-8.094732724024263,7.647027013679963,1.0934158442922852,18.3060738224645
2020-03-02,1.0451489695636988,9.1010306130973,-1.5917075373617444,0.5880399793160445,-2.0058932156083245,1.7379841210776608,-3.162664658414411,2.574483173250156,3.3356345363431896,0.20790325178255073
2020-03-03,-2.972390943119896,2.6111429294316384,-6.603062028121851,-2.922988970356338,-7.20909944267287,-3.0436149320351804,-6.252403796792567,-3.1170829663507456,-0.6617791965891298,-4.880913841617198
2020-03-04,0.38974352746287094,8.341637814828589,3.0281497673686326,-1.8951142097632523,-1.241422886553378,1.2342068059817253,-3.3833603111557076,-1.1921910946998868,1.1163346043473201,-0.3975187175286734
2020-03-05,-0.11294608346883199,7.368057304227681,-0.34958507852289655,-0.7458068030349833,-4.563743624773302,1.348485213942996,-7.286794725727864,0.4059945634995608,1.1602622277861367,-7.035985048752064
2020-03-06,-2.2056302074582477,NA,-6.075350492694917,-1.5977476511172526,-5.497455183908336,-2.9388597247373487,-5.594155023833743,-0.5521526063594027,-0.3514209875105336,-5.500773536746655
2020-03-07,-3.4623542347875045,12.512456722242886,-8.95395024009599,-6.770587143962457,-5.452260082693767,-0.099993606966112,-10.987764867567787,-7.567738663631813,-1.7685643175801855,NA
2020-03-08,4.577497960303719,5.337168359114185,-0.5334268228142292,-3.561705565776042,2.1703264561975018,7.420477956951854,-3.092617777326956,14.287187509881015,5.33147655780247,16.334842990748466
2020-03-09,-2.615258608771265,7.368057304227681,-0.5305691791205815,-3.49955499885646,-4.763755987595225,-1.7379841210776608,-5.69394784072546,-2.035704505453092,-0.9568582322977028,-4.992565587944864
2020-03-10,-2.907168556891415,8.70478334528273,-1.78412221273402,-1.851130731635548,-8.094731106898788,-4.057835802691459,-9.377646148872584,-0.8559320679896624,-0.8775975204407076,-10.372062227818365
2020-03-11,-7.703400129546746,8.341637814828589,-1.2468851983282605,-10.17165739831558,-11.046836654318518,-5.155860839186003,-11.071245397082972,-7.805603713776262,-8.494265445397271,-8.753111906067206
2020-03-12,-9.271123583892294,6.5005970692822705,-4.192163298581111,-9.192546928690167,-13.812392209490879,-8.160430648501084,-15.456372062420915,-8.756108633028175,-10.457639223445254,-11.530930353495176
