date,PT,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Évora District,Faro District,Guarda District,Leiria District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District,Viseu District
2020-02-15,9,12,11,0,-1,0,-11,33,0,24,0,8,10,3,0,3,8,12,2,20,10
2020-02-16,3,5,14,0,-5,0,4,53,0,21,0,16,1,7,0,0,18,4,-17,11,2
2020-02-17,3,4,9,0,2,0,2,19,0,15,0,7,1,9,0,6,-3,1,-7,7,17
2020-02-18,5,0,6,0,7,0,2,24,0,22,0,4,3,3,0,8,-7,3,0,2,15
2020-02-19,8,0,3,0,4,0,2,7,4,20,0,1,5,7,0,9,-1,2,4,7,12
2020-02-20,8,8,16,0,10,0,13,4,4,24,0,8,6,1,0,10,4,3,12,11,0
2020-02-21,11,16,14,0,14,0,61,64,21,23,0,28,9,-3,0,11,15,10,19,8,18
2020-02-22,13,39,10,0,5,0,2,50,0,38,0,45,9,7,0,12,22,12,16,0,24
2020-02-23,16,52,-6,0,11,0,0,42,0,31,0,87,9,2,0,19,4,21,28,0,0
2020-02-24,-3,66,-3,0,19,0,-11,22,-2,22,0,10,-10,7,0,4,-12,-14,18,47,24
2020-02-25,-25,40,0,0,-11,0,2,8,-7,15,0,-9,-29,-3,0,-27,-15,-39,-25,16,-11
2020-02-26,2,2,14,0,0,0,0,13,6,25,0,-6,-2,-3,0,4,10,-4,3,2,11
2020-02-27,6,9,7,0,7,0,2,4,7,24,0,8,4,-2,0,7,2,1,9,4,10
2020-02-28,6,6,-1,0,8,0,18,45,9,25,0,9,5,-2,0,4,7,9,18,6,11
2020-02-29,3,-4,11,0,-8,0,-13,22,0,28,0,-6,3,1,0,-1,-5,4,-7,-4,-2
2020-03-01,-1,-13,14,0,-7,0,9,38,0,26,0,6,-3,1,0,-5,18,3,-9,-4,-2
2020-03-02,4,0,8,0,1,0,4,18,-4,19,0,12,3,3,0,5,-4,5,3,0,20
2020-03-03,1,-9,6,0,-4,0,4,16,0,25,0,-3,1,-1,0,-1,-9,6,-4,-9,8
2020-03-04,5,-7,3,0,1,0,4,0,-9,25,0,1,3,3,0,2,0,6,1,0,7
2020-03-05,5,-2,7,0,6,0,6,-1,9,23,0,1,4,3,0,2,-1,6,13,2,3
2020-03-06,5,4,-2,0,7,0,14,47,23,20,0,9,4,-2,0,2,5,11,21,11,9
2020-03-07,7,4,7,0,-2,0,-7,24,0,29,0,-1,5,2,0,3,-5,23,9,14,8
2020-03-08,1,-12,3,0,-10,0,7,44,0,26,0,12,2,4,0,-9,8,11,-9,13,7
2020-03-09,0,-3,9,0,-7,0,2,23,7,18,0,3,-1,4,0,-1,-6,5,0,4,13
2020-03-10,0,-7,6,0,-4,0,2,29,0,22,0,2,-2,-2,0,-2,-5,5,4,2,6
2020-03-11,-1,-13,0,0,-10,0,4,4,4,18,0,-2,-4,1,0,-6,2,1,-3,4,5
2020-03-12,-11,-18,7,0,-11,0,2,-11,4,12,0,-10,-13,-5,0,-14,-8,-10,4,2,-2
2020-03-13,-24,-35,-11,0,-25,-12,-9,-1,-15,-2,0,-18,-26,-11,0,-30,-22,-18,-3,-11,-5
2020-03-14,-33,-44,-9,0,-40,0,-27,-27,0,1,0,-40,-35,-21,0,-38,-37,-32,-35,-29,-16
2020-03-15,-46,-70,-27,0,-54,0,-46,-45,-54,-16,0,-53,-45,-28,0,-52,-56,-44,-54,-55,-48
2020-03-16,-51,-62,-38,0,-53,-47,-44,-40,-48,-25,0,-54,-53,-33,0,-52,-54,-55,-48,-44,-28
2020-03-17,-56,-63,-43,0,-56,-59,-48,-42,-58,-35,0,-60,-58,-42,0,-57,-58,-62,-49,-49,-28
2020-03-18,-57,-66,-58,0,-58,-47,-54,-53,-60,-33,0,-57,-60,-45,0,-58,-57,-63,-51,-52,-34
2020-03-19,-68,-73,-69,0,-64,-61,-61,-68,-70,-47,0,-68,-71,-53,0,-69,-66,-72,-60,-59,-48
