date,LV,Ādaži Municipality,Aizkraukle Municipality,Aloja Municipality,Alūksne Municipality,Babīte Municipality,Baldone Municipality,Balvi Municipality,Bauska Municipality,Burtnieki Municipality,Carnikava Municipality,Cēsis Municipality,City of Liepāja,Daugavpils,Daugavpils Municipality,Dobele Municipality,Engure Municipality,Garkalne Municipality,Grobiņa Municipality,Gulbene Municipality,Iecava Municipality,Ikšķile Municipality,Inčukalns Municipality,Jēkabpils,Jēkabpils Municipality,Jelgava,Jelgava Municipality,Jūrmala,Ķegums Municipality,Ķekava Municipality,Kocēni Municipality,Krāslava Municipality,Krimulda Municipality,Kuldīga Municipality,Lielvārde Municipality,Limbaži Municipality,Madona Municipality,Mārupe Municipality,Ogre Municipality,Olaine Municipality,Ozolnieki Municipality,Preiļi Municipality,Priekuļi Municipality,Rēzekne,Rēzekne Municipality,Riga,Ropaži Municipality,Salacgrīva Municipality,Salaspils Municipality,Saldus Municipality,Saulkrasti Municipality,Sigulda Municipality,Smiltene Municipality,Stopiņi Municipality,Talsi Municipality,Tukums Municipality,Valmiera,Ventspils,Ventspils Municipality
2020-02-15,-1,0,0,NA,NA,NA,NA,NA,0,0,NA,0,3,-4,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,4,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,0,NA,-3,NA,NA,0,0,NA,0,0,NA,0,0,0,0,NA
2020-02-16,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,-2,5,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,-2,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,-2,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-02-17,1,7,0,NA,-4,-3,NA,NA,0,NA,2,3,1,5,NA,1,0,2,NA,-3,NA,0,NA,0,NA,0,-1,1,NA,-2,NA,NA,NA,-1,NA,2,-4,2,-1,3,0,NA,NA,5,5,1,NA,NA,1,4,NA,-1,0,1,0,1,0,2,NA
2020-02-18,2,4,0,NA,-2,2,NA,NA,4,NA,2,1,1,4,NA,3,4,0,NA,3,NA,0,NA,1,NA,2,4,5,NA,0,NA,NA,NA,-1,NA,4,-3,2,5,3,6,NA,NA,1,2,2,NA,NA,0,7,NA,2,-2,3,2,6,5,2,NA
2020-02-19,2,5,0,NA,4,3,NA,NA,4,NA,-2,3,3,0,NA,4,0,3,NA,-2,NA,1,NA,6,NA,2,5,2,NA,2,NA,NA,NA,1,NA,2,-3,1,2,5,0,NA,NA,1,3,2,NA,NA,2,4,NA,1,7,0,3,4,6,3,NA
2020-02-20,2,3,0,NA,NA,5,NA,NA,4,NA,-4,0,2,1,NA,0,-2,0,NA,0,NA,2,NA,4,NA,1,2,2,NA,5,NA,NA,NA,0,NA,2,-4,3,1,4,0,NA,NA,0,3,1,NA,NA,-2,-1,NA,7,2,2,2,0,5,1,NA
2020-02-21,1,4,0,0,NA,0,NA,NA,3,NA,0,0,1,4,NA,0,0,0,NA,0,NA,-1,NA,-1,NA,2,4,1,NA,-1,0,NA,NA,3,NA,2,-2,3,-1,-2,-2,NA,NA,-1,2,1,NA,NA,-2,1,NA,0,-4,0,5,2,6,4,NA
2020-02-22,-1,0,0,NA,NA,NA,NA,NA,0,0,NA,0,-3,-4,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,4,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,NA,-2,NA,NA,0,0,NA,0,0,NA,0,0,0,0,NA
2020-02-23,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,3,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,2,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-02-24,2,7,0,NA,0,3,NA,NA,3,NA,-2,0,2,3,NA,3,0,2,NA,-5,NA,1,NA,4,NA,2,3,2,NA,2,NA,NA,NA,6,NA,2,0,5,4,3,4,NA,NA,2,7,1,NA,NA,3,5,NA,7,-2,1,3,2,1,2,NA
