date,AE,Abu Dhabi,Ajman,Dubai,Fujairah,Ras al Khaimah,Sharjah,Umm Al Quawain
2020-02-15,1,1,1,0,0,0,0,2
2020-02-16,1,1,1,1,1,1,1,2
2020-02-17,1,1,1,1,1,1,1,1
2020-02-18,1,1,1,1,1,1,1,1
2020-02-19,1,1,1,1,0,1,1,1
2020-02-20,1,1,1,1,1,1,1,2
2020-02-21,1,1,1,1,2,2,1,0
2020-02-22,1,1,1,1,1,1,1,2
2020-02-23,1,1,1,1,1,1,1,2
2020-02-24,1,1,1,1,1,1,1,2
2020-02-25,1,1,1,1,1,1,1,2
2020-02-26,1,1,1,1,1,1,1,2
2020-02-27,1,1,1,1,1,1,1,2
2020-02-28,1,1,1,1,1,1,1,0
2020-02-29,0,0,1,0,0,0,0,1
2020-03-01,1,1,1,1,0,0,1,2
2020-03-02,1,1,1,1,0,1,1,1
2020-03-03,1,1,1,1,1,1,1,2
2020-03-04,2,2,2,2,2,2,1,2
2020-03-05,2,3,2,2,2,3,2,3
2020-03-06,3,3,3,3,3,3,3,0
2020-03-07,2,2,2,2,2,1,2,2
2020-03-08,3,3,3,3,2,3,3,2
2020-03-09,4,4,3,4,2,3,3,4
2020-03-10,4,4,4,4,4,4,4,4
2020-03-11,4,4,4,4,3,4,4,4
2020-03-12,5,5,5,5,5,5,5,5
2020-03-13,5,5,5,5,5,5,5,0
2020-03-14,4,4,3,4,3,3,4,4
2020-03-15,5,5,5,5,4,4,5,5
2020-03-16,6,6,5,7,5,5,6,5
2020-03-17,7,7,6,9,6,6,7,5
2020-03-18,9,8,7,10,7,7,8,7
2020-03-19,11,10,10,12,10,9,10,9
2020-03-20,11,10,10,12,10,10,11,0
2020-03-21,10,9,9,11,8,8,9,0
2020-03-22,13,11,11,15,11,10,12,11
2020-03-23,14,11,11,16,10,10,12,10
2020-03-24,17,14,14,20,12,12,16,13
2020-03-25,21,18,17,25,14,15,19,15
2020-03-26,25,22,22,30,19,19,23,19
2020-03-27,25,23,23,27,0,22,23,0
2020-03-28,28,24,27,32,21,21,27,0
2020-03-29,26,22,22,30,17,18,23,0
2020-03-30,25,21,22,30,16,17,23,0
2020-03-31,25,21,21,30,17,17,22,0
2020-04-01,25,21,21,31,16,18,23,0
2020-04-02,28,25,24,34,20,21,25,0
2020-04-03,22,20,20,24,18,18,19,0
2020-04-04,21,19,18,24,15,15,18,0
2020-04-05,31,22,26,40,17,18,27,0
2020-04-06,30,23,26,39,18,18,27,0
2020-04-07,30,23,25,38,18,18,27,0
2020-04-08,30,24,25,38,19,19,26,0
2020-04-09,33,27,28,40,22,22,29,0
2020-04-10,23,21,21,27,19,19,21,0
2020-04-11,24,20,21,30,16,16,21,0
