date,SE,Blekinge County,Dalarna County,Gavleborg County,Gotland County,Halland County,Jamtland County,Jonkoping County,Kalmar County,Kronoberg County,Norrbotten County,Örebro County,Östergötland County,Skåne County,Södermanland County,Stockholm County,Uppsala County,Varmland County,Västerbotten County,Västernorrland County,Västmanland County,Västra Götaland County
2020-04-02,-27,-11,-34,-23,-11,-17,-31,-23,-13,-24,-24,-24,-21,-22,-20,-33,-25,-26,-21,-19,-21,-27
2020-04-03,-25,-12,-34,-24,-13,-20,-35,-19,-10,-22,-25,-18,-18,-23,-19,-33,-27,-21,-30,-27,-22,-22
2020-04-04,-26,-11,-41,-26,-14,-15,-37,-24,-17,-22,-34,-27,-25,-19,-23,-32,-28,-31,-29,-30,-22,-29
2020-04-05,-25,-3,-42,-29,-3,-11,-35,-24,-15,-23,-31,-26,-20,-17,-21,-34,-30,-33,-29,-27,-21,-23
2020-04-06,-12,2,-23,-8,0,2,-24,1,0,-2,-17,-4,-4,-3,-9,-22,-13,-7,-17,-14,-6,-8
2020-04-07,-13,3,-21,-12,0,5,-16,-1,-2,-3,-12,-6,-6,-3,-7,-26,-17,-9,-17,-13,-10,-7
2020-04-08,-8,13,-18,-5,0,10,-11,5,12,0,-9,0,3,-2,0,-19,-5,0,-11,-6,-3,-6
2020-04-09,-3,21,-14,2,0,24,-15,11,18,5,-13,5,6,7,8,-15,0,2,-8,-3,8,1
2020-04-10,-45,-39,-58,-51,0,-28,-68,-45,-37,-50,-69,-41,-38,-37,-40,-46,-46,-47,-67,-61,-40,-43
2020-04-11,-41,-20,-56,-44,0,-28,-60,-38,-25,-36,-59,-47,-40,-32,-37,-42,-45,-49,-53,-48,-38,-45
