date,KR
2020-02-15,3
2020-02-16,-31
2020-02-17,-17
2020-02-18,-5
2020-02-19,14
2020-02-20,7
2020-02-21,-10
2020-02-22,-32
2020-02-23,-12
2020-02-24,6
2020-02-25,-38
2020-02-26,5
2020-02-27,1
2020-02-28,-38
2020-02-29,-13
2020-03-01,-17
2020-03-02,10
2020-03-03,2
2020-03-04,-7
2020-03-05,-2
2020-03-06,1
2020-03-07,-16
2020-03-08,34
2020-03-09,16
2020-03-10,-32
2020-03-11,23
2020-03-12,19
2020-03-13,2
2020-03-14,4
2020-03-15,-3
2020-03-16,23
2020-03-17,12
2020-03-18,47
2020-03-19,-18
2020-03-20,17
2020-03-21,31
2020-03-22,52
2020-03-23,47
2020-03-24,40
2020-03-25,61
2020-03-26,3
2020-03-27,4
2020-03-28,16
2020-03-29,51
2020-03-30,60
2020-03-31,54
2020-04-01,44
2020-04-02,44
2020-04-03,36
2020-04-04,25
2020-04-05,46
2020-04-06,48
2020-04-07,40
2020-04-08,47
2020-04-09,31
2020-04-10,22
2020-04-11,17
