date,SI,Administrative unit Maribor,Ajdovščina,Brežice,Celje,Cerknica,Črnomelj,Domžale,Dravograd,Gornja Radgona,Grosuplje,Idrija,Ilirska Bistrica,Izola,Jesenice,Kamnik,Kočevje,Koper,Kranj,Krško,Laško,Lenart,Lendava,Litija,Ljubljana,Ljutomer,Logatec,Metlika,Mozirje,Municipality of Hrastnik,Murska Sobota,Nova Gorica,Novo Mesto,Ormož,Pesnica,Piran,Postojna,Ptuj,Radlje ob Dravi,Radovljica,Ravne na Koroškem,Ribnica,Ruše,Šentjur,Sevnica,Sežana,Škofja Loka,Slovenj Gradec,Slovenska Bistrica,Slovenske Konjice,Šmarje pri Jelšah,Tolmin,Trbovlje,Trebnje,Tržič,Velenje,Vrhnika,Zagorje ob Savi,Žalec
2020-02-15,5,1,7,0,1,0,0,24,NA,0,-2,NA,NA,17,12,-8,0,8,6,13,NA,10,13,2,4,0,0,NA,0,NA,14,1,0,NA,0,30,7,18,NA,5,2,NA,NA,0,0,4,9,0,6,8,13,0,0,4,NA,1,0,0,2
2020-02-16,6,8,0,0,7,NA,NA,25,NA,NA,5,NA,NA,0,0,-2,NA,10,3,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,0,0,4,NA,0,0,0,11,NA,9,0,NA,NA,NA,NA,0,0,-4,15,0,0,NA,NA,NA,NA,3,0,NA,5
2020-02-17,0,-1,2,3,0,0,-22,16,0,0,4,0,0,-10,18,-1,0,-2,-2,12,0,4,7,0,-5,4,0,NA,0,0,6,-9,0,0,0,8,-2,6,0,8,4,0,0,0,0,-1,-2,5,4,1,5,0,-7,2,0,1,6,0,6
2020-02-18,2,2,0,9,7,0,0,16,0,0,8,0,0,-6,25,2,0,-3,3,4,0,10,6,0,-4,2,0,NA,0,0,9,-6,6,0,0,2,10,9,0,3,16,0,0,0,0,4,-2,6,12,10,10,0,7,0,0,-1,2,0,5
2020-02-19,1,2,-2,3,1,0,0,10,0,0,-2,0,0,4,19,-6,0,-5,-1,6,0,8,6,2,-7,2,0,NA,0,0,7,-4,2,0,0,11,6,6,0,5,9,0,0,0,0,1,-1,0,8,3,16,0,-2,0,0,6,0,0,6
2020-02-20,1,5,0,0,3,0,0,12,0,0,2,0,0,6,11,0,0,1,-3,6,0,6,4,-2,-9,6,0,NA,0,0,12,-7,10,0,0,11,-2,10,0,12,-3,0,0,-2,0,4,2,5,3,7,12,0,-5,8,0,1,-1,0,1
2020-02-21,-1,0,-2,-2,1,0,0,15,0,0,3,0,0,13,3,-11,0,2,-7,0,9,4,7,-6,-10,7,-2,NA,0,0,6,-11,5,0,0,15,-5,16,0,1,5,0,0,-9,-2,-7,-5,3,9,6,12,12,-2,-4,-7,2,3,-7,0
2020-02-22,3,-2,7,-4,1,0,0,20,NA,-7,-2,NA,NA,12,4,-7,0,25,8,4,NA,24,2,0,-5,-6,-7,NA,0,NA,13,10,-3,NA,0,20,7,7,NA,7,0,NA,NA,-2,0,-2,-1,11,8,1,14,9,-5,-8,NA,-6,0,0,3
2020-02-23,7,1,0,0,-1,NA,NA,55,NA,NA,3,NA,NA,0,0,-5,NA,7,7,0,NA,0,0,NA,-1,NA,NA,NA,NA,NA,0,12,-4,NA,0,0,0,73,NA,7,4,NA,NA,NA,NA,0,0,NA,7,0,0,NA,NA,NA,NA,3,0,NA,4
2020-02-24,9,-1,13,4,0,0,-17,36,0,0,34,0,0,0,12,18,0,24,9,6,0,8,2,11,11,0,0,NA,0,0,9,25,3,0,0,33,15,7,0,13,-2,0,0,0,0,32,13,0,5,4,13,0,2,6,0,2,13,0,10
2020-02-25,10,2,20,1,2,0,0,30,0,0,36,0,0,8,21,31,0,19,18,-4,0,16,4,0,12,0,0,NA,0,0,2,19,4,0,0,33,21,4,0,13,1,0,0,0,0,18,20,2,6,9,5,0,9,0,0,-6,22,0,9
2020-02-26,-4,-8,-2,-7,-10,0,0,6,0,0,8,0,0,6,6,-3,0,-1,2,-6,0,0,-8,-2,-5,-4,0,NA,0,0,-4,-6,-11,0,0,11,-4,-6,0,-5,-13,0,0,0,0,-1,0,-19,-6,-4,0,0,-4,0,0,-13,-6,0,-8
2020-02-27,0,-1,-2,-8,-6,0,0,11,0,0,8,0,0,0,5,0,0,2,-1,-4,0,0,-2,4,3,-2,-12,NA,0,0,6,-3,-3,0,0,9,3,-1,0,0,-12,0,0,-2,0,-7,13,2,-5,8,4,-7,2,0,0,-4,1,0,-5
2020-02-28,1,-1,3,-6,0,0,0,18,0,0,12,0,0,8,-3,-4,0,5,6,-6,-7,12,5,8,1,6,0,NA,0,0,6,-7,-4,0,0,4,5,4,0,2,-1,0,0,-2,-12,-2,-1,-1,4,5,4,-2,9,-7,-2,-3,1,0,-3
2020-02-29,-1,-7,0,-13,-1,0,0,18,NA,0,8,NA,NA,10,-12,-5,0,-3,0,-3,NA,2,-6,6,0,-2,0,NA,0,NA,9,-1,-5,NA,0,12,7,-7,NA,-1,2,NA,NA,-2,0,0,1,-4,-1,1,1,-11,0,2,-7,-4,0,0,-1
2020-03-01,-2,2,0,0,3,0,NA,32,NA,NA,2,NA,NA,0,-16,-2,NA,-27,3,0,NA,0,0,NA,-5,NA,NA,NA,NA,NA,0,0,3,NA,0,-12,0,0,NA,-8,0,NA,NA,NA,NA,0,0,-11,7,0,0,NA,NA,NA,NA,-4,0,NA,9
2020-03-02,-2,-1,-7,-7,-1,0,-24,14,0,0,10,0,0,0,-18,-7,0,-4,-2,-4,0,8,0,0,-2,-8,0,NA,0,0,-3,-7,-1,0,0,-8,-2,2,0,-9,4,0,0,0,0,-4,0,-4,1,4,8,-9,-7,-13,0,1,-1,0,0
