date,BS
2020-02-15,1
2020-02-16,6
2020-02-17,1
2020-02-18,3
2020-02-19,0
2020-02-20,1
2020-02-21,-1
2020-02-22,-1
2020-02-23,1
2020-02-24,3
2020-02-25,0
2020-02-26,2
2020-02-27,3
2020-02-28,6
2020-02-29,5
2020-03-01,3
2020-03-02,3
2020-03-03,1
2020-03-04,1
2020-03-05,-1
2020-03-06,1
2020-03-07,-1
2020-03-08,-3
2020-03-09,-1
2020-03-10,-1
2020-03-11,-2
2020-03-12,-1
2020-03-13,1
2020-03-14,-2
2020-03-15,-8
2020-03-16,-7
2020-03-17,-16
2020-03-18,-20
2020-03-19,-21
2020-03-20,-43
2020-03-21,-53
2020-03-22,-55
2020-03-23,-47
2020-03-24,-69
2020-03-25,-68
2020-03-26,-65
2020-03-27,-62
2020-03-28,-68
2020-03-29,-67
2020-03-30,-63
2020-03-31,-63
2020-04-01,-65
2020-04-02,-64
2020-04-03,-62
2020-04-04,-97
2020-04-05,-96
2020-04-06,-50
2020-04-07,-47
2020-04-08,-49
2020-04-09,-89
2020-04-10,-97
2020-04-11,-97
