date,JO
2020-02-15,4
2020-02-16,2
2020-02-17,0
2020-02-18,0
2020-02-19,-2
2020-02-20,-2
2020-02-21,4
2020-02-22,-4
2020-02-23,1
2020-02-24,3
2020-02-25,-1
2020-02-26,6
2020-02-27,7
2020-02-28,15
2020-02-29,3
2020-03-01,1
2020-03-02,6
2020-03-03,7
2020-03-04,8
2020-03-05,7
2020-03-06,0
2020-03-07,5
2020-03-08,4
2020-03-09,3
2020-03-10,4
2020-03-11,8
2020-03-12,-3
2020-03-13,-7
2020-03-14,3
2020-03-15,8
2020-03-16,6
2020-03-17,30
2020-03-18,-24
2020-03-19,-33
2020-03-20,20
2020-03-21,-82
2020-03-22,-86
2020-03-23,-84
2020-03-24,-67
2020-03-25,-29
2020-03-26,-33
2020-03-27,-40
2020-03-28,-55
2020-03-29,-52
2020-03-30,-49
2020-03-31,-49
2020-04-01,-46
2020-04-02,-41
2020-04-03,-84
2020-04-04,-45
2020-04-05,-44
2020-04-06,-46
2020-04-07,-44
2020-04-08,-45
2020-04-09,-33
2020-04-10,-86
2020-04-11,-89
