date,total,Auckland,Bay Of Plenty,Northland,Otago,Southland,Taranaki,Tasman,Waikato
2020-02-29,6.254201355438453,13.436580413134271,2.613682816948879,-1.4182166270177046,4.541159470619028,11.866239450212149,0.31667068939676846,0.4833759670829311,4.551738344703479
2020-03-01,1.1232230175988052,3.625121274947718,-3.0073675909933466,-8.536130887482239,-2.431145259169796,3.7714108321036433,-8.532835667018379,-3.324894849277612,2.3751118348073557
2020-03-02,-3.991823078856463,-0.40087775513409707,-6.51692332058488,-9.53079903535006,-5.317467258652224,-4.758911161400976,-12.597735789093262,-9.880320315215052,-9.491817542494152
2020-03-03,-3.9926196909256815,0.03061596220594536,-7.784396251654871,-6.661785129072353,-3.20263125969968,-0.20724136504595864,-4.970770215379577,-7.606912629392741,-6.7839791002269045
2020-03-04,-1.7246651298591582,0.7433938323131108,-8.558322905020338,-7.644954223207599,-1.6895543411604454,1.3761972674250065,-6.014823882239226,-8.358937789336503,-6.024556987523059
2020-03-05,-0.3560855949408978,1.383458792181156,-5.75451914841096,-5.2991472617621,-1.7715247287167455,-1.5337771072064958,-6.2902314211994454,-3.8381207266784134,-3.598625238607996
2020-03-06,3.497126983871457,3.9599833615752456,-4.055913379423977,-3.4353423026070753,4.23063635540575,4.137187066263101,-3.326961454965443,-4.892496591132217,1.7451366731325748
2020-03-07,6.811829803891761,10.46013483742502,4.922980089087767,1.9634634248373493,19.30161537575703,11.273166235034543,-6.800742956833024,-3.867007736663449,6.416733305825929
2020-03-08,2.5698705353005287,4.526378662385235,-0.6740651497054052,-7.022088812693068,1.8062415987405904,8.722282889238434,-6.908219069597988,-4.987823724082835,4.486535436036988
2020-03-09,-5.713301760438744,-4.228829779696203,-9.237189088555553,-10.304110398865797,-3.377179967319566,-5.211595064773254,-21.89154071881357,-10.179782318726588,-10.893680078823726
2020-03-10,-4.433942777273014,0.5463035756123376,-7.0719228313109825,-8.95967936663212,-4.157345185355411,-0.4154377594239263,-9.572091293129592,-8.734468919141968,-7.571208335744401
2020-03-11,-2.664667371537591,-0.9548353212979209,-7.342701139312299,-8.829356757662927,-3.768709112588482,6.094997196881604,-6.192351389931354,-13.843618085161955,-7.71599714763617
2020-03-12,-1.6935972591596167,0.14829606693504785,-7.562588488717624,-8.110665899376928,0.3799568552609678,4.792337188021292,1.0200634631174692,-8.699804507159925,-5.97565480602319
2020-03-13,1.8059195609194973,2.466498455216473,-8.543919803530905,-6.968426561941047,1.772489086217408,5.396870755183006,1.900983744530298,-5.137073275672186,4.4251679925861716
2020-03-14,3.6986698373838665,9.515823753135393,-3.8773149209550235,-2.5087102226569935,7.17096237492527,21.162494967988007,-0.7907171153422339,-8.21739144040983,2.243747151170453
2020-03-15,-1.413986422863744,0.5912707701023198,-7.103609654587732,-16.108257770383524,-0.5554699203815162,2.357012391398276,-1.625576205570078,-4.987823724082835,-0.6031269051650492
2020-03-16,-7.446729623059313,-4.373298851355507,-12.637281246827405,-19.31936852520537,-10.203866714508374,-5.665233997477542,-4.130153476253611,-10.778706325749663,-10.813135309294529
2020-03-17,-8.524545752712633,-4.359904367890407,-10.429765891880502,-17.229415509309682,-10.222189507020959,-2.28443016216559,-9.204561371799404,-9.861062308558362,-9.519624665307804
2020-03-18,-8.187578847432993,-5.181751603356253,-11.816304461929796,-18.844074304258893,-16.634202528924956,-5.898261154487744,-8.13843671749695,-12.276979243640183,-11.274350001479567
2020-03-19,-10.186278529103491,-7.755405926293534,-11.748129781546485,-17.735373873543026,-17.902332642295953,-13.226201218993001,-12.069951306765313,-11.258230691501256,-14.123141790422908
2020-03-20,-13.008675090346443,-12.08565108079693,-17.906895978427496,-21.593306400822268,-19.324759955772926,-12.95210780070641,-16.79218301137591,-10.519686136217176,-15.301588477939356
2020-03-21,-16.764700996714083,-13.394483465101096,-19.7341694540534,-17.126882280194213,-28.564269169618946,-18.195218833435963,-22.301293398729996,-17.884910782068452,-16.72071060773947
2020-03-22,-25.25977210286561,-23.44417305920266,-30.799592225000826,-28.499446421711863,-32.30404755718756,-28.053031598433126,-32.71016299838681,-26.322806398697388,-29.862932169253245
2020-03-23,-11.738875452011342,-8.167764667254861,-15.640808010756905,-13.910021998506082,-33.771799673195666,-10.424145158878517,-13.631233766306352,-11.377630332772737,-16.980563376101518
2020-03-24,-19.33377491994539,-14.131180055681655,-21.418372121550956,-19.87132310436901,-33.12085836024857,-23.260694410411837,-20.61814070417869,-21.69414449876183,-20.688499373356283
2020-03-25,-38.21188773629751,-33.692866407642875,-40.89328574879458,-37.90279761152588,-51.461973665345894,-42.2705532640515,-42.81483681459278,-40.22516140416224,-42.383808365827505
2020-03-26,-91.17862421866953,-89.89994602248281,-92.07902782193709,-92.35656656213943,-95.39327960801947,-92.96542026575462,-94.17882263474863,-89.29937686707376,-93.43097378756315
2020-03-27,-90.2848254770058,-88.72792871928647,-91.7794433109569,-91.96655698970957,-94.96510487772538,-93.005531497699,-94.41488623957167,-88.06975314204408,-93.43097378756315
2020-03-28,-91.28696346008331,-88.61407560983311,-92.39781646823651,-93.16341683237519,-95.79252361329368,-95.32911786247695,-95.0559044835627,-88.45876487650924,-93.93917292864022
2020-03-29,-90.72614856335314,-88.3997638743915,-92.03677872423475,-92.52138633230638,-95.2438041954168,-95.71017456594855,-94.47342233670258,-90.0504391266847,-93.66014283419979
2020-03-30,-87.81054839001156,-84.89423620181074,-89.02749071970949,-89.64278988125152,-94.13093563965245,-91.55102182504925,-92.31814243250518,-84.43384148526091,-91.15078971684379
