date,UY,Artigas Department,Canelones Department,Cerro Largo Department,Colonia Department,Durazno Department,Flores Department,Florida Department,Lavalleja Department,Maldonado Department,Montevideo Department,Paysandú Department,Río Negro Department,Rivera Department,Rocha Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department,Treinta y Tres Department
2020-02-15,0,4,-6,-3,-2,-12,-2,-12,-10,-17,11,4,10,-6,-29,19,4,-18,47,0
2020-02-16,-9,-2,1,3,-12,-9,-13,-4,-9,-19,2,-36,-37,-13,-20,-40,-1,-36,24,-9
2020-02-17,-21,-4,-27,0,-43,-12,-20,-26,-38,-45,-9,-15,-34,8,-44,-17,-31,-30,12,-4
2020-02-18,-16,-4,-29,-34,-20,-13,0,-18,-28,-41,-3,-5,-2,-9,-40,-3,-14,-17,8,-16
2020-02-19,-4,21,-9,0,-6,-4,0,-12,-17,-13,8,4,-2,22,-10,12,-11,-6,7,4
2020-02-20,-14,3,-19,-26,-23,-4,0,-13,-29,-33,0,29,0,-2,-43,0,-25,-13,-3,2
2020-02-21,-27,20,-35,-25,-28,-14,0,-26,-33,-57,-11,-16,7,0,-50,-1,-27,-24,6,-25
2020-02-22,-11,69,-30,-28,-6,-11,11,-24,-12,-22,-15,-1,-1,2,-16,36,-27,-12,25,-5
2020-02-23,0,98,-18,5,18,6,42,10,16,-3,-14,3,10,11,20,14,-16,2,29,-8
2020-02-24,29,147,41,0,61,18,0,16,35,49,-8,38,41,13,51,16,21,33,29,0
2020-02-25,-7,68,-12,-11,6,18,0,-25,6,3,-27,10,23,4,11,-7,-8,1,3,14
2020-02-26,-9,26,-14,0,-6,-3,-9,-15,-7,-14,-2,-1,-8,16,-7,5,-11,-9,1,-7
2020-02-27,-3,4,-2,-2,-12,4,0,-10,-7,-7,7,0,3,3,-19,9,-13,-4,-3,5
2020-02-28,-12,9,-17,2,-24,9,0,-7,-11,-32,4,-2,4,19,-35,30,-10,-16,-10,-5
2020-02-29,-10,0,-19,-9,-24,71,-6,-10,-5,-36,3,-2,1,23,-47,-4,-6,1,-17,-7
2020-03-01,-17,-5,-26,-5,-24,26,13,-10,-17,-44,5,-2,-8,14,-51,-12,-14,-10,-12,-7
2020-03-02,-14,15,-19,-17,-28,0,0,-10,-27,-57,9,-5,-9,8,-68,3,-12,-7,-8,-20
