date,IE,County Carlow,County Cavan,County Clare,County Cork,County Donegal,County Dublin,County Galway,County Kerry,County Kildare,County Kilkenny,County Laois,County Leitrim,County Limerick,County Longford,County Louth,County Mayo,County Meath,County Monaghan,County Offaly,County Roscommon,County Sligo,County Tipperary,County Waterford,County Westmeath,County Wexford,County Wicklow
2020-02-15,-4,-1,-2,-1,-4,0,-4,-3,2,-5,-1,-3,0,-3,0,-3,-5,-2,-1,-3,-7,-1,-2,-5,-4,-6,-4
2020-02-16,-1,2,-1,-3,-2,1,-1,-2,1,-5,7,0,0,-1,-7,0,-2,2,-3,-2,-5,1,1,2,-6,2,-2
2020-02-17,-8,-9,-6,-9,-7,-11,-7,-8,-9,-8,-11,-10,-7,-5,-5,-6,-11,-7,-8,-10,-10,-9,-9,-12,-9,-12,-11
2020-02-18,-7,-9,-4,-8,-8,-10,-5,-8,-7,-8,-10,-8,-6,-6,-4,-6,-7,-7,-8,-9,-8,-5,-9,-9,-10,-11,-10
2020-02-19,-9,-11,-6,-10,-9,-11,-7,-11,-9,-9,-13,-13,-10,-7,-8,-9,-11,-8,-5,-11,-11,-8,-10,-13,-10,-13,-12
2020-02-20,-12,-14,-12,-13,-11,-14,-8,-14,-12,-13,-17,-14,-19,-9,-13,-12,-16,-12,-15,-17,-14,-13,-16,-15,-14,-17,-15
2020-02-21,-13,-16,-13,-16,-13,-18,-9,-15,-14,-13,-18,-16,-19,-11,-15,-12,-17,-13,-15,-17,-14,-15,-15,-16,-16,-18,-16
2020-02-22,-1,1,0,2,1,-4,-2,1,3,-2,1,-1,-2,-4,0,0,1,-4,2,1,3,-3,-1,-1,-2,-2,0
2020-02-23,0,5,0,3,-1,-1,0,2,3,-1,10,3,0,0,0,3,2,0,-3,0,0,-1,1,-1,4,2,2
2020-02-24,1,1,3,2,3,-7,1,0,3,1,5,1,5,4,1,2,0,0,0,3,1,-1,1,2,0,3,0
2020-02-25,3,4,5,2,3,3,3,2,3,3,4,4,6,3,3,2,4,2,2,1,3,6,4,6,1,4,2
2020-02-26,2,4,3,2,3,1,2,0,3,3,3,0,3,2,3,2,-1,3,2,0,1,1,2,2,1,2,2
2020-02-27,2,4,4,3,3,3,2,-1,3,2,3,3,-1,5,1,0,1,2,-1,1,1,1,3,3,2,-2,2
2020-02-28,1,2,2,2,1,0,1,-1,3,1,1,0,1,3,-2,0,1,2,-2,1,3,-1,1,0,1,-2,1
2020-02-29,-3,2,1,-11,2,-2,-2,-17,0,-1,0,-2,4,-1,-9,-3,-3,-3,5,-2,-5,-3,-3,3,-5,1,0
2020-03-01,2,-2,5,6,4,3,1,4,7,0,5,4,0,3,-8,2,-1,3,-1,3,-3,5,1,2,0,3,5
2020-03-02,1,1,5,4,3,1,1,0,3,2,4,2,4,3,1,4,2,2,5,2,1,0,2,2,1,4,1
2020-03-03,3,3,6,4,3,6,1,2,4,3,4,3,6,4,2,3,4,2,2,1,3,5,4,5,1,5,3
2020-03-04,1,3,5,3,3,3,0,1,3,3,2,1,3,4,3,1,1,2,3,0,2,1,3,2,2,3,2
2020-03-05,2,5,5,2,3,6,1,0,2,2,3,3,3,6,-5,0,2,2,1,1,2,1,3,3,2,2,2
2020-03-06,1,2,4,1,1,3,0,0,5,2,1,1,3,3,0,1,2,2,2,0,3,1,1,0,1,1,1
2020-03-07,0,1,1,-1,1,4,0,3,3,-1,3,1,-2,1,4,1,0,-1,1,2,0,1,0,-2,0,1,3
2020-03-08,0,-3,3,-1,0,1,-1,4,6,-1,10,6,0,-1,2,1,2,5,1,-2,1,3,0,-1,-2,2,2
2020-03-09,0,0,3,1,1,2,-1,-1,4,0,1,1,-1,3,-1,1,1,2,3,1,1,-2,0,-2,1,3,-1
2020-03-10,1,3,5,1,1,4,0,0,5,2,3,1,5,3,3,2,5,1,1,2,3,5,3,2,1,3,1
2020-03-11,-1,3,5,-1,-1,2,-4,-2,3,0,1,2,2,1,2,0,1,0,5,-1,0,1,1,0,0,1,0
2020-03-12,-3,-1,2,-1,-3,1,-6,-4,2,-2,0,1,-1,2,-3,-2,0,-1,1,-1,0,-1,0,-1,-3,-2,-3
2020-03-13,-26,-23,-15,-23,-27,-20,-30,-25,-19,-24,-22,-22,-20,-25,-19,-19,-17,-21,-15,-20,-21,-22,-21,-24,-25,-22,-26
2020-03-14,-12,-4,-4,-10,-13,-4,-14,-12,-6,-12,-8,-7,-11,-10,-5,-11,-8,-10,-2,-10,-7,-10,-9,-11,-15,-6,-11
2020-03-15,-16,-15,-8,-14,-17,-8,-18,-17,-14,-19,-9,-9,0,-14,-17,-15,-18,-12,-10,-17,-14,-23,-15,-12,-21,-13,-17
2020-03-16,-49,-42,-39,-44,-48,-41,-54,-53,-41,-49,-44,-42,-48,-46,-40,-42,-42,-45,-40,-42,-46,-44,-44,-45,-47,-41,-49
2020-03-17,-80,-77,-76,-80,-80,-74,-83,-82,-75,-82,-79,-76,-79,-78,-69,-77,-76,-80,-77,-78,-78,-79,-77,-79,-78,-77,-82
2020-03-18,-46,-40,-33,-42,-45,-41,-54,-46,-40,-45,-41,-39,-41,-44,-32,-41,-39,-42,-32,-37,-40,-42,-38,-43,-43,-40,-47
2020-03-19,-48,-40,-35,-43,-47,-41,-56,-48,-42,-47,-43,-39,-42,-45,-34,-43,-41,-43,-34,-38,-41,-44,-39,-45,-46,-42,-49
2020-03-20,-48,-41,-35,-44,-47,-42,-56,-47,-43,-46,-44,-42,-39,-46,-33,-44,-42,-44,-34,-39,-41,-43,-39,-44,-45,-43,-50
