date,MX,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico City,Michoacán,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,State of Mexico,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2020-02-15,3,4,3,3,5,2,3,2,2,4,4,3,5,4,3,2,3,3,6,2,4,4,4,3,3,3,4,5,4,5,4,5,2
2020-02-16,2,1,1,1,1,2,2,3,-1,2,2,1,3,2,2,1,2,1,4,1,1,2,2,2,2,2,2,3,3,3,2,1,2
2020-02-17,11,12,9,12,16,13,12,10,11,15,16,11,17,13,9,11,10,13,10,11,8,9,10,12,10,9,11,20,9,11,18,10,18
2020-02-18,9,10,10,11,10,14,11,7,12,12,9,10,8,5,7,10,9,10,6,9,8,7,6,7,7,8,10,19,8,10,13,10,13
2020-02-19,8,9,8,10,10,14,12,6,11,12,8,11,6,4,5,10,9,9,3,8,8,7,5,6,6,5,9,17,7,9,13,10,12
2020-02-20,7,9,8,11,8,14,9,5,10,11,7,10,6,4,6,8,9,4,3,8,8,6,4,6,6,4,9,17,6,10,12,10,11
2020-02-21,11,11,10,13,9,12,10,9,12,14,11,9,16,7,10,8,13,15,8,10,10,8,9,13,10,10,13,20,10,14,10,11,14
2020-02-22,4,4,1,3,1,2,5,4,2,5,5,1,7,4,3,1,3,3,7,2,4,5,4,4,2,3,4,2,4,5,1,4,4
2020-02-23,2,0,2,0,-1,1,2,4,0,1,2,-1,2,1,1,1,1,-1,5,1,1,3,2,3,0,2,2,3,4,4,0,0,1
2020-02-24,8,13,12,12,-23,13,12,11,11,15,16,1,17,13,9,11,12,12,11,10,8,6,-11,12,-7,0,11,20,10,9,-3,-16,17
2020-02-25,6,10,10,9,-34,13,11,8,11,13,9,11,8,4,5,11,9,9,7,7,7,8,-15,7,-10,7,10,19,9,8,-5,-32,12
2020-02-26,6,10,9,8,-13,10,12,7,12,13,9,12,5,4,6,9,9,5,5,6,4,7,4,6,5,5,9,16,5,8,-12,8,12
2020-02-27,7,10,9,9,6,12,10,6,12,12,7,12,6,4,6,9,9,4,5,3,4,7,5,6,7,5,9,-22,6,6,11,9,10
2020-02-28,12,10,11,14,12,14,12,12,13,15,11,12,17,7,10,10,14,14,11,11,7,9,10,12,11,11,13,16,13,12,14,12,16
2020-02-29,6,6,5,5,4,5,6,5,3,6,6,5,7,5,5,4,5,5,10,5,6,7,7,6,5,6,5,6,6,8,6,7,4
