date,LT,Alytus County,Kaunas County,Klaipėda County,Marijampolė County,Panevėžys County,Šiauliai County,Tauragė County,Telšiai County,Utena County,Vilnius County
2020-02-15,-1,0,-1,-1,0,-2,-1,0,0,0,-2
2020-02-16,-2,0,-2,0,0,-1,-1,0,0,0,-2
2020-02-17,3,3,2,4,3,3,4,3,4,2,3
2020-02-18,3,2,3,3,3,3,3,3,3,3,2
2020-02-19,2,1,2,3,3,2,3,4,4,2,2
2020-02-20,2,2,2,2,3,2,2,2,2,2,2
2020-02-21,3,3,3,3,4,4,4,3,4,3,2
2020-02-22,0,0,0,1,0,0,1,0,0,0,-1
2020-02-23,-1,0,-1,0,0,0,0,0,0,0,-1
2020-02-24,0,0,0,0,0,0,0,-1,0,0,0
2020-02-25,0,0,1,0,1,1,0,0,0,1,0
2020-02-26,0,0,-1,0,0,0,0,0,0,0,0
2020-02-27,1,0,0,2,1,0,1,1,1,0,0
2020-02-28,1,1,1,0,1,1,1,0,0,0,1
2020-02-29,1,0,1,0,0,0,2,0,0,0,1
2020-03-01,0,0,0,-1,0,1,1,0,0,0,1
2020-03-02,1,0,1,1,1,0,1,0,1,0,1
2020-03-03,0,0,0,0,0,0,1,-1,0,1,0
2020-03-04,1,1,1,1,0,1,1,0,1,2,1
2020-03-05,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,-1,0,0,-1,0,-1,-1,-1,-1,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,-2,0,-2,-4,0,-2,-2,0,0,0,-2
2020-03-09,0,0,0,0,1,0,0,0,0,0,1
2020-03-10,-2,-3,-1,-2,-2,-2,-1,-3,-2,-1,-1
2020-03-11,20,18,21,17,18,19,19,0,18,0,23
2020-03-12,1,1,1,0,0,0,1,0,-1,1,2
2020-03-13,7,5,7,5,5,5,6,3,4,5,9
2020-03-14,6,0,6,5,0,4,4,0,0,0,7
2020-03-15,2,0,3,3,0,0,2,0,0,0,3
2020-03-16,15,12,15,16,13,13,13,12,13,10,18
2020-03-17,17,13,18,17,14,14,14,13,14,12,21
2020-03-18,19,14,19,19,14,15,16,15,17,13,23
2020-03-19,19,16,19,18,16,15,16,14,15,13,24
2020-03-20,21,16,21,20,17,18,17,0,17,15,25
2020-03-21,13,0,13,12,0,11,11,0,0,0,14
2020-03-22,10,0,10,10,0,0,8,0,0,0,12
2020-03-23,20,16,20,19,17,17,16,15,15,14,25
2020-03-24,21,17,21,19,17,17,17,0,15,16,26
2020-03-25,21,16,21,20,17,17,17,0,16,15,26
2020-03-26,21,16,21,20,17,17,17,0,15,14,26
2020-03-27,22,17,22,20,18,18,18,0,17,16,27
2020-03-28,9,0,9,10,0,7,7,0,0,0,10
2020-03-29,11,0,11,11,0,0,0,0,0,0,12
2020-03-30,22,18,22,21,18,18,18,0,17,16,27
2020-03-31,22,18,22,20,17,18,18,0,16,16,27
2020-04-01,23,19,24,22,19,20,19,0,18,19,29
2020-04-02,24,19,24,23,20,20,20,0,18,18,29
2020-04-03,24,21,25,23,21,21,21,0,20,19,29
2020-04-04,13,0,13,12,0,10,11,0,0,0,14
2020-04-05,8,0,8,8,0,0,7,0,0,0,10
2020-04-06,19,15,19,17,15,15,15,13,14,13,24
2020-04-07,18,13,18,17,15,14,14,12,13,12,23
2020-04-08,18,14,18,16,14,14,14,12,12,12,23
2020-04-09,19,15,19,18,16,16,16,13,14,14,24
2020-04-10,21,18,21,19,17,17,17,0,16,16,26
2020-04-11,16,0,16,15,0,0,13,0,0,0,17
